metric,value
release,DepMap Public 24Q4
figshare_doi,10.6084/m9.figshare.27993248
models_total,2105
lung_lineage_cancer_models,254
lung_with_CRISPR,126
lung_with_expression,208
lung_with_CRISPR_and_expression,123
all_models_with_CRISPR,1178
genes_in_CRISPR_matrix,17916
all_models_with_expression,1673
genes_in_expression_matrix,19193
lung_NSCLC_models,164
lung_NSCLC_with_CRISPR,98
lung_NSCLC_with_expression,143
lung_SCLC_models,81
lung_SCLC_with_CRISPR,25
lung_SCLC_with_expression,59
lung_Other lung_models,9
lung_Other lung_with_CRISPR,3
lung_Other lung_with_expression,6
