panel,gene,in_expression,in_gene_effect,lung_expr_n,lung_expr_mean,lung_expr_sd
MHC-I antigen presentation,HLA-A,True,True,208,8.009894371032715,1.8011187314987183
MHC-I antigen presentation,HLA-B,True,True,208,6.421137809753418,2.6713712215423584
MHC-I antigen presentation,HLA-C,True,True,208,7.063103199005127,2.1637794971466064
MHC-I antigen presentation,B2M,True,True,208,9.833309173583984,1.5325887203216553
MHC-I antigen presentation,TAP1,True,True,208,4.321377754211426,1.7328099012374878
MHC-I antigen presentation,TAP2,True,True,208,4.8488264083862305,1.5291118621826172
MHC-I antigen presentation,TAPBP,True,True,208,5.476027488708496,0.9940694570541382
MHC-I antigen presentation,NLRC5,True,True,208,2.6068789958953857,1.4798895120620728
MHC-I antigen presentation,PSMB8,True,True,208,5.056502819061279,1.8651067018508911
MHC-I antigen presentation,PSMB9,True,True,208,3.7941627502441406,2.1011288166046143
MHC-I antigen presentation,PSMB10,True,True,208,4.921750068664551,0.9385412931442261
MHC-I antigen presentation,ERAP1,True,True,208,3.733902931213379,1.008447289466858
MHC-I antigen presentation,ERAP2,True,True,208,2.617957592010498,1.7546864748001099
MHC-I antigen presentation,CALR,True,True,208,9.317647933959961,0.6841878294944763
MHC-I antigen presentation,CANX,True,True,208,8.906671524047852,0.8468462228775024
MHC-I antigen presentation,PDIA3,True,True,208,8.215312004089355,0.722318172454834
IFN signalling,IFNGR1,True,True,208,5.059311866760254,0.8778358697891235
IFN signalling,IFNGR2,True,True,208,5.3494086265563965,0.7635980844497681
IFN signalling,IFNAR1,True,True,208,4.567148208618164,0.5981743931770325
IFN signalling,IFNAR2,True,True,208,3.8083038330078125,0.7227132320404053
IFN signalling,JAK1,True,True,208,5.328278541564941,0.9014602899551392
IFN signalling,JAK2,True,True,208,1.6206953525543213,0.615731954574585
IFN signalling,TYK2,True,True,208,5.771341323852539,0.6953503489494324
IFN signalling,STAT1,True,True,208,5.634766101837158,0.8403017520904541
IFN signalling,STAT2,True,True,208,4.4190449714660645,0.7634063959121704
IFN signalling,IRF1,True,True,208,4.371583938598633,1.05991792678833
IFN signalling,IRF9,True,True,208,4.30123233795166,1.1950303316116333
IFN signalling,SOCS1,True,True,208,1.0073593854904175,0.8480620384216309
IFN response / ISG,ISG15,True,True,208,5.297969341278076,2.173369884490967
IFN response / ISG,MX1,True,True,208,2.4518516063690186,2.013497829437256
IFN response / ISG,OAS1,True,True,208,2.737259864807129,2.1707305908203125
IFN response / ISG,IFI27,True,True,208,3.4959452152252197,3.0460336208343506
IFN response / ISG,IFI44,True,True,208,2.59911847114563,2.3182380199432373
IFN response / ISG,IFIT1,True,True,208,1.699625849723816,1.4999297857284546
IFN response / ISG,IFIT3,True,True,208,2.2453739643096924,1.834587812423706
IFN response / ISG,CXCL9,True,True,208,0.023200741037726402,0.16192156076431274
IFN response / ISG,CXCL10,True,True,208,0.2664971947669983,0.7047589421272278
IFN response / ISG,IDO1,True,True,208,0.44560879468917847,0.9886103868484497
IFN response / ISG,GBP1,True,True,208,1.7531687021255493,1.6298683881759644
IFN response / ISG,IFI6,True,True,208,4.939563274383545,1.9918473958969116
IFN response / ISG,RSAD2,True,True,208,0.9301557540893555,1.1523067951202393
IFN response / ISG,IFITM1,True,True,208,3.4603474140167236,2.8294718265533447
tumour-cell immune ligand,CD274,True,True,208,2.0720343589782715,1.7047982215881348
tumour-cell immune ligand,PDCD1LG2,True,True,208,0.6542700529098511,1.000357747077942
tumour-cell immune ligand,CD47,True,True,208,5.726733684539795,1.2390296459197998
tumour-cell immune ligand,PVR,True,True,208,5.340874195098877,1.1134928464889526
tumour-cell immune ligand,NECTIN2,True,True,208,5.346048355102539,1.3870075941085815
tumour-cell immune ligand,LGALS9,True,True,208,1.6934027671813965,1.6028552055358887
tumour-cell immune ligand,TNFRSF14,True,True,208,2.2296833992004395,1.5363051891326904
tumour-cell immune ligand,HLA-E,True,True,208,5.139360427856445,2.165316104888916
tumour-cell immune ligand,HLA-G,True,True,208,0.41016504168510437,0.893925666809082
epithelial positive control,EPCAM,True,True,208,6.5881171226501465,2.7695305347442627
epithelial positive control,CDH1,True,True,208,4.533085346221924,2.6996734142303467
epithelial positive control,KRT8,True,True,208,8.817021369934082,2.4705021381378174
epithelial positive control,KRT18,True,True,208,8.69613265991211,2.4177558422088623
epithelial positive control,KRT19,True,True,208,6.8880534172058105,3.296691417694092
epithelial positive control,CLDN3,True,True,208,3.2710185050964355,2.236027956008911
epithelial positive control,CLDN7,True,True,208,5.0497355461120605,2.578460693359375
lymphoid negative control,CD3E,True,True,208,0.0911850556731224,0.16179558634757996
lymphoid negative control,CD8A,True,True,208,0.43272897601127625,0.5816550850868225
lymphoid negative control,CD4,True,True,208,0.3697929382324219,0.4382190406322479
lymphoid negative control,CD19,True,True,208,0.31882432103157043,0.5844319462776184
