gene,lung_mean_gene_effect,percentile_of_mean_among_all_genes,n_genes_more_negative_mean,lung_min_gene_effect,percentile_of_min_among_all_genes,n_dependent_lung_lines,percentile_of_dependent_count,genes_tested
TACSTD2,-0.028691651299595833,52.344273275284664,9377,-0.40846577286720276,49.02321946863139,0,31.416052690332663,17916
CLDN4,0.034159738570451736,74.0232194686314,13261,-0.29440775513648987,72.13663764233088,0,31.416052690332663,17916
