query,cohort,gene,r,n,p,q
TACSTD2,pan-cancer,KALRN,0.25097036225024094,1178,2.2302908193663165e-18,1.6585557678217613e-14
TACSTD2,pan-cancer,FFAR2,0.22836461591325838,1178,2.1102840793268564e-15,1.0462085037276111e-11
TACSTD2,pan-cancer,OLIG2,0.22023031307129318,1178,2.093194824224998e-14,6.22641732413968e-11
TACSTD2,pan-cancer,RPL36A,0.20675529482827262,349,9.992587844403873e-05,0.0016015060238127026
TACSTD2,pan-cancer,PRH2,0.2029149402329511,349,0.00013511343847032905,0.0019859786660049567
TACSTD2,pan-cancer,OR51D1,0.20035604315350525,1059,4.731013545695749e-11,4.397772779070804e-08
TACSTD2,pan-cancer,ADD2,0.19972413004668121,1178,4.597997366703668e-12,8.282559951354581e-09
TACSTD2,pan-cancer,NPW,0.1989788581150884,1178,5.535403145111952e-12,8.282559951354581e-09
TACSTD2,pan-cancer,CXCL14,0.1989546074749963,1178,5.568856284108506e-12,8.282559951354581e-09
TACSTD2,pan-cancer,KCNG3,0.19841265835761931,1178,6.370272074486977e-12,8.613186960349528e-09
TACSTD2,pan-cancer,CALHM1,0.19786111784881888,1178,7.301513070427212e-12,9.049616991371994e-09
TACSTD2,pan-cancer,MPP2,0.19707168031163597,1178,8.870074196062481e-12,1.0148047193695176e-08
TACSTD2,pan-cancer,PCDHB10,0.19324376870804544,1178,2.252937867751053e-11,2.2338629938040943e-08
TACSTD2,pan-cancer,IRX2,0.18874318574724785,1178,6.579471402432908e-11,5.614322861231549e-08
TACSTD2,pan-cancer,ACADSB,0.18860628725061385,1178,6.794716029191682e-11,5.614322861231549e-08
TACSTD2,pan-cancer,CTSB,0.188358258148025,1178,7.202343565607154e-11,5.6379187290144844e-08
TACSTD2,pan-cancer,FOLR2,0.18794884060212605,349,0.0004154224971524591,0.004566577088062472
TACSTD2,pan-cancer,OR5M11,0.1876633322996868,1059,7.529621863530943e-10,3.499627061759241e-07
TACSTD2,pan-cancer,ERBB4,0.18691479464446983,1178,1.0093628323237912e-10,7.423943208191167e-08
TACSTD2,pan-cancer,SAR1B,0.18394485407868333,1178,2.0043712311782093e-10,1.3105575519591471e-07
TACSTD2,pan-cancer,ZNF558,0.1824406095568732,1178,2.824946128322451e-10,1.7506426569391588e-07
TACSTD2,pan-cancer,HTR5A,0.18041517702542959,1178,4.4637631044945253e-10,2.511201758221026e-07
TACSTD2,pan-cancer,ADRA2A,0.18032138777147214,1178,4.5587606718192495e-10,2.511201758221026e-07
TACSTD2,pan-cancer,WFDC1,0.17856135811697457,1178,6.754182287914383e-10,3.2404823602629227e-07
TACSTD2,pan-cancer,KCNJ9,0.17771957910502295,1178,8.139988090067601e-10,3.6686679655628923e-07
TACSTD2,pan-cancer,FAM9A,0.17728064361258247,1178,8.968756794831791e-10,3.923303523809801e-07
TACSTD2,pan-cancer,GGCX,0.17668253158576813,1178,1.0231530729386037e-09,4.347815901090244e-07
TACSTD2,pan-cancer,TMEM143,0.17621406546595675,1178,1.1339956313950188e-09,4.6397300953051145e-07
TACSTD2,pan-cancer,TRHDE,0.17603271430906473,1178,1.1799724066924544e-09,4.6397300953051145e-07
TACSTD2,pan-cancer,SOWAHC,0.17589912519412237,1178,1.2149962262265493e-09,4.6397300953051145e-07
TACSTD2,pan-cancer,GREM2,0.1752154626845857,1178,1.4106901716072812e-09,5.04404326826202e-07
TACSTD2,pan-cancer,ATP5MK,0.1752125876780099,1178,1.4115746211437747e-09,5.04404326826202e-07
TACSTD2,pan-cancer,BPHL,0.17506993112733926,1178,1.4561450646574693e-09,5.04404326826202e-07
TACSTD2,pan-cancer,PI16,0.17417070854020547,1178,1.770309135007009e-09,5.611788953659217e-07
TACSTD2,pan-cancer,IRX3,0.1739702906992356,1178,1.8488378856269863e-09,5.611788953659217e-07
TACSTD2,pan-cancer,ACTR3C,0.17327275632861258,1043,1.782623058418821e-08,2.945883638651458e-06
TACSTD2,pan-cancer,OSBPL1A,0.17306912199440086,1178,2.245867555420062e-09,6.680557630352515e-07
