query,cohort,direction,gene,r,n,p,q
TACSTD2,pan-cancer,positive,KALRN,0.25097036225024094,1178,2.2302908193663165e-18,1.6585557678217613e-14
TACSTD2,pan-cancer,positive,FFAR2,0.22836461591325838,1178,2.1102840793268564e-15,1.0462085037276111e-11
TACSTD2,pan-cancer,positive,OLIG2,0.22023031307129318,1178,2.093194824224998e-14,6.22641732413968e-11
TACSTD2,pan-cancer,positive,RPL36A,0.20675529482827262,349,9.992587844403873e-05,0.0016015060238127026
TACSTD2,pan-cancer,positive,PRH2,0.2029149402329511,349,0.00013511343847032905,0.0019859786660049567
TACSTD2,pan-cancer,positive,OR51D1,0.20035604315350525,1059,4.731013545695749e-11,4.397772779070804e-08
TACSTD2,pan-cancer,positive,ADD2,0.19972413004668121,1178,4.597997366703668e-12,8.282559951354581e-09
TACSTD2,pan-cancer,positive,NPW,0.1989788581150884,1178,5.535403145111952e-12,8.282559951354581e-09
TACSTD2,pan-cancer,positive,CXCL14,0.1989546074749963,1178,5.568856284108506e-12,8.282559951354581e-09
TACSTD2,pan-cancer,positive,KCNG3,0.19841265835761931,1178,6.370272074486977e-12,8.613186960349528e-09
TACSTD2,pan-cancer,positive,CALHM1,0.19786111784881888,1178,7.301513070427212e-12,9.049616991371994e-09
TACSTD2,pan-cancer,positive,MPP2,0.19707168031163597,1178,8.870074196062481e-12,1.0148047193695176e-08
TACSTD2,pan-cancer,positive,PCDHB10,0.19324376870804544,1178,2.252937867751053e-11,2.2338629938040943e-08
TACSTD2,pan-cancer,positive,IRX2,0.18874318574724785,1178,6.579471402432908e-11,5.614322861231549e-08
TACSTD2,pan-cancer,positive,ACADSB,0.18860628725061385,1178,6.794716029191682e-11,5.614322861231549e-08
TACSTD2,pan-cancer,positive,CTSB,0.188358258148025,1178,7.202343565607154e-11,5.6379187290144844e-08
TACSTD2,pan-cancer,positive,FOLR2,0.18794884060212605,349,0.0004154224971524591,0.004566577088062472
TACSTD2,pan-cancer,positive,OR5M11,0.1876633322996868,1059,7.529621863530943e-10,3.499627061759241e-07
TACSTD2,pan-cancer,positive,ERBB4,0.18691479464446983,1178,1.0093628323237912e-10,7.423943208191167e-08
TACSTD2,pan-cancer,positive,SAR1B,0.18394485407868333,1178,2.0043712311782093e-10,1.3105575519591471e-07
TACSTD2,pan-cancer,positive,ZNF558,0.1824406095568732,1178,2.824946128322451e-10,1.7506426569391588e-07
TACSTD2,pan-cancer,positive,HTR5A,0.18041517702542959,1178,4.4637631044945253e-10,2.511201758221026e-07
TACSTD2,pan-cancer,positive,ADRA2A,0.18032138777147214,1178,4.5587606718192495e-10,2.511201758221026e-07
TACSTD2,pan-cancer,positive,WFDC1,0.17856135811697457,1178,6.754182287914383e-10,3.2404823602629227e-07
TACSTD2,pan-cancer,positive,KCNJ9,0.17771957910502295,1178,8.139988090067601e-10,3.6686679655628923e-07
TACSTD2,pan-cancer,negative,SH3BGR,-0.17215564107662057,1162,3.498851494286645e-09,9.461530595368231e-07
TACSTD2,pan-cancer,negative,AOC2,-0.17217459853020597,1178,2.7214947887844435e-09,7.783998460305966e-07
TACSTD2,pan-cancer,negative,SYT4,-0.1723822788592419,1178,2.6030239719329078e-09,7.591132457756498e-07
TACSTD2,pan-cancer,negative,ARMC12,-0.17398138896737778,1178,1.8444020288054744e-09,5.611788953659217e-07
TACSTD2,pan-cancer,negative,SLC25A25,-0.1739814442405211,1178,1.8443799626718017e-09,5.611788953659217e-07
TACSTD2,pan-cancer,negative,OR2T27,-0.17471017681486428,1059,1.047689690656585e-08,2.023673866121479e-06
TACSTD2,pan-cancer,negative,GALNT6,-0.17485326182123043,1178,1.5264710396641821e-09,5.159819039301223e-07
TACSTD2,pan-cancer,negative,STRN,-0.17506312293357268,1178,1.458306061556289e-09,5.04404326826202e-07
TACSTD2,pan-cancer,negative,SLC35G6,-0.17547661991225494,1162,1.7225929463694648e-09,5.611788953659217e-07
TACSTD2,pan-cancer,negative,UQCR10,-0.17549630690278203,1059,8.978411262182545e-09,1.8292590507183696e-06
TACSTD2,pan-cancer,negative,GDPD3,-0.17589298313184162,1178,1.216630630786657e-09,4.6397300953051145e-07
TACSTD2,pan-cancer,negative,ZCCHC17,-0.17900958846640008,1178,6.113017469726071e-10,3.0306302942411955e-07
TACSTD2,pan-cancer,negative,PLAAT4,-0.17959147372076417,1178,5.368549358203561e-10,2.753325331191778e-07
TACSTD2,pan-cancer,negative,ZDHHC23,-0.1798866351963053,1178,5.025477812199879e-10,2.6694261250303146e-07
TACSTD2,pan-cancer,negative,HEXIM2,-0.18144368728444232,1178,3.540703684489854e-10,2.1064354359767042e-07
TACSTD2,pan-cancer,negative,TCTN3,-0.1838965297048615,1178,2.026680810533207e-10,1.3105575519591471e-07
TACSTD2,pan-cancer,negative,ZFY,-0.18610643943621122,349,0.00047430587251395324,0.005001767065653632
