ModelID,CellLineName,StrippedCellLineName,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,LungGroup,PrimaryOrMetastasis,Sex,Age,HasCRISPR,HasExpression,TACSTD2_geneEffect,TACSTD2_depProb,TACSTD2_log2TPM1,CLDN4_geneEffect,CLDN4_depProb,CLDN4_log2TPM1
ACH-002089,201T,201T,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,68.0,False,False,,,,,,
ACH-000757,A427,A427,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,52.0,True,True,-0.071501054,0.035998397,0.20163386,0.064628825,0.012397806,0.82374936
ACH-000681,A549,A549,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,58.0,True,True,-0.11627108,0.05148417,0.20163386,0.019389462,0.013213203,2.2047668
ACH-003012,A549_CRAF_KD,A549CRAFKD,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,58.0,True,True,0.1607552,0.0038279041,0.0,-0.035789322,0.025111554,1.8439839
ACH-000528,ABC-1,ABC1,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,47.0,True,True,-0.054580297,0.031475678,7.3856897,0.1109505,0.0051137833,8.603478
ACH-000603,BEN,BEN,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Metastatic,Male,71.0,False,True,,,0.5753123,,,8.75335
ACH-000826,CAL-12T,CAL12T,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Male,,True,True,-0.1142143,0.04574742,9.267583,0.04999321,0.011506933,8.592457
ACH-000511,Calu-1,CALU1,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,47.0,True,True,-0.120806284,0.07400597,6.244126,0.07863448,0.012787395,6.3466024
ACH-000392,Calu-3,CALU3,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,25.0,False,True,,,7.2657557,,,7.4848633
ACH-000264,Calu-6,CALU6,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,61.0,True,True,-0.14996819,0.13450457,0.5260688,-0.04538772,0.05554097,3.536053
ACH-000867,ChaGo-K-1,CHAGOK1,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Metastatic,Male,45.0,True,True,0.069375224,0.016498579,7.084702,0.13648199,0.010431281,7.58105
ACH-002996,CI34601,CI34601,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Metastatic,Male,56.0,False,True,,,4.034744,,,0.7570233
ACH-000161,COR-L105,CORL105,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,,True,True,0.13638364,0.004983876,0.74846125,0.060305856,0.01007884,4.739848
ACH-000662,COR-L23,CORL23,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,62.0,True,True,-0.40846577,0.35581985,7.4848633,-0.25546038,0.14872828,7.970911
ACH-001489,COR-L32,CORL32,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Unknown,,False,True,,,0.0,,,5.8767624
ACH-001490,COR-L321,CORL321,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,58.0,False,False,,,,,,
