gene,class,n_lines_screened_twice,between_screen_r,p,sd_screen1
DNM2,common essential,32,0.8269011460208029,5.449640495389749e-09,0.56681114488796
FAM50A,common essential,32,0.7668701633769468,3.076192410819753e-07,0.45795692955505574
ASZ1,non-essential control,32,0.7076777183348124,5.9058465275671124e-06,0.1793833912680696
DDX3X,common essential,32,0.6873079379381765,1.3905743201621786e-05,0.5029410401647741
DNAJC9,common essential,32,0.6840253300632754,1.586278021716483e-05,0.6994388454724136
ARPC4,common essential,32,0.6806675915375942,1.8118724892980323e-05,0.29366630005256145
DDX6,common essential,32,0.6715044130054579,2.5822924034125286e-05,0.22745478179897052
AIFM1,common essential,32,0.6711617426627525,2.6161165655432323e-05,0.44403814607998676
KHDC3L,non-essential control,32,0.6642283399048501,3.392098885218404e-05,0.211576850255819
ADAM20,non-essential control,32,0.6581344464666531,4.238933851172538e-05,0.17096645737041016
ACO2,common essential,32,0.6517782190009002,5.320352980358978e-05,0.4479237670751011
ATP1A1,common essential,32,0.6391970738584468,8.217545657745418e-05,0.5578157834573584
BCL2L1,common essential,32,0.6383252012464902,8.462840261226466e-05,0.926401609252846
DNM1L,common essential,32,0.6316221718812274,0.00010578637615315328,0.559704870849693
MMP27,non-essential control,32,0.6248886395724907,0.00013168466515962423,0.08369583675011423
ATL2,common essential,32,0.624267031717529,0.00013433957519642313,0.33823133676563855
CHMP3,common essential,32,0.6121021198388436,0.0001968798918479968,0.31061097431139095
GRB2,common essential,32,0.608896326485579,0.00021718014968478505,0.8003951719307246
CLNS1A,common essential,32,0.6086625110251032,0.00021873114623098314,0.4272293521958093
MUC17,non-essential control,30,0.6046677562191076,0.0004012743967670049,0.23409101823865708
ADSL,common essential,32,0.6037062781340615,0.0002540127182611151,0.6807192300374433
AMD1,common essential,32,0.598490541889683,0.0002965203346552706,0.35683568830499046
DDX39B,common essential,32,0.5947922630044968,0.0003303741509007822,0.28964504480691705
CTPS1,common essential,32,0.5887223087756015,0.00039340822225734825,0.4550115726238111
ALG2,common essential,32,0.5850293658017285,0.0004367710781155831,0.503445915085404
IL25,non-essential control,32,0.584347108875561,0.00044522946594647173,0.13849320383180036
MOGAT3,non-essential control,32,0.5797872410840872,0.0005055785144261446,0.18945911952729144
CEP57,common essential,32,0.5729408291836764,0.0006097767283255953,0.18977301920555587
DTYMK,common essential,31,0.5645405465882779,0.0009385642439873834,0.5730120136437409
BPTF,common essential,32,0.5636798510494012,0.0007806687130251759,0.32594046531231946
FOXB1,non-essential control,32,0.5589739490240454,0.0008826669119417698,0.16798095599314897
CLTC,common essential,32,0.5558374894503679,0.0009569868466983996,0.4869285509758013
CDIN1,common essential,32,0.5389814696912678,0.001458248408633421,0.283378021860557
CPSF6,common essential,32,0.5249692907322038,0.002036288870438889,0.27914320320707336
GART,common essential,32,0.5231349606643269,0.0021250472741478803,0.33521517543794693
GTF3C1,common essential,32,0.5195959132296297,0.0023058358210077154,0.3166316729458045
HBS1L,common essential,32,0.51958869414627,0.002306217838173034,0.18456122841903622
COG4,common essential,32,0.518840861055696,0.0023460904114544255,0.26330644968833733
CDCA5,common essential,32,0.5123779375444938,0.002716358043708313,0.38905338276703466
MEP1B,non-essential control,32,0.5115665743205424,0.0027662393660302974,0.10023307505217914
CHMP4B,common essential,32,0.5112732995984216,0.002784463621044461,0.6032724570394827
FEN1,common essential,32,0.508802405888457,0.0029421795027101613,0.41519577711298156
GHSR,non-essential control,32,0.5077967526109839,0.0030085493373616236,0.1870981717683914
EIF1,common essential,32,0.5002556433555894,0.003548829109732205,0.30368675200035444
G6PC1,non-essential control,32,0.5000654745573517,0.0035634703342993625,0.1374988023763391
CENATAC,common essential,32,0.49994900659612873,0.003572462985932537,0.4716356537322158
ABCG8,non-essential control,32,0.49661425619338945,0.0038383828829084577,0.11362078264103327
CAD,common essential,32,0.49444508685950594,0.004020364923758893,0.3579673614339484
GHRH,non-essential control,32,0.493698514375066,0.0040846932066784716,0.1192865328072726
BRCA2,common essential,32,0.49060999738460875,0.004360316810141891,0.2730075216931739
LORICRIN,non-essential control,32,0.48862912853313933,0.004545383474272318,0.15060321336316143
DNAJC11,common essential,32,0.4875252635499119,0.00465141209116957,0.5196791195546461
CCT5,common essential,32,0.48699723200432354,0.00470287698487002,0.35857803054399284
KRTAP1-1,non-essential control,32,0.4846036383714638,0.004942346358464549,0.19225094354977756
GRPEL1,common essential,32,0.48219981562662917,0.005193289522984392,0.330604238382722
GFER,common essential,32,0.4797747283277918,0.005457437176312598,0.29253215153972933
DLST,common essential,32,0.4791005400709394,0.005532883391422874,0.24130619034958647
DHX35,common essential,32,0.4750939116603351,0.005999921000512037,0.28407855238607377
GML,non-essential control,32,0.4749556854769521,0.006016616760260326,0.2160516401606584
ATRX,common essential,32,0.47419497683937756,0.0061092116444780385,0.19068320898853286
ANTXRL,non-essential control,32,0.4725466946592185,0.006314027230568956,0.16615133704628
BTAF1,common essential,32,0.47234519769469674,0.0063394626832284804,0.24375639760275353
EIF2B3,common essential,32,0.47126109111884396,0.006477818264610704,0.5195554728038
FXN,common essential,32,0.4697639367984374,0.006673117292068024,0.5078150208828478
DMAP1,common essential,32,0.4697231649934146,0.006678505290951922,0.2806600972674784
KRT76,non-essential control,32,0.4692962080515253,0.006735150845026935,0.10276263590653195
CWF19L2,common essential,32,0.46778307545655323,0.006939211986699117,0.21327920631235936
FOXN1,non-essential control,32,0.46758000201985667,0.006966995205477083,0.1451878726035401
CTNNBL1,common essential,32,0.467283312100498,0.007007756749333528,0.3598289846610432
EXOC1,common essential,32,0.46403131247445745,0.007468021238679053,0.2686391675702826
GET1,common essential,32,0.4613839456333426,0.00786146136937884,0.380036215120916
COX10,common essential,32,0.46114556646395394,0.007897736662275546,0.3038195631284269
KCNG4,non-essential control,32,0.460418717704986,0.008009223701535046,0.14752032738772555
GPR31,non-essential control,32,0.45997515552434287,0.008077913524037798,0.1435415348035756
DYNLRB1,common essential,32,0.45986044340263044,0.008095758967854074,0.7158116925898153
DARS2,common essential,32,0.45974487145373916,0.008113772008620629,0.3752173930036028
ACTR3,common essential,32,0.457151234756746,0.008527059377062359,0.20521544429425945
ELP6,common essential,32,0.45578788747930754,0.008751369900870342,0.35339453680134186
AAMP,common essential,32,0.4551870817322191,0.008851795964297585,0.277999861255944
GMPS,common essential,32,0.4540863956365864,0.009038312013560605,0.549047061741104
CNGB3,non-essential control,31,0.4538153942256039,0.010339088022740603,0.11695817574182167
ALX3,non-essential control,32,0.45058827680116276,0.009653333159682666,0.18368889000452687
BLM,common essential,32,0.4500969567211698,0.009742483920655848,0.1999661976543017
ATIC,common essential,32,0.4484984418146011,0.010037367700257638,0.42644482049781324
AP2S1,common essential,32,0.4474553669417842,0.010233823970766293,0.55201993189072
CDC37,common essential,32,0.4470519767589739,0.010310665411386368,0.38518374709965814
FNDC9,non-essential control,32,0.44675303905675384,0.010367923475592787,0.09825915519017192
CCT7,common essential,32,0.4461550456729378,0.010483267839590926,0.1738209644031633
FAM98B,common essential,32,0.44132226189454327,0.011455798554721563,0.4847959070108376
ELP4,common essential,32,0.43610648379957445,0.012589527128787354,0.2530408857673375
ANAPC4,common essential,32,0.435584281883842,0.012708050252052605,0.40405410961619104
FNTB,common essential,32,0.4302001665716635,0.013985649576126415,0.41819134494023946
TACSTD2,target,32,0.4295155955892108,0.014155538917883124,0.16607579570345632
ALDOA,common essential,32,0.4287202390529967,0.014355087515976271,0.5140202824356018
ARMC7,common essential,32,0.4250090932163653,0.01531756526169425,0.387572889680229
APOA4,non-essential control,32,0.42443307935926256,0.015471675838296057,0.11522395651881652
CSNK1A1,common essential,32,0.42203481526300024,0.01612730705383667,0.2934936332972817
COPG1,common essential,32,0.4192496035893526,0.016917629424196525,0.7892650470063992
EHMT1,common essential,32,0.4177624246463629,0.017352661550883167,0.2450259635309014
GET4,common essential,32,0.4163031504511303,0.017788535974730884,0.304886766782432
DR1,common essential,32,0.4064011456196379,0.02099285301739957,0.2518695972929797
BRCA1,common essential,32,0.4052303408292665,0.02140142046802768,0.3122765749493937
CTU2,common essential,32,0.40450301404579475,0.021658521868083376,0.3604439231988598
CINP,common essential,32,0.40360641024096733,0.021978964801849975,0.33519557177932613
HARS1,common essential,32,0.40250400842906753,0.022378311510028052,0.2589815761431017
DDX18,common essential,32,0.39974574138316393,0.02340377572455167,0.33790625109323347
GPR45,non-essential control,32,0.39964429397044504,0.023442217048905537,0.1673521972833871
BIRC5,common essential,32,0.39877464608532853,0.023773889097724352,0.3474689740979873
CSNK2B,common essential,32,0.3985002137840562,0.023879351874042127,0.41540351952887505
CHRNA6,non-essential control,32,0.3958467092933432,0.024919071230583758,0.10990638061233027
FARSA,common essential,32,0.3957756541497812,0.024947415728147845,0.24796968747023163
KASH5,non-essential control,32,0.3952334547798304,0.02516457681130884,0.22723425457829757
CNPY1,non-essential control,32,0.3936638802080523,0.02580198661043615,0.14038470693809224
FOXR1,non-essential control,32,0.39332206349529364,0.025942541021860853,0.10468314858546872
EIF1AD,common essential,32,0.39291185373477294,0.026112046889730334,0.328783203727335
KRT84,non-essential control,32,0.39149451554266923,0.02670471943927446,0.16569788188951765
DYNC1H1,common essential,32,0.3904239283369568,0.027159663074727478,0.5249981453383304
ABCB7,common essential,32,0.3888414746341712,0.027843726985311755,0.44799217643481337
CRLS1,common essential,32,0.38842499148393606,0.028026087746889854,0.2369237791786375
CTC1,common essential,32,0.3855319204422738,0.02931997229868761,0.2745618256646829
KRT75,non-essential control,32,0.3845179200349106,0.029784844946600376,0.11823479574875921
COPE,common essential,32,0.38184813849487353,0.031037628933648437,0.5314333355477612
HCRTR2,non-essential control,32,0.37918074546159997,0.032331805573958684,0.12382433685661838
ALG1,common essential,32,0.37901549122648603,0.03241340533308915,0.36726855908447337
DPRX,non-essential control,32,0.37805491271065067,0.03289104287480249,0.1318618011471184
GNB1L,common essential,31,0.37607186952930355,0.03706289679551883,0.3671538655578696
CRNKL1,common essential,32,0.3760692991797937,0.03389649305734605,0.3451346401391289
GSX1,non-essential control,32,0.37557486435202914,0.0341506963830095,0.12301144765914133
IL9,non-essential control,32,0.3747473418801449,0.03457960647321913,0.13626530258895603
GJA10,non-essential control,32,0.3741390941180456,0.034897640081844435,0.09535830266751373
IFNA10,non-essential control,32,0.37386741487921715,0.03504045597634695,0.09339951335310068
CENPN,common essential,32,0.3729351317183974,0.03553414000048934,0.3434072429681015
CCT6A,common essential,32,0.3707743198145092,0.03670004454592339,0.2938529709191565
BCS1L,common essential,32,0.3702057662796182,0.03701189977748714,0.3480208901248424
CCT8L2,non-essential control,32,0.36980989858488533,0.03723029713981162,0.1664135022556355
CTCF,common essential,32,0.3697543267005945,0.037261038876068554,0.49689955044157097
CFDP1,common essential,32,0.3696795702552794,0.03730242562483697,0.18124767406005726
