cohort,cancer,file,cldn4_present,reason,usable_for_OR
GSE136961,NSCLC,GSE136961_TPM.tsv.gz,False,targeted immune panel; CLDN4 not measured,False
GSE93157,NSCLC,GSE93157_raw.txt.gz,False,targeted immune panel; CLDN4 not measured,False
