cohort	family	score	n_units	n_cells	spearman_rho	spearman_p	spearman_usable	q4_n	q4_n_q1	q4_n_q4	q4_median_q1	q4_median_q4	q4_delta_median	q4_r_rb	q4_p	q4_usable	ifn_mhc_down
KP_n20	IFN	Seurat_AddModuleScore	15	2610	-0.1	0.722897325279117	TRUE	15	4	4	0.0786747735291101	0.0658209697158456	-0.0128538038132645	-0.125	0.885233914473202	TRUE	TRUE
KP_n20	IFN	mean_depositor_TPM	15	2610	0.339285714285714	0.216028925341955	TRUE	15	4	4	1.42446272459484	1.65266690041132	0.22820417581648	0.625	0.193930852282411	TRUE	FALSE
KP_n20	MHC-I/APM	Seurat_AddModuleScore	15	2610	-0.214285714285714	0.443140934823514	TRUE	15	4	4	0.0409108812468525	-0.0253605684661654	-0.0662714497130179	-0.375	0.47048642205879	TRUE	TRUE
KP_n20	MHC-I/APM	mean_depositor_TPM	15	2610	0.139285714285714	0.620546087627902	TRUE	15	4	4	2.62102212340471	2.81392090962383	0.192898786219127	0.25	0.665005542102029	TRUE	FALSE
KP_n20	TJ	Seurat_AddModuleScore	15	2610	0.817857142857143	0.000195136547063199	TRUE	15	4	4	0.17952238874165	0.250504526800875	0.070982138059225	1	0.0303828219765775	TRUE	NA
KP_n20	TJ	mean_depositor_TPM	15	2610	0.757142857142857	0.00108110819418584	TRUE	15	4	4	1.88611779078798	2.43651378820116	0.550395997413184	1	0.0303828219765775	TRUE	NA
KplusKP_n20	IFN	Seurat_AddModuleScore	24	3681	-0.301739130434783	0.151871453115741	TRUE	24	6	6	0.102803625475992	0.0972620360941384	-0.00554158938185395	-0.333333333333333	0.378477593244679	TRUE	TRUE
KplusKP_n20	IFN	mean_depositor_TPM	24	3681	0.269565217391304	0.202722273362926	TRUE	24	6	6	1.53904456621394	1.60761662728719	0.0685720610732548	0.333333333333333	0.378477593244679	TRUE	FALSE
KplusKP_n20	MHC-I/APM	Seurat_AddModuleScore	24	3681	-0.526086956521739	0.00827592189426457	TRUE	24	6	6	0.301085484355733	0.0829726129778	-0.218112871377933	-0.555555555555556	0.128205275030392	TRUE	TRUE
KplusKP_n20	MHC-I/APM	mean_depositor_TPM	24	3681	-0.287826086956522	0.17261549938272	TRUE	24	6	6	3.20719766238178	3.03635990757256	-0.170837754809213	-0.333333333333333	0.378477593244679	TRUE	TRUE
KplusKP_n20	TJ	Seurat_AddModuleScore	24	3681	0.675652173913043	0.00029087233956732	TRUE	24	6	6	0.203036419800463	0.241214636127353	0.0381782163268906	1	0.00507486809794025	TRUE	NA
KplusKP_n20	TJ	mean_depositor_TPM	24	3681	0.736521739130435	4.06527779303238e-05	TRUE	24	6	6	2.00681257799579	2.38890703086888	0.382094452873085	0.944444444444444	0.00823901882572464	TRUE	NA
all_n20	IFN	Seurat_AddModuleScore	28	3880	-0.501368363437329	0.00656813909072613	TRUE	28	7	7	0.111107073654345	0.0921297779534597	-0.018977295700885	-0.755102040816326	0.0214507336863221	TRUE	TRUE
all_n20	IFN	mean_depositor_TPM	28	3880	0.00711548987411056	0.971333893381549	TRUE	28	7	7	1.58615774628335	1.59061852685984	0.00446078057649291	-0.102040816326531	0.798297847328526	TRUE	FALSE
all_n20	MHC-I/APM	Seurat_AddModuleScore	28	3880	-0.66776135741653	0.000103429778701141	TRUE	28	7	7	0.390647513491509	0.0333752401067031	-0.357272273384805	-0.959183673469388	0.00329451387658258	TRUE	TRUE
all_n20	MHC-I/APM	mean_depositor_TPM	28	3880	-0.499726327312534	0.00677590430427233	TRUE	28	7	7	3.66423308306936	2.99968348034414	-0.66454960272522	-0.836734693877551	0.0106033453821227	TRUE	TRUE
all_n20	TJ	Seurat_AddModuleScore	28	3880	0.475095785440613	0.010623127357176	TRUE	28	7	7	0.21979443254568	0.239902150501628	0.0201077179559475	0.551020408163265	0.0966975676176362	TRUE	NA
all_n20	TJ	mean_depositor_TPM	28	3880	0.726327312534209	1.20995572357375e-05	TRUE	28	7	7	1.92957534719589	2.3807574194568	0.451182072260907	0.918367346938775	0.00493790547090731	TRUE	NA
KP_all	IFN	Seurat_AddModuleScore	16	2614	-0.258823529411765	0.333072306633608	TRUE	16	4	4	0.105718396087136	0.0658209697158456	-0.0398974263712904	-0.375	0.47048642205879	TRUE	TRUE
KP_all	IFN	mean_depositor_TPM	16	2614	0.102941176470588	0.704410381816771	TRUE	16	4	4	1.62925760150026	1.65266690041132	0.0234092989110561	0.125	0.885233914473202	TRUE	FALSE
KP_all	MHC-I/APM	Seurat_AddModuleScore	16	2614	-0.352941176470588	0.179958657884981	TRUE	16	4	4	0.221485847133372	-0.0253605684661654	-0.246846415599537	-0.625	0.193930852282411	TRUE	TRUE
KP_all	MHC-I/APM	mean_depositor_TPM	16	2614	-0.0617647058823529	0.820241877504489	TRUE	16	4	4	3.19948633998755	2.81392090962383	-0.385565430363712	-0.25	0.665005542102029	TRUE	TRUE
KP_all	TJ	Seurat_AddModuleScore	16	2614	0.738235294117647	0.00109285081184815	TRUE	16	4	4	0.203884497286738	0.250504526800875	0.0466200295141369	1	0.0303828219765775	TRUE	NA
KP_all	TJ	mean_depositor_TPM	16	2614	0.776470588235294	0.000404350840545469	TRUE	16	4	4	2.00654660052942	2.43651378820116	0.429967187671745	1	0.0303828219765775	TRUE	NA
deposited_mouseID_KP30w_tumors	IFN	Seurat_AddModuleScore	12	1554	-0.118881118881119	0.712884219214771	TRUE	12	3	3	0.0403066665981844	0.0113225245566823	-0.0289841420415021	-0.333333333333333	0.662520583540057	TRUE	TRUE
deposited_mouseID_KP30w_tumors	IFN	mean_depositor_TPM	12	1554	0.566433566433566	0.0548421197754078	TRUE	12	3	3	1.1449465620576	1.56326695956405	0.418320397506444	0.777777777777778	0.190430263825524	TRUE	FALSE
deposited_mouseID_KP30w_tumors	MHC-I/APM	Seurat_AddModuleScore	12	1554	-0.356643356643357	0.255137751758957	TRUE	12	3	3	-0.0455695627706412	-0.169417692122173	-0.123848129351531	-1	0.0808555983700523	TRUE	TRUE
deposited_mouseID_KP30w_tumors	MHC-I/APM	mean_depositor_TPM	12	1554	0.258741258741259	0.416774768899138	TRUE	12	3	3	1.95390587052969	2.26801294560495	0.314107075075255	0.333333333333333	0.662520583540057	TRUE	FALSE
deposited_mouseID_KP30w_tumors	TJ	Seurat_AddModuleScore	12	1554	0.895104895104895	8.36658642909169e-05	TRUE	12	3	3	0.187080799042518	0.253768613216734	0.0666878141742153	1	0.0808555983700523	TRUE	NA
deposited_mouseID_KP30w_tumors	TJ	mean_depositor_TPM	12	1554	0.86013986013986	0.000331668339126922	TRUE	12	3	3	1.78524440998654	2.57323929581482	0.787994885828278	1	0.0808555983700523	TRUE	NA
