unit	unit_col	animal	n_mouseID	genotype	week	timesimple	n_cells	n_tumors	Cldn4_mean	Cldn4_pct_pos	IFN_module	MHC_module	TJ_module	IFN_tpm	MHC_tpm	TJ_tpm	Epcam_mean	Ptprc_pct_pos	any_tnk_marker_pct
K_12w_ND_m1	mouseID	K_12w_ND_m1	1	K	12w	04_K_12w_ND	155	1	4.86109334428915	0.606451612903226	0.102578370032772	0.277381946448512	0.239902150501628	1.5445077135222	3.27741449056392	2.15140720052297	7.13350205255813	0.0129032258064516	0.0193548387096774
K_12w_ND_m2	mouseID	K_12w_ND_m2	1	K	12w	04_K_12w_ND	141	1	1.70356861236215	0.24113475177305	0.0937215283070097	0.261629562803806	0.206272164850224	1.40337775380973	2.9400920291712	1.87954103134027	5.89748935679322	0	0
K_12w_ND_m3	mouseID	K_12w_ND_m3	1	K	12w	04_K_12w_ND	159	1	1.61405143805444	0.276729559748428	0.166196655780146	0.47050166855128	0.235248154836931	1.7344061439282	3.87391328946922	2.08588797122055	6.39597324447092	0.0251572327044025	0.0314465408805031
K_2w_ND_m3	mouseID	K_2w_ND_m3	1	K	2w	02_KorKP_early_ND	58	1	2.42626198959433	0.396551724137931	0.227532932994305	0.635862226992138	0.268568634413761	2.0720528632209	4.7972285329594	2.3266915203439	6.11116426700646	0.189655172413793	0.241379310344828
K_2w_ND_m4	mouseID	K_2w_ND_m4	1	K	2w	02_KorKP_early_ND	31	1	0.586584633323472	0.161290322580645	0.110614328427251	0.390647513491509	0.229612999724675	1.58615774628335	3.66423308306936	2.08404980879569	5.75906634990304	0.032258064516129	0.032258064516129
K_2w_ND_m5	mouseID	K_2w_ND_m5	1	K	2w	02_KorKP_early_ND	22	1	0.903235259057236	0.181818181818182	0.105142380310501	0.35704843554173	0.205303040335934	1.46067295769827	3.35566177136734	1.88989938935011	5.61542695272591	0	0
K_30w_ND_m1	mouseID	K_30w_ND_m1	1	K	30w	05_K_30w_ND	193	1	0.713106592125781	0.124352331606218	0.100464870641484	0.245122533169736	0.200769799264992	1.49193138614452	3.02487264615588	1.92957534719589	6.2093261854602	0.0259067357512953	0.0414507772020725
K_30w_ND_m2	mouseID	K_30w_ND_m2	1	K	30w	05_K_30w_ND	206	1	2.21603578308939	0.383495145631068	0.0995433744870642	0.219399926141449	0.22097146228427	1.50486642491101	3.0142158916716	2.02709868671734	6.39546050449082	0.0388349514563107	0.0776699029126214
K_30w_ND_m3	mouseID	K_30w_ND_m3	1	K	30w	05_K_30w_ND	106	1	3.04332946347475	0.462264150943396	0.0844184581801741	0.165476936813754	0.238425146375612	1.49597791030984	2.88191920606505	2.15749163841019	6.74538926453535	0.0377358490566038	0.0471698113207547
KP_12w_ND_m1	mouseID	KP_12w_ND_m1	1	KP	12w	06_KP_12w_ND	131	1	4.01241680925921	0.687022900763359	0.0145311532187872	-0.101562148241224	0.223356152643766	1.54589526938434	2.5138229225848	2.42355272877896	7.58630167746501	0.00763358778625954	0.0458015267175573
KP_12w_ND_m2	mouseID	KP_12w_ND_m2	1	KP	12w	06_KP_12w_ND	124	1	4.94185147227128	0.758064516129032	0.102394294234817	0.0333752401067031	0.26131290057134	1.80770762714631	3.07303633480099	2.60051776329387	7.16266517610644	0.0403225806451613	0.0564516129032258
KP_12w_ND_m3	mouseID	KP_12w_ND_m3	1	KP	12w	06_KP_12w_ND	74	1	4.57546254332969	0.77027027027027	0.0292476451968741	-0.0942536283627461	0.236547721342265	1.59061852685984	2.55480548444668	2.47597093412137	7.60309260367969	0.0135135135135135	0.027027027027027
KP_12w_ND_m4	mouseID	KP_12w_ND_m4	1	KP	12w	06_KP_12w_ND	62	1	3.71309203182425	0.435483870967742	0.118132613059321	0.212204181179137	0.243099613114539	1.61863274492334	3.09127418975456	2.21777522470265	6.364098839211	0.0161290322580645	0.032258064516129
KP_12w_ND_m5	mouseID	KP_12w_ND_m5	1	KP	12w	06_KP_12w_ND	48	1	4.50591666812429	0.666666666666667	0.0326511079271769	-0.0173449739707102	0.239044382935862	1.32178867562954	2.28160104171948	2.17446521574895	7.24309694370147	0.1875	0.375
KP_12w_ND_m6	mouseID	KP_12w_ND_m6	1	KP	12w	06_KP_12w_ND	52	1	3.4517444009703	0.519230769230769	0.0973341103713109	0.170086790976222	0.226708032020039	1.53534806914699	2.92393449134409	2.15434688592765	7.59424484176873	0.134615384615385	0.480769230769231
KP_20w_ND_m2	mouseID	KP_20w_ND_m2	1	KP	20w	07_KP_20w_ND	43	1	4.55638779101347	0.744186046511628	0.0921297779534597	0.132569985848897	0.242527121753079	1.62461472771454	2.99968348034414	2.27476830579023	7.30287797450187	0.0232558139534884	0.0697674418604651
KP_20w_ND_m3	mouseID	KP_20w_ND_m3	1	KP	20w	07_KP_20w_ND	60	1	5.9582871870398	0.816666666666667	0.121841998322678	0.160005551243327	0.264875223028121	1.71471527396279	3.14626987347252	2.39705664228095	7.5554025036619	0.0166666666666667	0.0166666666666667
KP_20w_ND_m4	mouseID	KP_20w_ND_m4	1	KP	20w	07_KP_20w_ND	173	1	3.01431181994714	0.560693641618497	0.0466186376927031	-0.0613886559047954	0.207800554801994	1.61436748566782	2.60211270423921	2.32558403171587	7.30483314536257	0.109826589595376	0.132947976878613
KP_20w_ND_m5	mouseID	KP_20w_ND_m5	1	KP	20w	07_KP_20w_ND	126	1	1.49456394394441	0.317460317460317	0.0616441868044656	-0.00113829121922598	0.143476788310377	1.35905685806964	2.1833106934132	1.75009057424467	6.15259589714505	0.00793650793650794	0.00793650793650794
KP_20w_ND_m6	mouseID	KP_20w_ND_m6	1	KP	20w	07_KP_20w_ND	136	1	1.59814944861281	0.330882352941176	0.0957053602537545	0.082960053712931	0.176445153041549	1.76864661188049	3.05873355339621	2.20540577029923	7.4299377720271	0.0147058823529412	0.0294117647058824
KP_2w_ND_m1	mouseID	KP_2w_ND_m1	1	KP	2w	02_KorKP_early_ND	4	1	0.585997337101301	0.25	0.207340416704642	0.524823192366081	0.232227147236354	1.91796681507543	4.26747437191527	2.05150015325327	6.78298467053407	0	0
KP_2w_ND_m2	mouseID	KP_2w_ND_m2	1	KP	2w	02_KorKP_early_ND	27	1	1.62249475116102	0.296296296296296	0.115731431920517	0.360011640553812	0.231323841531927	1.48986859112003	3.34023912657888	1.96159304780556	5.7278157629482	0	0
