sampleID	mouseID	animal	genotype	week	tumor	timesimple	clusterK12	nCount_RNA	nFeature_RNA	Cldn4_tpm	Cldn4_log1p	Cldn4_pos	IFN_module	MHC_module	TJ_module	IFN_tpm	MHC_tpm	TJ_tpm	Epcam_tpm	Ptprc_tpm	Cd3d_tpm	Nkg7_tpm
KP_30w_ND_m3_T7_P1_S302	KP_30w_ND_m3_T7	KP_30w_ND_m3	KP	30w	T7	08_KP_30w_ND	11	28063.4314097723	6118	0	0	0	-0.0280849680262398	-0.399638082531613	0.191442874476215	1.33914763162492	1.52847028357609	2.3898776439209	0	0	0	0
KP_30w_ND_m2_T4_P5_S331	KP_30w_ND_m2_T4	KP_30w_ND_m2	KP	30w	T4	08_KP_30w_ND	12	26896.9863558797	5619	7.21871603012531	2.1064139961528	1	0.12121846058464	0.304114181394299	0.230917043910033	1.80060854485135	3.59464624920581	2.39409227142107	8.8236402619043	0	0	0
K_12w_ND_m3_T0_P2_S272	K_12w_ND_m3	K_12w_ND_m3	K	12w	T0	04_K_12w_ND	5	22625.2266769287	4894	8.01861998204089	2.1992913270304	1	0.203309583117092	0.655695474389633	0.351605132274485	1.87049141303178	4.56567217188793	2.53266817837865	7.87930534173919	0.609559111808015	0	0
KP_30w_ND_m2_T1_P4_S219	KP_30w_ND_m2_T1	KP_30w_ND_m2	KP	30w	T1	08_KP_30w_ND	10	31046.0374341634	7356	5.27593689794748	1.83672278031856	1	0.0860740349444091	0.0597444622106016	0.277817461328843	1.90911141036758	3.10544305057626	2.75458088043392	6.97963407785276	0	0	0
K_2w_ND_m3_T0_P1_S245	K_2w_ND_m3	K_2w_ND_m3	K	2w	T0	02_KorKP_early_ND	1	30612.1644798345	7029	4.07576952429637	1.62447814383635	1	0.357613592197698	0.84526681275666	0.346912293073646	2.85495922518653	6.25781517680575	2.91005617701049	6.71492253944536	0	0	0
KP_30w_ND_m1_T2_P1_S267	KP_30w_ND_m1_T2	KP_30w_ND_m1	KP	30w	T2	08_KP_30w_ND	9	7892.43432860614	1639	0	0	0	0.0352027036984968	0.155945868070655	0.13720598274842	0.485391030638778	1.39223429295799	0.932664160240131	0	0	0	0
KP_30w_ND_m1_T3_P5_S106	KP_30w_ND_m1_T3	KP_30w_ND_m1	KP	30w	T3	08_KP_30w_ND	9	6790.14767831425	1061	0	0	0	-0.03406754124592	-0.207045335178023	0.0639812066425484	0.273674029975461	0	0.676106873363657	0	0	0	0
KP_12w_ND_m2_T0_P3_S309	KP_12w_ND_m2	KP_12w_ND_m2	KP	12w	T0	06_KP_12w_ND	4	28986.8821744958	6497	5.83996323137315	1.92278235608977	1	0.0971004304054174	0.261811112468519	0.190098871931089	1.85190119817439	3.97438358500982	2.40400438390729	7.83074308889238	0	0	0
KP_30w_ND_m3_T1_P1_S16	KP_30w_ND_m3_T1	KP_30w_ND_m3	KP	30w	T1	08_KP_30w_ND	5	29108.2787273672	6538	9.99154882390727	2.39712668877762	1	-0.0311277075367132	-0.205192496992495	0.292682157996603	1.4689114928731	2.40244713187656	2.72690293415256	9.53630353339576	0	0	0
KP_30w_ND_m1_T3_P3_S212	KP_30w_ND_m1_T3	KP_30w_ND_m1	KP	30w	T3	08_KP_30w_ND	11	24673.4650254376	5073	0	0	0	-0.0387161657633306	-0.38021474598005	0.146023509679576	1.22545663826797	1.18151345135918	1.9784266693671	0	0	0	0
