spec	estimator	r_TACSTD2_CLDN4	r_TACSTD2_immune	r_CLDN4_immune	n
c4_pct	pooled_within_z	0.5003410033573739	-0.15114363776396225	-0.46922866933895613	65
c4_mean	pooled_within_z	0.5511981273266786	-0.039207270915452036	-0.2931361739316517	65
c4_pct_logit	pooled_within_z	0.5003410033573739	-0.13725137453976197	-0.5123372153412507	65
c4_pct_min30_malignant	pooled_within_z	0.5014833103426203	-0.13326547276059586	-0.4585187666034887	64
tcga_cd8_krt819	pooled_within_z	0.30042429162516854	-0.05278305128775267	-0.08308973399315915	3444
tcga_cd3_krt819	pooled_within_z	0.30042429162516854	-0.02587648750958037	-0.09224963787654832	3444
tcga_cytotoxic_krt819	pooled_within_z	0.30042429162516854	-0.04970937899983519	-0.10523642650148912	3444
tcga_cd8_none	pooled_within_z	0.4170506042557869	-0.08251958585435169	-0.10181051887651096	3444
tcga_cd8_krt56	pooled_within_z	0.43341810316931145	-0.1085890230566638	-0.10408186255331742	3444
tcga_cd3_krt56	pooled_within_z	0.43341810316931145	-0.08178918208100004	-0.11475620982693895	3444
tcga_cd8_krt819_plus_lusc	pooled_within_z	0.3147803610535373	-0.07870589721280573	-0.07687357430509645	3945
