spec	estimator	cohort	model	model_name	n	k	ll	aic	bic	aicc	delta_bic	lr_vs_saturated	df	p_vs_saturated	srmr	resid_r_TC	resid_r_TI	resid_r_CI	is_winner
c4_pct	pooled_within_z	ALL	M1	M1_TACSTD2_to_CLDN4_to_immune	65	5	-259.24625206739836	528.4925041347967	539.364440484275	529.509453287339	0.0	0.7823395711571948	1	0.3764265695023544	0.03414209253316283	0.0	0.0836307054571365	5.551115123125783e-17	True
c4_pct	pooled_within_z	ALL	M2	M2_CLDN4_to_TACSTD2_to_immune	65	5	-266.5775066933878	543.1550133867756	554.0269497362539	544.171962539318	14.662509251978918	15.444848823136113	1	8.494816185209516e-05	0.1606886949123643	-1.1102230246251565e-16	-5.551115123125783e-17	-0.3936053099690518	False
c4_pct	pooled_within_z	ALL	M3	M3_independent	65	5	-268.2195348502042	546.4390697004084	557.3110060498866	547.4560188529507	17.94656556561165	18.728905136768844	1	1.5068099767567555e-05	0.2307251834267908	0.5003410033573739	-0.2595696332366955	0.04107490066526387	False
c4_pct	pooled_within_z	ALL	saturated	saturated	65	6	-258.85508228181976	529.7101645636395	542.7564881830133	531.1584404257085	3.392047698738338	0.0	0	1.0	1.3784958753881249e-16	0.0	-1.1102230246251565e-16	-5.551115123125783e-17	False
c4_pct	within_dataset	GSE123902	M1	M1_TACSTD2_to_CLDN4_to_immune	13	5	-51.469246967794604	112.93849393558921	115.7632407228969	121.50992250701778	0.0	0.20255398754960652	1	0.6526671907814681	0.037693719422668956	-1.6653345369377348e-16	-0.09233037909317465	0.0	True
c4_pct	within_dataset	GSE123902	M2	M2_CLDN4_to_TACSTD2_to_immune	13	5	-53.111874142452784	116.22374828490557	119.04849507221326	124.79517685633414	3.285254349316361	3.4878083368659674	1	0.06182238115141281	0.1668635302937355	1.1102230246251565e-16	1.1102230246251565e-16	-0.4087305058990952	False
c4_pct	within_dataset	GSE123902	M3	M3_independent	13	5	-52.79259823324489	115.58519646648978	118.40994325379746	124.15662503791835	2.646702530900569	2.8492565184501757	1	0.09141620333002663	0.2032169559450203	0.44364141938895457	-0.22265933106944935	-0.037254535181920456	False
c4_pct	within_dataset	GSE123902	saturated	saturated	13	6	-51.3679699740198	114.7359399480396	118.12563609280882	128.7359399480396	2.3623953699119227	0.0	0	1.0	1.1555567610933196e-16	-1.6653345369377348e-16	5.551115123125783e-17	2.220446049250313e-16	False
c4_pct	within_dataset	GSE131907	M1	M1_TACSTD2_to_CLDN4_to_immune	21	5	-76.2254505505965	162.450901101193	167.67351328981013	166.450901101193	0.0	0.2665553265499341	1	0.6056519048743289	0.024491483331698323	-2.220446049250313e-16	0.059991637206540216	-5.551115123125783e-17	True
c4_pct	within_dataset	GSE131907	M2	M2_CLDN4_to_TACSTD2_to_immune	21	5	-77.02092551581285	164.0418510316257	169.26446322024282	168.0418510316257	1.5909499304326857	1.8575052569826198	1	0.1729130056947893	0.06589936715606164	-2.220446049250313e-16	5.551115123125783e-17	-0.16141982390467563	False
