sample_id,CLDN4,CLDN7,KLF4,KRT5,PECAM1,TACSTD2
11LU013,13.9614,11.3816,9.7419,2.5657,12.0015,12.1415
11LU016,13.1615,10.4617,8.4425,5.8575,12.0616,12.0216
11LU022,13.3015,10.7017,8.8822,4.4277,12.6015,10.8317
11LU035,13.8716,10.8217,10.3517,2.995,12.5716,13.0916
C3L-00001,13.1119,10.3317,6.8496,5.8172,12.5418,11.5018
C3L-00009,12.7915,10.9417,8.9921,7.0638,13.0915,12.7115
C3L-00080,10.7917,11.6718,8.5815,5.6993,12.2718,11.9518
C3L-00083,11.6119,10.1916,9.6813,10.7118,13.3921,10.8818
C3L-00093,14.079,11.0491,9.9393,4.8527,12.779,13.349
C3L-00094,12.5416,12.1016,8.4122,4.9484,12.5916,10.2017
C3L-00095,12.3616,11.0717,11.0417,6.3638,13.2316,12.0916
C3L-00140,11.8816,11.6016,8.1527,6.8444,12.1216,11.7116
C3L-00144,13.4717,10.4317,8.6418,4.7228,12.8617,12.7117
C3L-00263,13.0915,11.2316,11.0816,8.0927,13.1515,13.4615
C3L-00279,13.2066,10.9767,8.4472,5.0339,12.5966,12.4366
C3L-00368,13.3615,11.3616,10.3817,6.6449,12.3915,12.4715
C3L-00412,11.8116,10.0118,10.6317,8.9721,13.8915,11.7416
C3L-00422,12.7441,10.4642,9.4844,0,12.0141,12.3941
C3L-00510,13.1117,11.0217,8.5819,3.4901,11.0017,13.1117
C3L-00604,14.0815,12.0116,7.5232,7.2835,11.9416,12.2916
C3L-00893,13.1216,12.0917,8.552,5.704,12.2517,13.0316
C3L-00913,12.3116,11.4316,10.4117,3.6274,13.1716,12.6716
C3L-00973,12.4416,10.8817,10.1418,8.2824,12.9416,13.4216
C3L-01330,13.2017,11.6117,9.4217,5.1814,12.4417,12.3017
C3L-01632,12.7214,12.8814,9.2123,8.6628,12.4814,12.2514
C3L-01682,13.5417,11.5717,10.9717,7.1623,13.0117,13.0217
C3L-01683,11.5717,9.6118,10.5417,7.5324,13.4416,10.8517
C3L-01862,12.7416,12.6516,10.1818,8.3124,12.6616,13.6315
C3L-01889,12.2516,11.9016,9.4618,4.7482,12.4616,12.1916
C3L-01890,11.872,11.672,9.3009,8.2295,13.0622,11.3519
C3L-01924,13.4816,11.1117,8.6021,4.8495,12.6516,12.5416
C3L-02219,14.0715,11.3916,9.092,5.3183,12.4116,12.6916
C3L-02345,12.6417,11.7417,9.5217,7.3118,12.7517,11.5617
C3L-02348,12.5915,11.3016,8.4524,5.2501,12.7315,11.2216
C3L-02350,12.4615,10.5017,9.2021,8.4026,12.7015,11.9316
C3L-02365,14.3215,11.9416,7.9628,6.5152,12.0016,13.8115
C3L-02508,11.1516,10.3118,10.2918,6.1289,13.8114,12.3215
C3L-02549,11.5416,12.4915,11.5316,7.6133,12.6415,13.2815
C3N-00167,13.4314,11.1716,9.8219,7.2945,12.3615,12.8314
C3N-00169,12.7214,10.8916,9.5621,5.0385,12.3814,12.2614
C3N-00175,12.8819,11.0518,8.1509,5.3449,13.1119,12.2418
C3N-00180,12.2317,11.0417,10.2317,3.3627,12.0517,9.8918
C3N-00199,12.9316,12.0316,8.4623,7.9226,12.3016,12.7716
C3N-00203,13.0115,11.0416,10.1318,4.8035,12.1616,12.6215
C3N-00217,12.4316,11.8316,7.6126,8.6021,11.9716,11.4716
C3N-00223,13.1716,11.9117,8.2821,6.9927,12.6616,12.6816
C3N-00293,12.8065,10.8466,8.3877,5.8936,12.3465,12.6665
C3N-00294,13.2617,10.5117,8.1117,5.4715,10.9817,12.7517
C3N-00433,11.0017,8.8521,9.3619,5.836,13.2316,10.4117
C3N-00546,13.3615,10.3817,8.6722,2.8819,12.4616,11.6716
C3N-00547,12.9418,10.9817,9.2116,6.5103,12.3818,11.5618
C3N-00549,11.2516,11.1317,10.9017,4.552,11.1617,7.393
C3N-00550,13.9915,10.9917,9.6619,3.5167,11.9316,13.0116
C3N-00551,13.3415,12.1115,7.4436,4.9136,12.5015,11.7716
C3N-00552,11.9216,11.0017,9.172,5.2978,12.2516,12.4116
C3N-00556,13.1715,11.2916,9.3521,5.2025,12.5015,12.3415
C3N-00559,13.3716,11.3216,9.012,5.347,12.3916,12.1016
C3N-00560,12.5815,11.9115,9.1822,5.3716,11.8715,12.0115
C3N-00572,13.3715,11.1116,10.2218,4.3135,12.5615,11.5316
C3N-00574,13.2715,11.6416,10.3517,10.1818,13.0415,12.6315
C3N-00578,11.8916,11.1416,9.0921,8.1028,12.5115,13.1215
C3N-00579,13.6414,10.7517,9.3921,6.1983,12.3315,12.4415
C3N-00580,13.6015,11.3616,7.5434,6.5753,11.0116,11.5516
C3N-00704,12.6616,11.6116,9.1619,3.2628,12.0016,13.1416
C3N-00737,11.9818,10.0717,9.0416,4.4359,13.1518,9.6116
C3N-00738,11.4317,10.9317,11.7217,7.7119,14.1717,10.0417
C3N-00959,12.3316,11.3016,11.8816,6.7239,12.4416,12.9916
C3N-01016,11.7319,11.5819,8.921,5.7935,12.5819,12.0819
C3N-01021,12.4515,11.5616,9.1821,5.7691,13.2715,12.4115
C3N-01023,12.2916,11.6616,8.3123,5.7064,12.5016,9.9818
C3N-01024,13.3116,11.9516,7.3228,4.0533,11.9616,12.9616
C3N-01030,12.9916,12.4816,8.4023,7.4931,12.4216,13.6915
C3N-01071,12.5714,12.5314,10.3818,5.9604,12.3414,14.0214
C3N-01072,11.9716,10.3217,8.3624,3.291,12.6616,12.1816
C3N-01074,13.2815,11.9815,9.442,5.6892,12.6215,11.6716
C3N-01405,12.2716,12.4316,9.4319,6.0456,12.2716,12.2116
C3N-01410,12.3916,11.4916,10.3517,8.1824,12.3016,11.1117
C3N-01413,12.9117,10.9717,9.6417,5.9314,13.0817,11.3117
C3N-01414,12.7317,11.9317,10.1917,6.0224,12.6317,11.9317
C3N-01415,13.5915,11.1616,8.6424,6.2462,12.4215,12.3615
C3N-01416,12.8015,11.4016,10.6617,6.4469,13.1214,12.4915
C3N-01488,12.5516,11.7616,9.3419,4.1167,12.3316,12.3316
C3N-01489,12.6217,11.6117,10.1717,4.2173,12.7917,11.7917
C3N-01799,12.9516,10.6817,8.7419,5.0551,12.5317,12.1817
C3N-01823,11.7616,11.3116,10.1818,4.9419,12.6615,10.6917
C3N-01842,12.6017,10.6817,9.6317,7.7917,12.1317,12.0617
C3N-02000,13.0416,11.3717,8.682,6.6232,12.0716,12.8116
C3N-02002,13.6515,10.8817,8.5423,3.3996,11.7216,11.9116
C3N-02003,12.3816,10.9917,9.4318,5.4056,12.6016,11.2117
C3N-02067,13.4114,12.1015,8.4128,7.2147,12.5115,12.6415
C3N-02087,12.7816,11.0816,9.6019,6.6544,12.9116,13.0315
C3N-02089,11.4441,12.3341,10.3242,4.2882,11.5241,10.8442
C3N-02145,13.6315,11.3016,8.8823,9.7119,12.3215,12.7715
C3N-02149,13.4216,11.2917,8.0422,8.1022,12.5316,11.7616
C3N-02155,12.5215,11.3716,7.8233,2.5574,11.4516,10.8117
C3N-02158,12.4215,11.9016,8.6024,4.4581,12.2815,11.5416
C3N-02379,13.8014,11.1916,8.1432,10.6317,11.9015,12.0515
C3N-02380,13.4816,11.6417,10.2517,11.0717,12.3216,12.2216
C3N-02421,13.2116,11.5617,8.7119,6.3229,12.2417,12.2917
C3N-02422,13.5318,11.6517,9.4016,6.861,11.8617,14.0318
C3N-02423,13.1316,10.7617,8.5622,4.2833,12.4816,12.5616
C3N-02424,12.4817,11.1017,9.1117,4.7113,13.1617,11.8217
C3N-02433,13.0515,10.9916,8.4824,4.9029,12.5915,12.1316
C3N-02529,13.7115,11.3916,8.1127,6.9143,12.2616,10.9717
C3N-02572,13.2416,10.5417,7.8124,4.8981,11.9416,13.0816
C3N-02582,13.7315,11.1316,7.5532,5.3097,13.3515,12.6915
C3N-02586,13.0116,11.4417,7.5825,4.9872,12.8316,11.9716
C3N-02587,12.4216,11.4116,8.2323,4.9086,12.7716,11.9016
