sample_id,CLDN4,CLDN7,KLF4,KRT5,PECAM1,TACSTD2
C3L-00081,11.5616,7.6631,10.0818,16.3115,11.3816,12.8415
C3L-00415,11.8916,11.0616,10.4817,15.5515,12.1816,13.7815
C3L-00445,10.4717,10.2917,10.9717,16.8116,11.9916,11.5416
C3L-00568,10.9817,10.3017,10.0917,16.6917,12.2017,12.6817
C3L-00603,10.5017,9.4119,10.1917,15.2116,11.4716,9.092
C3L-00904,13.5219,9.1213,10.4817,16.6819,12.7119,13.9819
C3L-00923,11.7717,10.3717,10.3517,16.3617,12.4617,13.1417
C3L-00927,13.4415,11.7915,10.2218,15.4614,11.0516,14.0914
C3L-00965,11.6316,10.4417,9.8918,10.7817,12.0616,9.8618
C3L-00993,11.9015,11.3616,11.0016,17.6014,11.5216,13.4715
C3L-01000,12.2216,10.2717,10.8817,7.4731,13.1415,11.1016
C3L-01285,10.7517,7.6825,7.8224,14.9916,10.6917,10.1218
C3L-01455,11.5116,11.1717,10.7417,14.0516,13.4516,12.7016
C3L-01606,11.2517,10.0917,9.9817,17.5316,12.8716,12.7216
C3L-01663,12.9616,10.6417,9.8018,15.4116,12.3916,13.6116
C3L-01838,12.8315,11.0116,9.9518,16.6015,12.8515,14.0315
C3L-01884,12.4616,10.9417,9.9818,17.5616,11.4116,13.7416
C3L-02127,12.3518,8.8214,11.3418,17.1718,11.8018,13.6518
C3L-02130,13.5615,12.2616,11.3716,15.9015,13.0015,14.0615
C3L-02163,12.5715,11.7016,11.6016,18.4914,11.1116,14.0515
C3L-02164,10.6317,9.4716,11.1817,13.9818,14.0818,10.4817
C3L-02168,12.0916,10.1918,11.0317,17.0915,12.1416,12.1016
C3L-02170,12.2017,10.4917,10.7817,14.1016,13.4716,12.5417
C3L-02349,13.9615,12.1716,9.5719,16.8515,12.1516,14.2015
C3L-02358,12.3816,9.7718,11.7316,18.0816,11.9316,13.5016
C3L-02546,12.0315,10.8617,10.0518,16.9414,12.3315,13.0315
C3L-02552,11.0716,10.3617,9.292,14.7215,13.3215,12.3716
C3L-02619,10.5917,10.8418,11.2618,18.172,12.3819,13.2419
C3L-02625,11.9416,9.4518,9.9218,17.1516,12.8916,13.1016
C3L-02627,12.3616,11.0717,11.2217,16.6116,12.0617,14.9216
C3L-02629,12.6616,10.5117,7.8126,9.202,13.1016,11.8216
C3L-02646,12.6317,11.8417,10.0917,15.3317,12.3917,11.7917
C3L-02648,11.7516,11.4916,9.4819,15.5316,12.5716,13.7216
C3L-02649,12.5316,11.3116,8.3524,7.9727,11.9416,10.4217
C3L-02650,12.8415,11.8316,9.6919,16.2015,13.0415,13.6215
C3L-02660,12.4818,10.6717,11.4118,9.8116,13.4718,11.2918
C3L-02665,13.944,11.8541,10.8342,5.85,12.324,12.684
C3L-02669,11.5216,10.5117,9.4219,15.5216,11.6916,13.1216
C3L-02891,11.4816,9.9318,9.5519,14.8615,13.1915,12.3716
C3L-02951,12.0516,10.3717,10.3117,16.9915,12.7115,12.7015
C3L-02963,11.6518,10.6617,10.7317,15.7018,13.7318,12.5318
C3L-02964,11.2217,10.8017,9.8517,16.8417,12.6517,12.9517
C3L-02968,12.7616,10.6917,11.0017,14.9916,12.9916,12.2616
C3L-02969,11.9616,10.3817,9.5918,16.4216,12.7216,13.0616
C3L-03272,11.1717,11.7016,13.0316,15.2816,12.1216,14.5216
C3L-03678,12.1417,11.0617,11.8517,16.6817,12.1317,14.1217
C3L-03961,11.7317,11.0617,11.9616,16.7916,12.8516,12.9916
