sample_id,CLDN4,CLDN7,KLF4,KRT5,PECAM1,TACSTD2
C3N-01799,22.9868855161172,NA,18.2356790377032,25.9885093865039,25.5559623187731,26.0516642217108
C3L-01890,23.2027895420681,NA,18.9988786934062,27.4701956326239,25.9381609859376,27.1380466945289
C3N-00572,23.1132171218189,NA,18.4184817944395,26.4267571723572,26.1610714330809,26.5738971331982
C3N-02423,22.8022812803958,NA,18.0813418558433,26.2066822467789,25.6662025709717,26.4769397014616
C3N-02729,22.2029179081993,NA,18.0649276754735,25.4091864678964,25.4623809636113,26.4879369074639
C3L-00263,23.553764737516,NA,19.5314231940565,27.3942338342434,25.8213103188537,27.1051821909173
C3N-01410,23.3211210488318,NA,19.064096426428,25.8044371886048,25.5605194808948,26.1161333576505
C3N-00578,23.1164940904834,NA,18.9107066105591,26.7554376208016,25.9621749539977,26.9185258624351
C3N-02587,22.0696702147104,NA,NA,25.7085709920795,25.9636685809814,26.3006687454979
C3L-00893,24.6759156789237,NA,NA,26.4583936881345,25.7358187506528,26.9019848527344
C3N-01488,22.7616095643611,NA,NA,26.7351408960358,25.6959401428903,26.6494486981806
C3N-01413,22.9881347041029,NA,NA,25.8777295280968,26.2092913171074,26.3264967081033
C3N-01030,NA,NA,17.7455684821751,26.2618552052614,25.6613243748538,27.4740237747131
C3N-02588,NA,NA,17.5872779797768,29.037838121435,25.7523662276387,26.769666119637
C3N-00552,NA,NA,17.6148216272694,26.0778206351348,25.7709400632308,26.7128927877548
C3L-01889,NA,NA,17.461585165266,26.4894849034759,25.8627313727543,27.0488673195006
C3N-00169,NA,NA,18.8360089381991,25.6688691624587,26.169843310109,26.6399456672066
C3L-00422,NA,NA,19.2197878194115,25.6456459818015,25.3316358805659,25.8897604647032
C3L-00083,NA,NA,18.6481189452664,28.7924417696441,26.131214549245,26.0045252567816
C3N-00551,NA,NA,15.9896639181591,25.5435322145013,25.7989042418923,26.4985114563669
C3N-01842,NA,NA,18.5104983959077,25.3581908788251,25.5604693567521,26.0170004351876
C3N-02089,22.5664900184424,17.8610560867529,18.8909409634913,25.035671980915,25.5998330713165,26.4688129447587
C3L-01682,22.5812742648168,16.8225419823947,17.3912646308114,25.6515664436463,26.311584862798,26.5119422644344
C3N-01016,22.8077305689692,15.9003529449427,18.2126074432592,25.8866414316873,25.9477804654725,27.0279561497274
C3N-00580,22.956394458931,16.6629880439394,16.9336366657691,24.680696318821,25.2675252915551,26.5697667633428
