ModelID,CLDN4,CLDN7,KLF4,KRT5,PECAM1,TACSTD2,CellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-001113,6.349082146391089,0.1110313123887439,5.512542955096859,7.676309727000684,0.01435529297707,3.0669502439246266,LC-1/sq-SF,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000327,3.016139702655253,8.007307646846437,4.038260575175349,0.1763227726404628,0.0565835283663675,0.3561438102252753,NCI-H1395,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000705,8.272769732436512,0.1634987322828795,3.565597175854225,1.3673710656485294,0.2986583155645151,0.5945485495503542,LC-1F,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000528,8.603477988254005,7.47856740557945,5.657354181523702,0.8155754288625725,0.01435529297707,7.385689870739212,ABC-1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-002075,5.617944917420585,5.438625538088378,2.003602236680196,0.722466024471091,0.5945485495503542,0.2265085298086797,Lu-138,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000769,2.541019153133559,6.813011548605618,6.7846348455575205,2.0531113364595623,0.0,5.211790976252541,LK-2,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000800,0.7048719644563528,2.3305584000308026,0.0976107966264223,0.3219280948873623,0.0840642647884745,0.3895668117627256,NCI-H446,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000700,3.817623257511431,3.633431210355632,2.414135532984451,0.2141248053528473,0.5849625007211562,0.2016338611696504,NCI-H2882,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000176,7.581953750848818,0.7398481026993275,1.6461626571578936,0.4750848829487829,0.01435529297707,0.4114262457264649,LOU-NH91,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000587,7.45022149589718,5.890933021705543,3.2555007331483865,0.4750848829487829,0.2750070474998697,5.3125199674749455,NCI-H1975,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000785,7.608365723163637,7.581727841454475,4.299391206126829,0.4436066514756145,0.3219280948873623,8.774490584953922,NCI-H2126,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000585,7.23035674505615,6.853122382824751,4.300123724569014,10.252428905678526,0.0565835283663675,8.924070185585345,EPLC-272H,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000627,7.908272516291422,6.020813304252452,3.5084286525318573,0.6415460290875237,0.1243281350022017,4.305240965954483,LCLC-103H,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000392,7.484863164322325,6.9445070974173895,2.341985747228616,0.722466024471091,0.01435529297707,7.265755676027326,Calu-3,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000729,3.6322682154995127,4.392317422778761,1.3785116232537298,0.5260688116675876,0.0840642647884745,0.5160151470036647,NCI-H1963,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000035,7.974471952285043,7.232277010268292,3.974529312483882,2.4802651220544627,0.1763227726404628,9.811824211241978,NCI-H1650,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC
ACH-000638,8.106484424292539,7.537140729804997,3.2047667506546134,0.5558161550616396,0.137503523749935,9.17587385548062,NCI-H441,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
