cohort	axis	n	rho	p	partial_cd8a_rho	partial_cd8a_p	cd8a_present	note
GSE218989	CD274	355	0.14769364841246024	0.0052992973477591545	0.21881166197024762	3.2844921391383634e-05	True	
GSE218989	HLA-A	355	0.09427319256462044	0.07607454186621973	0.10507052724273414	0.04822627218729483	True	
GSE218989	HLA-B	355	-0.02639069847910078	0.6201967651066508	0.0002270274577013359	0.9966039034706329	True	
GSE218989	HLA-C	355	0.006866543992620254	0.8974202910655332	0.013985886021993228	0.7931479714092773	True	
GSE218989	MHCI	355	0.020826630492003857	0.6957512169505891	0.04577124366630354	0.3905694994739773	True	
GSE126044	CD274	16	-0.6352941176470589	0.008182064616334002	-0.5801984767708713	0.023362462158002188	True	
GSE126044	HLA-A	16	-0.2441176470588235	0.36221349614195036	0.1630211511816146	0.5615710839942889	True	
GSE126044	HLA-B	16	-0.488235294117647	0.05501502977813754	-0.24038926366521773	0.388131026631395	True	
GSE126044	HLA-C	16	-0.4735294117647058	0.06391907182682004	-0.21780011808282265	0.4355158467076584	True	
GSE126044	MHCI	16	-0.4588235294117647	0.07383553449548094	-0.1802927304122779	0.520226885593224	True	
GSE166449	CD274	22	-0.019762845849802372	0.9304384215377666	0.17543777499839863	0.44686204460792633	True	
GSE166449	HLA-A	22	-0.0005646527385657821	0.998010198944439	0.21434573573251772	0.350811402339304	True	
GSE166449	HLA-B	22	-0.05702992659514399	0.8009755903446721	0.23622765938697088	0.30257453724249495	True	
GSE166449	HLA-C	22	0.04912478825522304	0.8281332040215276	0.2118314068518098	0.3566255048511112	True	
GSE166449	MHCI	22	0.0005646527385657821	0.998010198944439	0.24315403689881082	0.2881967974588059	True	
GSE182328	CD274	44	-0.1689922480620155	0.2728130992836733	-0.03183378049520669	0.8394100787707753	True	
GSE182328	HLA-A	44	-0.03977394109560374	0.7976909256798151	0.014793418636940154	0.9249872318586437	True	
GSE182328	HLA-B	44	-0.12073711115308179	0.4349873897310191	0.019994780889609706	0.8987317685317603	True	
GSE182328	HLA-C	44	0.12433439848129947	0.4213244790517617	0.2844732715336144	0.06447915310219564	True	
GSE182328	MHCI	44	0.0054265478027981425	0.9721119438244339	0.14805919919473726	0.3433759327456355	True	
