leiden	n_cells	n_patients	is_root	is_cldn4_high_cluster	top_histology	top_recist	mean_CLDN4	mean_barrier_keratin	mean_IFN	mean_AT2	mean_dpt	mean_sling
0	214	8	False	False	ADC	PR	1.9234111529007802	1.222508337323862	0.10231006230264204	0.19932288323734032	0.3003658056259155	77.39856357743113
1	892	21	False	False	ADC	PD	1.1658843892021609	1.207230669345257	0.29938340436363	0.107249878708758	0.27462807297706604	75.377313818063
2	1859	22	False	False	ADC	PR	0.6944052504531609	1.1580652973944456	0.20232600734652634	0.11039569014896465	0.27250075340270996	67.05216387163736
3	26	1	False	False	SCLC	PD	1.9594927564949391	1.4102811316796162	0.448306833332726	0.015949189628426917	0.277925044298172	67.46379237646684
4	382	12	False	False	ADC	PD	1.817660539614281	1.2491729890799943	0.22725012872871267	1.4005401320898625	0.2755143344402313	82.53829507481026
5	1171	20	False	False	ADC	PD	2.1491871361906085	1.8714876464639436	0.5073781939539931	0.31133161661784486	0.2722480595111847	78.09382590206457
6	508	6	False	False	NUT	SD	0.8351455834873891	1.035142957496563	0.35512737490135743	0.022224685296538083	0.37057769298553467	81.9509906090531
7	99	13	False	True	SQ	SD	2.188943337646276	1.55648909198026	0.5863286972384656	0.09674125359824194	0.29084089398384094	99.44204495577424
8	329	20	True	False	ADC	NE	0.2109801890363049	0.2934891335600388	0.4729146826138856	0.08319121217571315	0.06891786307096481	41.25483674973946
9	102	16	False	False	ADC	PR	1.5390990904657893	1.5247737219114628	0.3739964627423669	0.6951637442026456	0.27594685554504395	92.25819878446099
10	241	12	False	False	ADC	NE	1.8470869273686361	1.1828738024663443	0.46404941673264566	0.11345420414995988	0.7200150489807129	117.4768922449793
11	332	15	False	False	ADC	PD	0.6099529548159492	1.7595696289339293	0.4724082556652758	0.12731975112228514	0.27100953459739685	70.85762537496727
12	60	11	False	False	ADC	PD	0.2165556882371746	0.27667172315365585	0.3155575248816948	0.08148683579007036	0.3066338896751404	112.79061506444597
13	352	7	False	False	ADC	NE	1.4684827694626703	2.026448544960438	0.6727296954466624	0.028227035376636803	0.27360185980796814	87.03738757926627
14	213	3	False	False	SCLC	NE	1.2405690807582945	0.8752633683114939	0.06057202940209512	0.019507189352898538	0.43911513686180115	87.11006080756741
15	716	3	False	False	SCLC	PR	1.687896001372564	0.7927159349566028	0.21738801922654732	0.031180291551149774	0.6839797496795654	86.62605719443815
16	56	2	False	False	SCLC	PR	1.7377555877466353	0.5381410455701255	0.0779856041410836	0.09129351361828084	0.6264494061470032	83.50473714601726
