contrast	n_r	n_nr	median_r	median_nr	delta_median	U	p
DPT, RECIST R vs NR	6	10	0.3173006474971771	0.2818954735994339	0.035405173897743225	43.0	0.1805694305694306
Slingshot PT, RECIST R vs NR	6	10	78.5739680276412	76.10129253688481	2.4726754907563873	41.0	0.26348651348651353
CLDN4, RECIST R vs NR	6	10	1.4286231559814362	0.9468851849841862	0.48173797099725	37.0	0.49225774225774227
barrier/keratin, RECIST R vs NR	6	10	1.090414413611331	1.1461750172877858	-0.055760603676454856	29.0	0.9577922077922078
IFN, RECIST R vs NR	6	10	0.09610859535155009	0.4519294633599962	-0.3558208680084461	21.0	0.3676323676323677
