lineage	order	leiden
Lineage1	1	8
Lineage1	2	2
Lineage1	3	11
Lineage1	4	5
Lineage1	5	4
Lineage1	6	9
Lineage2	1	8
Lineage2	2	2
Lineage2	3	11
Lineage2	4	5
Lineage2	5	13
Lineage3	1	8
Lineage3	2	2
Lineage3	3	1
Lineage3	4	15
Lineage3	5	16
Lineage4	1	8
Lineage4	2	2
Lineage4	3	6
Lineage4	4	7
Lineage5	1	8
Lineage5	2	2
Lineage5	3	1
Lineage5	4	3
Lineage6	1	8
Lineage6	2	2
Lineage6	3	0
Lineage7	1	8
Lineage7	2	2
Lineage7	3	10
Lineage8	1	8
Lineage8	2	2
Lineage8	3	14
Lineage9	1	8
Lineage9	2	12
