contrast	n	rho	p
ADC+SQ CLDN4 vs DPT	17	0.42892156862745107	0.08580101895154521
ADC+SQ CLDN4 vs barrier/keratin (no CLDN4)	17	0.5073529411764706	0.03763288102483574
ADC+SQ CLDN4 vs IFN	17	-0.12009803921568628	0.6461426985863068
ADC+SQ IFN vs DPT	17	0.09803921568627452	0.7081513097186048
drop n_cells<50 CLDN4 vs DPT	21	0.37272727272727274	0.09610224578434735
CLDN4 %pos vs DPT	22	0.4443817052512706	0.03826346174887373
ADC+SQ CLDN4 vs Slingshot PT	17	0.5857843137254902	0.013478995289806915
