contrast	n	rho	p	note	q	family
CLDN4 vs CytoTRACE2	43	-0.36363636363636365	0.01653190809860188		0.023144671338042634	primary
CLDN4 vs barrier/keratin (no CLDN4)	43	0.28752642706131076	0.06154309730282359		0.07180028018662753	primary
CytoTRACE2 vs barrier/keratin (no CLDN4)	43	-0.5249169435215947	0.00030174886274409964		0.0010561210196043487	primary
CLDN4 vs frac Differentiated	43	0.44342852633695784	0.002899460987068916		0.0067654089698274715	primary
CLDN4 vs malignant-like	43	0.5561763817577772	0.00010775431147218208		0.0007542801803052746	primary
CLDN4 vs TACSTD2 (comparator)	43	0.3814557535487768	0.011605986119361058		0.02031047570888185	primary
CLDN4 vs Gulati2020 CytoTRACE	43	0.25943823618242223	0.0929529163900859		0.09295291639008589	primary
GSE131907-only CLDN4 vs CytoTRACE2	21	-0.49870129870129876	0.02138084599925308			sensitivity
GSE131907-only CLDN4 vs barrier/keratin (no CLDN4)	21	0.1987012987012987	0.3878822634645567			sensitivity
GSE205335-only CLDN4 vs CytoTRACE2	22	-0.1485036702428007	0.509537703044494			sensitivity
GSE205335-only CLDN4 vs barrier/keratin (no CLDN4)	22	0.24788255223037836	0.26601937978240725			sensitivity
GSE205335 ADC-only CLDN4 vs CytoTRACE2	14	-0.3098901098901099	0.2809332808692584			sensitivity
GSE205335 ADC+SQ CLDN4 vs CytoTRACE2	17	-0.32598039215686275	0.20163694355296405			sensitivity
GSE131907 mBrain CLDN4 vs CytoTRACE2	10	-0.4424242424242424	0.20042268671194213			sensitivity
GSE131907 mLN CLDN4 vs CytoTRACE2	7	-0.6071428571428572	0.14823116148116164			sensitivity
GSE131907 tL/B CLDN4 vs CytoTRACE2	4	0.0	1.0			sensitivity
potency high vs low	43	-0.006391882729119679	0.001228423053212413	within-unit CLDN4-high minus CLDN4-low; negative potency Δ = high more differentiated		paired
barrier/keratin (no CLDN4) high vs low	43	0.357332830242589	1.6479364449501875e-08	within-unit CLDN4-high minus CLDN4-low; negative potency Δ = high more differentiated		paired
Gulati2020 high vs low	43	0.24614546283934335	3.1503081597039415e-08	within-unit CLDN4-high minus CLDN4-low; negative potency Δ = high more differentiated		paired
