contrast	n	spearman_rho	spearman_p	note	dataset	bh_fdr
epithelial TACSTD2 mean log1p vs T/NK fraction (joint, all eligible donors)	76	0.15409432672590567	0.18383052050933707			0.6127684016977902
epithelial TACSTD2 mean log1p vs T/NK fraction (dataset-residualized ranks)	76	0.05131501565983286	0.6597704877643411			
epithelial TACSTD2 mean log1p vs T/NK fraction [GSE127465]	7	0.42857142857142866	0.3373683110858243		GSE127465	
epithelial TACSTD2 mean log1p vs T/NK fraction [GSE131907]	34	0.15324675324675324	0.38688603747411116		GSE131907	
epithelial TACSTD2 mean log1p vs T/NK fraction [GSE148071]	26	-0.1569230769230769	0.44393642092671465		GSE148071	
epithelial TACSTD2 mean log1p vs T/NK fraction [GSE253013]	9	-0.11666666666666665	0.765007942926146		GSE253013	
epithelial CLDN4 mean log1p vs T/NK fraction (joint, all eligible donors)	76	0.11964456596035544	0.30326631405121			0.758165785128025
epithelial CLDN4 mean log1p vs T/NK fraction (dataset-residualized ranks)	76	-0.10790924135290013	0.35348377128829445			
epithelial CLDN4 mean log1p vs T/NK fraction [GSE127465]	7	-0.03571428571428572	0.9394082054712856		GSE127465	
epithelial CLDN4 mean log1p vs T/NK fraction [GSE131907]	34	-0.20733384262796029	0.23936635231499384		GSE131907	
epithelial CLDN4 mean log1p vs T/NK fraction [GSE148071]	26	0.15897435897435896	0.4379267018285339		GSE148071	
epithelial CLDN4 mean log1p vs T/NK fraction [GSE253013]	9	-0.19999999999999998	0.6059012741795534		GSE253013	
malignant-like TACSTD2 mean log1p vs T/NK fraction (joint, all eligible donors)	73	-0.33483507048329975	0.0037851093106964512			0.03785109310696451
malignant-like TACSTD2 mean log1p vs T/NK fraction (dataset-residualized ranks)	73	-0.25218787214890814	0.03136387539142055			
malignant-like TACSTD2 mean log1p vs T/NK fraction [GSE127465]	7	0.42857142857142866	0.3373683110858243		GSE127465	
malignant-like TACSTD2 mean log1p vs T/NK fraction [GSE131907]	31	-0.3194754401498051	0.07978962125276287		GSE131907	
malignant-like TACSTD2 mean log1p vs T/NK fraction [GSE148071]	26	-0.15418803418803417	0.45201745067995136		GSE148071	
malignant-like TACSTD2 mean log1p vs T/NK fraction [GSE253013]	9	-0.7166666666666667	0.02981803569584528		GSE253013	
malignant-like CLDN4 mean log1p vs T/NK fraction (joint, all eligible donors)	73	-0.2724411425027236	0.019708096315571168			0.09854048157785583
malignant-like CLDN4 mean log1p vs T/NK fraction (dataset-residualized ranks)	73	-0.2568149573692367	0.02828691510145945			
malignant-like CLDN4 mean log1p vs T/NK fraction [GSE127465]	7	-0.14285714285714288	0.7599453002180927		GSE127465	
malignant-like CLDN4 mean log1p vs T/NK fraction [GSE131907]	31	-0.42383924872907097	0.01749691512989262		GSE131907	
malignant-like CLDN4 mean log1p vs T/NK fraction [GSE148071]	26	0.018803418803418803	0.9273564412292927		GSE148071	
malignant-like CLDN4 mean log1p vs T/NK fraction [GSE253013]	9	-0.6	0.08762282904140249		GSE253013	
epithelial TACSTD2 mean log1p vs B/TLS-like fraction (joint, all eligible donors)	71	-0.0004024144869215291	0.997342557032077			0.9973425570320769
epithelial TACSTD2 mean log1p vs B/TLS-like fraction (dataset-residualized ranks)	71	0.03485153497735279	0.7729338957986056			
epithelial TACSTD2 mean log1p vs B/TLS-like fraction [GSE127465]	7	0.39285714285714296	0.3833168704269727		GSE127465	
epithelial TACSTD2 mean log1p vs B/TLS-like fraction [GSE131907]	31	0.1467741935483871	0.4307535369103875		GSE131907	
epithelial TACSTD2 mean log1p vs B/TLS-like fraction [GSE148071]	24	-0.07304347826086956	0.7344671341768291		GSE148071	
epithelial TACSTD2 mean log1p vs B/TLS-like fraction [GSE253013]	9	-0.6	0.08762282904140249		GSE253013	
epithelial CLDN4 mean log1p vs B/TLS-like fraction (joint, all eligible donors)	71	0.05751173708920187	0.6337926743497231			0.9465851175843605
epithelial CLDN4 mean log1p vs B/TLS-like fraction (dataset-residualized ranks)	71	-0.03297265559469888	0.7848722594877912			
epithelial CLDN4 mean log1p vs B/TLS-like fraction [GSE127465]	7	0.28571428571428575	0.5345092286010406		GSE127465	
epithelial CLDN4 mean log1p vs B/TLS-like fraction [GSE131907]	31	-0.07500000000000001	0.6884291889171924		GSE131907	
epithelial CLDN4 mean log1p vs B/TLS-like fraction [GSE148071]	24	0.07043478260869565	0.7436342012968034		GSE148071	
epithelial CLDN4 mean log1p vs B/TLS-like fraction [GSE253013]	9	-0.19999999999999998	0.6059012741795534		GSE253013	
malignant-like TACSTD2 mean log1p vs B/TLS-like fraction (joint, all eligible donors)	68	-0.0395540630298174	0.7487793081571462			0.9465851175843605
malignant-like TACSTD2 mean log1p vs B/TLS-like fraction (dataset-residualized ranks)	68	0.02217362664440679	0.8575604608749461			
malignant-like TACSTD2 mean log1p vs B/TLS-like fraction [GSE127465]	7	0.5714285714285715	0.18020198891152767		GSE127465	
malignant-like TACSTD2 mean log1p vs B/TLS-like fraction [GSE131907]	28	0.058098163612204275	0.769018963746574		GSE131907	
malignant-like TACSTD2 mean log1p vs B/TLS-like fraction [GSE148071]	24	0.003478260869565217	0.9871304734643621		GSE148071	
malignant-like TACSTD2 mean log1p vs B/TLS-like fraction [GSE253013]	9	-0.03333333333333333	0.9321567355405039		GSE253013	
malignant-like CLDN4 mean log1p vs B/TLS-like fraction (joint, all eligible donors)	68	0.023060476901553772	0.8519266058259244			0.9465851175843605
malignant-like CLDN4 mean log1p vs B/TLS-like fraction (dataset-residualized ranks)	68	0.02351592838533022	0.8490361272963383			
malignant-like CLDN4 mean log1p vs B/TLS-like fraction [GSE127465]	7	0.28571428571428575	0.5345092286010406		GSE127465	
malignant-like CLDN4 mean log1p vs B/TLS-like fraction [GSE131907]	28	-0.035126367172422526	0.8591538136353054		GSE131907	
malignant-like CLDN4 mean log1p vs B/TLS-like fraction [GSE148071]	24	0.07478260869565216	0.7283751615575543		GSE148071	
malignant-like CLDN4 mean log1p vs B/TLS-like fraction [GSE253013]	9	0.016666666666666666	0.9660548039946862		GSE253013	
epithelial TACSTD2 %pos vs T/NK fraction (joint, all eligible donors)	76	0.03696514012303486	0.7512267656102593			0.9465851175843605
epithelial TACSTD2 %pos vs T/NK fraction (dataset-residualized ranks)	76	-0.08407073594376135	0.4702670090450354			
epithelial TACSTD2 %pos vs T/NK fraction [GSE127465]	7	0.5	0.2531699951003227		GSE127465	
