column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
K-1			K_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
K-2			K_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
K-3			K_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
K-4			K_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KAA-1			KAA_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KAA-2			KAA_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KAA-3			KAA_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KAA-4			KAA_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KL-1			KL_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KL-2			KL_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KL-3			KL_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
KL-4			KL_tumor	KL	LUAD	in_vivo_tumor	column_labels_only	
