column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
KL77-Kras-Lkb1-NA	GSM4078508	KL77-Kras-Lkb1-NA	KL_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DLkb1fl/fl); background strain=C57BL/6
KL80-Kras-Lkb1-NA	GSM4078509	KL80-Kras-Lkb1-NA	KL_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DLkb1fl/fl); background strain=C57BL/6
KL84-Kras-Lkb1-NA	GSM4078510	KL84-Kras-Lkb1-NA	KL_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DLkb1fl/fl); background strain=C57BL/6
KL5739-Kras-Lkb1-NA	GSM4078511	KL5739-Kras-Lkb1-NA	KL_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DLkb1fl/fl); background strain=C57BL/6
KL6426-Kras-Lkb1-NA	GSM4078512	KL6426-Kras-Lkb1-NA	KL_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DLkb1fl/fl); background strain=C57BL/6
KP_411-Kras-Trp53-Vehi	GSM4078515	KP_411-Kras-Trp53-Vehi	KP_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DTrp53fl/fl); background strain=C57BL/6
KP_414-Kras-Trp53-Vehi	GSM4078514	KP_414-Kras-Trp53-Vehi	KP_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DTrp53fl/fl); background strain=C57BL/6
KPp3558-8-Kras-Trp53-Vehi	GSM4078517	KPp3558-8-Kras-Trp53-Vehi	KP_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DTrp53fl/fl); background strain=C57BL/6
KPp3910-14-Kras-Trp53-Vehi	GSM4078513	KPp3910-14-Kras-Trp53-Vehi	KP_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DTrp53fl/fl); background strain=C57BL/6
KPp4006-9-Kras-Trp53-Vehi	GSM4078516	KPp4006-9-Kras-Trp53-Vehi	KP_nodule	KL	LUAD	in_vivo_tumor	title_match	tissue=Lung Tumor; genotype=(KrasG12DTrp53fl/fl); background strain=C57BL/6
