column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
KP_1			parental	KP	LUAD	sorted_tumor_cells	column_labels_only	
KP_2			parental	KP	LUAD	sorted_tumor_cells	column_labels_only	
KP_3			parental	KP	LUAD	sorted_tumor_cells	column_labels_only	
KPy_1			chronic_IFNg	KP	LUAD	sorted_tumor_cells	column_labels_only	
KPy_2			chronic_IFNg	KP	LUAD	sorted_tumor_cells	column_labels_only	
KPy_3			chronic_IFNg	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResKP2_1			relapsed_1st	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResKP2_2			relapsed_1st	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResKP2_3			relapsed_1st	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResResKP_1			relapsed_2nd	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResResKP_2			relapsed_2nd	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResResKP_3			relapsed_2nd	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResKPlate_1			relapsed_late	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResKPlate_2			relapsed_late	KP	LUAD	sorted_tumor_cells	column_labels_only	
ResKPlate_3			relapsed_late	KP	LUAD	sorted_tumor_cells	column_labels_only	
