column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
GSM7521161_CSC1_S120.counts.txt.gz	GSM7521161	CSC_1	CMT167_control	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=None
GSM7521162_CSC2_S121.counts.txt.gz	GSM7521162	CSC_2	CMT167_control	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=None
GSM7521163_CSC3_S122.counts.txt.gz	GSM7521163	CSC_3	CMT167_control	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=None
GSM7521164_CT1_S126.counts.txt.gz	GSM7521164	CT_1	CMT167_trametinib	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521165_CT2_S127.counts.txt.gz	GSM7521165	CT_2	CMT167_trametinib	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521167_CT3_S128.counts.txt.gz	GSM7521167	CT_3	CMT167_trametinib	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521168_CTR1_S129.counts.txt.gz	GSM7521168	CTR_1	CMT167_trametinib_resistant	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521169_CTR2_S130.counts.txt.gz	GSM7521169	CTR_2	CMT167_trametinib_resistant	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521170_CTR3_S131.counts.txt.gz	GSM7521170	CTR_3	CMT167_trametinib_resistant	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=CMT-167; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521171_KSC1_S111.counts.txt.gz	GSM7521171	KSC_1	KLA_control	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=KLA; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=None
GSM7521172_KSC2_S112.counts.txt.gz	GSM7521172	KSC_2	KLA_control	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=KLA; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=None
GSM7521173_KSC3_S113.counts.txt.gz	GSM7521173	KSC_3	KLA_control	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=KLA; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=None
GSM7521174_KT1_S117.counts.txt.gz	GSM7521174	KT_1	KLA_trametinib	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=KLA; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521175_KT2_S118.counts.txt.gz	GSM7521175	KT_2	KLA_trametinib	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=KLA; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
GSM7521176_KT3_S119.counts.txt.gz	GSM7521176	KT_3	KLA_trametinib	CMT167	LUAD	cultured_cells	supplementary_file	tissue=Lung; cell line=KLA; cell type=Lung Adenocarcinoma; genotype=KRAS-mutant; treatment=Trametinib 100nM 72h
