column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
K1_S8_L00			K_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
K2_S28_L00			K_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
K3_S9_L00			K_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
K4_S10_L00			K_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KL1_S16_L00			KL_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KL2_S17_L00			KL_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KL3_S29_L00			KL_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KL4_S30_L00			KL_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KL5_S31_L00			KL_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KP1_S11_L00			KP_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KP2_S12_L00			KP_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KP3_S13_L00			KP_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KP4_S14_L00			KP_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
KP5_S15_L00			KP_adenoma	KL	LUAD	in_vivo_tumor	column_labels_only	
NL1_S18_L00			normal_lung	KL	LUAD	in_vivo_tumor	column_labels_only	
NL2_S19_L00			normal_lung	KL	LUAD	in_vivo_tumor	column_labels_only	
NL3_S20_L00			normal_lung	KL	LUAD	in_vivo_tumor	column_labels_only	
NL4_S21_L00			normal_lung	KL	LUAD	in_vivo_tumor	column_labels_only	
