column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
KLCon1			DMSO	KL	LUAD	cultured_cells	column_labels_only	
KLCon2			DMSO	KL	LUAD	cultured_cells	column_labels_only	
KLTNG75_1			TNG260	KL	LUAD	cultured_cells	column_labels_only	
KLTNG75_2			TNG260	KL	LUAD	cultured_cells	column_labels_only	
