column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
mEGFR del19.1 DMSO 1Day	GSM6716885	mEGFR del19.1 DMSO 1Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=1day
mEGFR del19.1 DMSO 2Day	GSM6716887	mEGFR del19.1 DMSO 2Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=2day
mEGFR del19.1 DMSO 4Day	GSM6716889	mEGFR del19.1 DMSO 4Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=4day
mEGFR del19.1 DMSO 6Day	GSM6716891	mEGFR del19.1 DMSO 6Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=6day
mEGFR del19.1 100nM Osimertinib 1Day	GSM6716886	mEGFR del19.1 100nM Osimertinib 1Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=1day
mEGFR del19.1 100nM Osimertinib 2Day	GSM6716888	mEGFR del19.1 100nM Osimertinib 2Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=2day
mEGFR del19.1 100nM Osimertinib 4Day	GSM6716890	mEGFR del19.1 100nM Osimertinib 4Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=4day
mEGFR del19.1 100nM Osimertinib 6Day	GSM6716892	mEGFR del19.1 100nM Osimertinib 6Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.1; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=6day
mEGFR del19.2 DMSO 1Day	GSM6716893	mEGFR del19.2 DMSO 1Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=1day
mEGFR del19.2 DMSO 2Day	GSM6716895	mEGFR del19.2 DMSO 2Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=2day
mEGFR del19.2 DMSO 4Day	GSM6716897	mEGFR del19.2 DMSO 4Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=4day
mEGFR del19.2 DMSO 6Day	GSM6716899	mEGFR del19.2 DMSO 6Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=DMSO; time=6day
mEGFR del19.2 100nM Osimertinib 1Day	GSM6716894	mEGFR del19.2 100nM Osimertinib 1Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=1day
mEGFR del19.2 100nM Osimertinib 2Day	GSM6716896	mEGFR del19.2 100nM Osimertinib 2Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=2day
mEGFR del19.2 100nM Osimertinib 4Day	GSM6716898	mEGFR del19.2 100nM Osimertinib 4Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=4day
mEGFR del19.2 100nM Osimertinib 6Day	GSM6716900	mEGFR del19.2 100nM Osimertinib 6Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR del19.2; cell type=lung adenocarcinoma; genotype=EGFR mutant exon deletion 19; treatment=100nM Osimertinib; time=6day
mEGFR L860R.1 DMSO 1Day	GSM6716901	mEGFR L860R.1 DMSO 1Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR L860R.1; cell type=lung adenocarcinoma; genotype=EGFR mutant L860R missense mutation; treatment=DMSO; time=1day
mEGFR L860R.1 DMSO 2Day	GSM6716903	mEGFR L860R.1 DMSO 2Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR L860R.1; cell type=lung adenocarcinoma; genotype=EGFR mutant L860R missense mutation; treatment=DMSO; time=2day
mEGFR L860R.1 DMSO 4Day	GSM6716905	mEGFR L860R.1 DMSO 4Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR L860R.1; cell type=lung adenocarcinoma; genotype=EGFR mutant L860R missense mutation; treatment=DMSO; time=4day
mEGFR L860R.1 DMSO 6Day	GSM6716907	mEGFR L860R.1 DMSO 6Day	DMSO	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR L860R.1; cell type=lung adenocarcinoma; genotype=EGFR mutant L860R missense mutation; treatment=DMSO; time=6day
mEGFR L860R.1 100nM Osimertinib 1Day	GSM6716902	mEGFR L860R.1 100nM Osimertinib 1Day	osimertinib	EGFR	LUAD	cultured_cells	title_match	cell line=mEGFR L860R.1; cell type=lung adenocarcinoma; genotype=EGFR mutant L860R missense mutation; treatment=100nM Osimertinib; time=1day
