column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
KP2_empty2			empty_vector	KL	LUAD	cultured_cells	column_labels_only	
KP2_IFNBeta			IFNbeta	KL	LUAD	cultured_cells	column_labels_only	
KP3_empty2			empty_vector	KL	LUAD	cultured_cells	column_labels_only	
KP3_IFNBeta			IFNbeta	KL	LUAD	cultured_cells	column_labels_only	
KP1_empty			empty_vector	KL	LUAD	cultured_cells	column_labels_only	
KP1_IFNBeta			IFNbeta	KL	LUAD	cultured_cells	column_labels_only	
KL2_empty2			empty_vector	KL	LUAD	cultured_cells	column_labels_only	
KL2_IFNBeta			IFNbeta	KL	LUAD	cultured_cells	column_labels_only	
KL1_empty2			empty_vector	KL	LUAD	cultured_cells	column_labels_only	
KL1_IFNBeta			IFNbeta	KL	LUAD	cultured_cells	column_labels_only	
KL3_empty			empty_vector	KL	LUAD	cultured_cells	column_labels_only	
KL3_IFNBeta			IFNbeta	KL	LUAD	cultured_cells	column_labels_only	
