expression_rank,gene,median_log2tpm1,mean_log2tpm1,pct_log2tpm1_gt1,expression_percentile
1,HLA-B,10.624244586567508,10.507853331836003,100.0,100.0
2,CD63,10.622072599241642,10.574111425857303,100.0,99.96276991809381
3,APLP2,10.528659316365164,10.376461505778844,100.0,99.92553983618764
4,HLA-A,10.479463806293875,10.371908939813132,100.0,99.88830975428145
5,SLC34A2,10.421747064888269,9.148193618351607,99.00990099009901,99.85107967237528
6,HLA-DRA,10.40070623845643,10.184997209403875,100.0,99.81384959046909
7,CD24,10.338846223744518,10.324716049817727,100.0,99.77661950856292
8,HLA-C,10.3090209633284,10.216052394912003,100.0,99.73938942665674
9,CD74,10.260027891346416,10.230378282660503,100.0,99.70215934475057
10,HLA-E,9.72566260627249,9.710147852344825,100.0,99.66492926284438
11,HLA-DRB1,9.556648401223656,9.416738753360445,100.0,99.6276991809382
12,EPCAM,9.424122608306993,9.315074479567174,100.0,99.59046909903202
13,BSG,9.394940869834867,9.379867443271939,100.0,99.55323901712583
14,TACSTD2,9.386189288221514,8.144591155183107,99.8019801980198,99.51600893521966
15,APP,9.352913195871396,9.26942734153631,100.0,99.47877885331347
16,ATP1B1,9.293347261321893,9.2459022224859,100.0,99.4415487714073
17,CLDN3,9.029628739417712,8.92638941786414,100.0,99.40431868950111
18,PLVAP,8.951813606191164,8.899667712221385,100.0,99.36708860759494
19,PTTG1IP,8.645049526246163,8.572996649268898,100.0,99.32985852568875
20,CLDN1,8.633177975389257,8.044166277948854,99.00990099009901,99.29262844378258
21,CDH1,8.602812049513672,8.501943247923451,100.0,99.2553983618764
22,SERINC1,8.592693604907788,8.47501924423544,100.0,99.21816827997021
23,CLDN4,8.530200696943822,8.371506145733573,100.0,99.18093819806404
24,LMAN2,8.460373980851921,8.451617837375668,100.0,99.14370811615785
25,PLXNB2,8.431675187938461,8.297663495280029,100.0,99.10647803425168
26,RPN1,8.382398797274522,8.357690708446137,100.0,99.06924795234549
27,SDC2,8.284165225068536,8.185487744471452,100.0,99.03201787043932
28,CD9,8.183387757531914,8.10152196198765,100.0,98.99478778853313
29,ITGA3,8.169528706817644,7.928842320713518,100.0,98.95755770662696
30,ITM2B,8.139599441432011,8.065167604484465,100.0,98.92032762472077
31,ECE1,8.051951717221332,7.964790049981802,100.0,98.8830975428146
32,PRNP,8.030928618266067,7.932472386040975,100.0,98.84586746090841
33,LAMP1,8.009396443789488,7.924643367646661,100.0,98.80863737900223
34,MXRA8,8.008908133424177,7.506900646260327,100.0,98.77140729709606
35,TMEM123,7.957572219659402,7.911864001772623,100.0,98.73417721518987
36,CD164,7.90587614464033,7.837960508266846,100.0,98.6969471332837
37,LY6E,7.897216824246434,7.517843465414695,100.0,98.65971705137751
38,ATRAID,7.881593657337402,7.836717430908364,100.0,98.62248696947134
39,MET,7.841624098440437,7.391939420815276,100.0,98.58525688756515
40,TSPAN1,7.809857500699001,7.5779260715929455,100.0,98.54802680565898
41,CD151,7.802142799298685,7.721763639204462,100.0,98.51079672375279
42,HLA-DRB5,7.801217516643637,7.697380022860422,100.0,98.47356664184662
43,BCAM,7.707157554864184,7.669445678600513,100.0,98.43633655994043
44,CLDN7,7.651704703810211,7.559109524908933,100.0,98.39910647803424
45,MPZL2,7.634331160846313,7.364649347129972,100.0,98.36187639612807
46,GJA1,7.602475438736894,7.575995659830438,100.0,98.32464631422188
47,ITM2C,7.574824340079626,7.538474926232191,100.0,98.28741623231572
48,TSHR,7.543020216763206,7.451577508516763,99.8019801980198,98.25018615040953
