subset,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_rho_ci95_lo,spearman_rho_ci95_hi
all_primary_tumors,505,0.6802,7.406586985532932e-70,0.6763,8.872564491735888e-69,0.6238,0.725
classic_papillary_8260_3,355,0.6126,5.965088954273662e-38,0.5938,3.3526080225600333e-35,0.5189,0.6623
follicular_variant_8340_3,105,0.5712,1.9766337957313914e-10,0.5862,5.043941637596087e-11,0.4283,0.7137
