quantity,n,rho,p
spearman_unadjusted_purity_subset,463,0.6766,2.929079071876606e-63
spearman_partial_given_ABSOLUTE_purity,463,0.6881,3.2517766550784106e-66
spearman_TACSTD2_vs_purity,463,-0.0846,0.06901470420320066
spearman_CLDN4_vs_purity,463,0.0807,0.08282289297965181
