smaller,larger,n_small,n_genes,n_matched_rho_ge_0.99,frac_matched,max_rho,median_best_rho,non_independent
GSE126044,GSE135222,16,34,0,0.0,0.8652406417112299,0.8140565317035904,False
GSE126044,GSE166449,16,34,0,0.0,0.9159663865546219,0.8605042016806721,False
GSE126044,GSE190265,16,33,0,0.0,0.9317614898792553,0.848596256684492,False
GSE126044,GSE190266,16,26,0,0.0,0.860892636206076,0.7619285190916849,False
GSE126044,GSE207422,16,34,0,0.0,0.8646294881589,0.7532467532467532,False
GSE126044,GSE283829,16,34,0,0.0,0.9388753165855109,0.8805866224179287,False
GSE126044,GSE274975,16,34,0,0.0,0.9462907812780442,0.8685167133536988,False
GSE126044,GSE218989,16,34,0,0.0,0.8954893694032394,0.8178958278398362,False
GSE166449,GSE135222,22,34,0,0.0,0.9153294023825327,0.8415584415584415,False
GSE135222,GSE190265,27,33,0,0.0,0.9244652406417113,0.867312834224599,False
GSE135222,GSE190266,27,26,0,0.0,0.9534726829946256,0.8946290154398803,False
GSE207422,GSE135222,24,34,0,0.0,0.9572192513368982,0.8186401833460656,False
GSE135222,GSE283829,27,34,0,0.0,0.9303284950343774,0.8484987418758244,False
GSE135222,GSE274975,27,34,0,0.0,0.9066320293398532,0.7743810046878782,False
GSE135222,GSE218989,27,34,0,0.0,0.9401069518716578,0.8767667532655284,False
GSE166449,GSE190265,22,33,0,0.0,0.9047459893048129,0.832966085159899,False
GSE166449,GSE190266,22,26,0,0.0,0.8889650443805425,0.7784517923833928,False
GSE166449,GSE207422,22,34,0,0.0,0.8667685255920549,0.7937356760886172,False
GSE166449,GSE283829,22,34,0,0.0,0.910146709893116,0.8328048961391672,False
GSE166449,GSE274975,22,34,0,0.0,0.8731662693635432,0.7812070282658519,False
GSE166449,GSE218989,22,34,0,0.0,0.8805867548046777,0.8497978542383835,False
GSE190265,GSE190266,43,25,0,0.0,0.9513584424948054,0.870861687350648,False
GSE207422,GSE190265,24,33,0,0.0,0.9592245989304813,0.7052116198584071,False
GSE283829,GSE190265,27,33,0,0.0,0.9374895668303713,0.8881089694248003,False
GSE190265,GSE274975,43,33,0,0.0,0.9448071542502089,0.8620633085773994,False
GSE190265,GSE218989,43,33,0,0.0,0.927425823473016,0.7820491392278122,False
GSE207422,GSE190266,24,26,0,0.0,0.9334531771014859,0.8221605621112352,False
GSE283829,GSE190266,27,26,0,0.0,0.9213603496172471,0.8330484331151465,False
GSE274975,GSE190266,61,26,0,0.0,0.9140754974553638,0.8117085982606231,False
GSE190266,GSE218989,70,26,0,0.0,0.9356178100055353,0.8265482605364247,False
GSE207422,GSE283829,24,34,0,0.0,0.879975554558414,0.7063930796798528,False
GSE207422,GSE274975,24,34,0,0.0,0.8640183346065697,0.647465705713328,False
GSE207422,GSE218989,24,34,0,0.0,0.9248281130634071,0.8235294117647058,False
GSE283829,GSE274975,27,34,0,0.0,0.9687523903282417,0.9238997662884114,False
GSE283829,GSE218989,27,34,0,0.0,0.8951711595960162,0.8321615060246365,False
GSE274975,GSE218989,61,34,0,0.0,0.90082519389186,0.7606741882180332,False
