pool,measure,cutoff,family,k,n_total,re_effect,re_lo,re_hi,re_p,I2,tau2,cohorts,estimable,matches_pdf_0.42_at_2dp,pdf_0.42_in_ci
primary_OR_raw_median,raw,median,response,9,638,0.956990000854889,0.6883516611245322,1.3304680056122566,0.7936982140530344,0.0,0.0,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,False,False
primary_OR_resid_median,keratin_residual,median,response,9,638,0.9973449636756269,0.6594647155297684,1.5083399507888253,0.9899496749971837,11.009807922626145,0.04861268089227424,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,,
primary_OR_raw_perSD,raw,per_SD,response,9,638,0.9140196699898243,0.7717987370711814,1.0824479453006115,0.29747040232682975,0.0,0.0,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,,
primary_OR_resid_perSD,keratin_residual,per_SD,response,9,638,0.9661013031965042,0.7418363565722643,1.2581639060542098,0.7980272708655434,27.703131023409068,0.041262952503346564,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,,
primary_OR_adjusted_perSD,keratin_adjusted,per_SD,response,9,638,0.9880318703836123,0.6204510403787205,1.5733827705371677,0.9595475611340558,35.22075014078454,0.14771630525566778,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,,
primary_OR_raw_tertile,raw,tertile,response,9,430,0.9102619363616254,0.6102631544819241,1.357736882365488,0.6448746545123076,0.0,0.0,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,,
primary_OR_raw_quartile,raw,quartile,response,9,324,0.7964158254097692,0.4989857805801165,1.2711347530298713,0.33994779644385087,0.0,0.0,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,,
primary_OR_resid_tertile,keratin_residual,tertile,response,9,427,0.8788037260943966,0.5337331253919545,1.4469703157926517,0.6115974898633763,7.341602425202333,0.052099020306252845,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975,GSE218989",True,,
primary_HR_raw_median,raw,median,PFS,3,129,1.1179819720393926,0.7434520363442496,1.6811894092739297,0.5921038968728394,0.0,0.0,"GSE135222,GSE190265,GSE274975",True,,
primary_HR_resid_median,keratin_residual,median,PFS,3,129,0.9445160638085656,0.6292394312893951,1.417760156836283,0.7829613473479038,0.0,0.0,"GSE135222,GSE190265,GSE274975",True,,
primary_HR_raw_perSD,raw,per_SD,PFS,3,129,1.07774416570182,0.8791922562022829,1.3211359387099388,0.4711086108365081,0.0,0.0,"GSE135222,GSE190265,GSE274975",True,,
primary_HR_resid_perSD,keratin_residual,per_SD,PFS,3,129,0.943528096587285,0.7452687745805481,1.1945291409138568,0.6290882804864404,25.194298762760454,0.011160546053611168,"GSE135222,GSE190265,GSE274975",True,,
primary_HR_adjusted_perSD,keratin_adjusted,per_SD,PFS,3,129,0.9442920519013103,0.6485175877756301,1.3749626781016264,0.7649428661135449,28.992493644922057,0.033141737871297976,"GSE135222,GSE190265,GSE274975",True,,
OS_raw_median_GSE218989_only,raw,median,OS,1,355,1.078389452642822,0.8474521629504441,1.372258945593474,0.5393496423206889,0.0,0.0,GSE218989,True,,
OS_resid_median_GSE218989_only,keratin_residual,median,OS,1,355,0.9774302086754655,0.7679927846794562,1.2439827976119788,0.8528012558630775,0.0,0.0,GSE218989,True,,
primary_OR_raw_median_without_GSE218989,raw,median,response,8,283,1.0525634192297122,0.6146427181928616,1.8024939020800552,0.8519336899580887,0.0,0.0,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975",True,,
primary_OR_resid_median_without_GSE218989,keratin_residual,median,response,8,283,0.9578244399102772,0.5079628934176296,1.8060918810759643,0.8940663761222407,22.03542342774699,0.18155402846255986,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE207422,GSE283829,GSE274975",True,,
primary_OR_raw_median_no_neoadjuvant,raw,median,response,8,614,0.9940310916903672,0.7113919426545721,1.3889640182879188,0.9720200531339172,0.0,0.0,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE283829,GSE274975,GSE218989",True,,
primary_OR_resid_median_no_neoadjuvant,keratin_residual,median,response,8,614,1.0534754655332386,0.7541047163649331,1.471692899402852,0.7600510167751608,0.0,0.0,"GSE126044,GSE135222,GSE166449,GSE190265,GSE190266,GSE283829,GSE274975,GSE218989",True,,
