TCGA_subtype,n_evaluable,n_CRPR,ORR,TACSTD2_median_log2cpm,CLDN4_median_log2cpm
I,107,23,0.21495327102803738,7.185813423228343,3.893479952142223
II,75,21,0.28,7.023784854131735,4.243107130804942
III,60,10,0.16666666666666666,6.381838042151262,2.717601797860546
IV,56,14,0.25,5.78180880842737,3.2407483825250276
