cohort	family	n	rho	p	spearman_usable	n_q1	n_q4	delta_median	q_p	q_usable
all_4_mice	IFN	4	0.8	0.333333333333333	TRUE	NA	NA	NA	NA	FALSE
all_4_mice	MHC	4	1	0.0833333333333333	TRUE	NA	NA	NA	NA	FALSE
all_4_mice	TJ	4	1	0.0833333333333333	TRUE	NA	NA	NA	NA	FALSE
ND_only	IFN	2	NA	NA	FALSE	NA	NA	NA	NA	FALSE
ND_only	MHC	2	NA	NA	FALSE	NA	NA	NA	NA	FALSE
ND_only	TJ	2	NA	NA	FALSE	NA	NA	NA	NA	FALSE
