library	mouse	n_cells	median_nFeature	median_nCount	median_percent.mt
KP_30w_Cis72_m5_PT	KP_30w_Cis72_m5	2065	4124	19798	3.81054296747778
KP_30w_Cis72_m6_PT	KP_30w_Cis72_m6	999	3793	16198	3.97505845674201
KP_30w_ND_m3_PT	KP_30w_ND_m3	3945	3847	16012	4.31354882306566
KP_30w_ND_m4_PT	KP_30w_ND_m4	4008	3771.5	16894.5	3.45036142990077
