author_cluster	n_cells	frac_Cldn4	frac_Epcam	frac_Krt8	frac_Ptprc	frac_Cd3d	frac_Nkg7
1	40	0.4	0.575	0.95	0	0	0
10	288	0.75	0.989583333333333	0.996527777777778	0.00694444444444444	0	0
11	37	0.27027027027027	0.594594594594595	1	0	0	0
12	56	0.625	1	1	0.0178571428571429	0	0.0178571428571429
2	7	0.428571428571429	0.714285714285714	1	0	0	0
3	656	0.522865853658537	0.958841463414634	0.972560975609756	0.00304878048780488	0.00152439024390244	0
4	921	0.326818675352877	0.915309446254072	0.96742671009772	0.00651465798045603	0	0
5	2131	0.914594087282966	0.965274519005162	0.994838104176443	0.00375410605349601	0.001407789770061	0.000469263256687001
6	898	0.71826280623608	0.957683741648107	1	0.0111358574610245	0	0
7	445	0.325842696629214	0.997752808988764	1	0.0224719101123595	0	0
8	3940	0.382741116751269	0.958883248730964	0.96497461928934	0.00634517766497462	0.00050761421319797	0.00126903553299492
9	1598	0.274718397997497	0.850438047559449	0.935544430538173	0.00187734668335419	0	0
