gene	n_pos	n_cells	frac	present_in_matrix
Ptprc	67	11017	0.00608151039302895	TRUE
Cd3d	6	11017	0.000544612871017518	TRUE
Cd3e	2	11017	0.000181537623672506	TRUE
Cd3g	2	11017	0.000181537623672506	TRUE
Cd2	5	11017	0.000453844059181265	TRUE
Cd8a	1	11017	9.07688118362531e-05	TRUE
Cd8b1	5	11017	0.000453844059181265	TRUE
Nkg7	7	11017	0.000635381682853771	TRUE
Klrd1	4	11017	0.000363075247345012	TRUE
Gzma	5	11017	0.000453844059181265	TRUE
Cldn4	5610	11017	0.50921303440138	TRUE
Epcam	10361	11017	0.940455659435418	TRUE
Cdh1	9171	11017	0.832440773350277	TRUE
Krt8	10714	11017	0.972497050013615	TRUE
Krt18	10850	11017	0.984841608423346	TRUE
Sftpc	11017	11017	1	TRUE
Nkx2-1	10082	11017	0.915131160933103	TRUE
