contrast	n_a	n_b	median_a	median_b	mean_a	mean_b	pct_pos_a	pct_pos_b	cliffs_delta	mwu_u	mwu_p	note
all_cells: epithelial vs immune TACSTD2 log2TPM	36467	164525	1.7542913	0.0	1.7177711631159678	0.052947666113235085	74.54136616667124	3.090715696702629	0.722260616531501	5166552078.5	0.0	
all_cells: epithelial vs T/NK TACSTD2 log2TPM	36467	91227	1.7542913	0.0	1.7177711631159678	0.03733829687756914	74.54136616667124	1.639865390728622	0.72871017319825	2875514901.0	0.0	
all_cells: epithelial vs myeloid TACSTD2 log2TPM	36467	42245	1.7542913	0.0	1.7177711631159678	0.10620085360113622	74.54136616667124	7.286069357320393	0.6999517376414295	1309428977.5	0.0	
all_cells: epithelial vs immune TACSTD2 raw UMI	36467	164525	2.0	0.0	5.560863246222612	0.05551132046801398	74.54136616667124	3.090715696702629	0.7299274848168561	5189551660.5	0.0	
tumor_sites: epithelial vs immune TACSTD2 log2TPM	32764	91053	1.7559797	0.0	1.7088633739195458	0.08114719304383161	74.97558295690392	4.59951896148397	0.7140709678932053	2556760099.5	0.0	
tumor_sites: epithelial vs T/NK TACSTD2 log2TPM	32764	48012	1.7559797	0.0	1.7088633739195458	0.06346741412459385	74.97558295690392	2.7972173623260854	0.7211170020643417	1353714603.0	0.0	
tumor_sites: epithelial vs myeloid TACSTD2 log2TPM	32764	24285	1.7559797	0.0	1.7088633739195458	0.1468983853551575	74.97558295690392	9.705579575869878	0.6868861262155014	671105496.5	0.0	
tumor_sites: epithelial vs immune TACSTD2 raw UMI	32764	91053	2.0	0.0	5.81937492369674	0.08319330499818788	74.97558295690392	4.59951896148397	0.7274015788494543	2576644442.0	0.0	
tLung: epithelial vs immune TACSTD2 log2TPM	7270	35506	2.5029480499999996	0.0	2.304109410629986	0.08673359400270376	85.98349381017881	4.911845885202501	0.8329772731129156	236571947.0	0.0	
tLung: epithelial vs T/NK TACSTD2 log2TPM	7270	19591	2.5029480499999996	0.0	2.304109410629986	0.07420578794089122	85.98349381017881	3.200449185850646	0.8350455396068304	130679621.0	0.0	
tLung: epithelial vs myeloid TACSTD2 log2TPM	7270	8794	2.5029480499999996	0.0	2.304109410629986	0.14754707301682965	85.98349381017881	10.09779395042074	0.8175503242644807	58100159.0	0.0	
tLung: epithelial vs immune TACSTD2 raw UMI	7270	35506	5.0	0.0	8.212654745529573	0.08147918661634654	85.98349381017881	4.911845885202501	0.8433245759420246	237907414.5	0.0	
nLung: epithelial vs immune TACSTD2 log2TPM	3703	36281	1.7339586	0.0	1.7965869355252497	0.0349843682935972	70.69943289224952	2.3841680218296077	0.6922865847529139	113678118.5	0.0	
nLung: epithelial vs T/NK TACSTD2 log2TPM	3703	17896	1.7339586	0.0	1.7965869355252497	0.018723001415958875	70.69943289224952	0.7767098793026375	0.699312443570805	56305773.0	0.0	
nLung: epithelial vs myeloid TACSTD2 log2TPM	3703	16672	1.7339586	0.0	1.7965869355252497	0.053602236389755274	70.69943289224952	4.2286468330134355	0.6842341479622011	51989290.0	0.0	
nLung: epithelial vs immune TACSTD2 raw UMI	3703	36281	1.0	0.0	3.2735619767755875	0.04150932995231664	70.69943289224952	2.3841680218296077	0.6921975997908664	113672141.0	0.0	
all_cells: epithelial vs immune CLDN4 log2TPM	36467	164525	2.4900236	0.0	2.2902527325982396	0.045843779256040114	83.59887021142403	2.71569670262878	0.8221448424662652	5466191430.5	0.0	
