family	n	n_q1	n_q4	n_genes	mean_q1	mean_q4	logFC_q4_minus_q1	r_rb	p	expected
IFN	21	6	5	221	3.93238203417822	3.9310263920097	-0.00135564216851636	-0.0666666666666667	0.927264473525232	DOWN
MHC_I_APM	21	6	5	21	6.28809134392507	6.12443093176625	-0.163660412158826	-0.133333333333333	0.784191229401619	DOWN
TJ	21	6	5	204	3.60047107847937	3.78259681033543	0.182125731856059	0.4	0.315302452081746	UP
chemokine	21	6	5	26	2.01471413661808	1.62492487717672	-0.389789259441366	-0.666666666666667	0.0828374251588063	DOWN
CLDN4	21	6	5	1	6.40668930155121	9.34677710797726	2.94008780642604	0.866666666666667	0.0224788733661253	UP_split_check
