protein	score	family	n_marginal	marginal_rho	marginal_p	marginal_fdr_primary	n_WES	partial_rho_WES	partial_p_WES	partial_fdr_WES	partial_ci_low	partial_ci_high	ols_residual_rho_WES	ols_residual_p_WES
TACSTD2	ESTIMATE_ImmuneScore	primary	110	-0.18544733223632306	0.052424789532063414	0.10524706174835115	108.0	-0.129346758913704	0.1842297706174355	0.36023173918507906	-0.3115541562340538	0.06203508229374842	-0.13849114483599606	0.15289136640114812
TACSTD2	MCPcounter_T_cells	primary	110	-0.1852940513490972	0.052623530874175574	0.10524706174835115	108.0	-0.13376554397024684	0.1695624142306227	0.36023173918507906	-0.3156085963120076	0.057554551300655975	-0.13559499652271664	0.161747389326144
TACSTD2	MCPcounter_Cytotoxic_lymphocytes	primary	110	-0.10790523634560331	0.2618321362853184	0.2618321362853184	108.0	-0.06829590647119012	0.48456616935459923	0.48456616935459923	-0.2548497936397595	0.12315945739611768	-0.08622709994569722	0.3749037960630985
TACSTD2	CIBERSORT_T_cell_CD8+	primary	110	-0.13349412798954083	0.16442699991416423	0.2192359998855523	108.0	-0.10755210345364276	0.2701738043888093	0.36023173918507906	-0.29145901644418376	0.08402200868292392	-0.10016481370335438	0.3023404864062488
TACSTD2	xCell_immune_score	xcell_reproduction	110	-0.3094335369564728	0.001003961995617287		108.0	-0.27158453845718417	0.004659385319917585		-0.4388164289515457	-0.08616923887718281	-0.2670744138634047	0.00520337103374202
TACSTD2	xCell_T_cell_CD8+	xcell_reproduction	110	-0.28904629073608734	0.002194504463815969		108.0	-0.26063080808881767	0.006701010457478128		-0.42924872484055365	-0.07445673681133735	-0.25034416072598276	0.008971733612215886
CLDN4	ESTIMATE_ImmuneScore	primary	79	-0.16772151898734178	0.13955015774719456		77.0	-0.08489677317106621	0.4659008883308696	0.6850232750986538	-0.30452359798215034	0.14330162711358554	-0.06648614543351385	0.5656245673920731
CLDN4	MCPcounter_T_cells	primary	79	-0.24267283349561833	0.031172318097750992		77.0	-0.1839598780681951	0.11166480719028617	0.44665922876114467	-0.3931112218417765	0.04329115577165455	-0.09303854040696145	0.42093270374826247
CLDN4	MCPcounter_Cytotoxic_lymphocytes	primary	79	-0.13057448880233694	0.2513851800773489		77.0	-0.07605411357504846	0.5137674563239903	0.6850232750986538	-0.2964268777537714	0.15200788135826632	-0.042825595457174404	0.7115194390690333
CLDN4	CIBERSORT_T_cell_CD8+	primary	79	-0.05856864654333009	0.6081524313478166		77.0	-0.01868309441023901	0.8727313927374446	0.8727313927374446	-0.24311458832229074	0.2076471011328573	-0.017797991482202007	0.8778980150250607
CLDN4	xCell_immune_score	xcell_reproduction	79	-0.18765822784810127	0.09770044779855329		77.0	-0.11829254643750162	0.30880244323349804		-0.33481857497590417	0.11009931327979484	-0.05129081444870918	0.657761928584461
CLDN4	xCell_T_cell_CD8+	xcell_reproduction	79	-0.194762536785242	0.08543101493418208		77.0	-0.15283467678352536	0.18748410172667604		-0.36568950114256044	0.07521249505632177	-0.12402153124466851	0.28253615047041286
