population	score_column	n_official_ensembl	n_present	n_missing	missing_ensembl	present_ensembl	method
T cells	MCPcounter_T_cells	15	15	0		ENSG00000178562,ENSG00000167286,ENSG00000160654,ENSG00000110448,ENSG00000013725,ENSG00000233355,ENSG00000163599,ENSG00000090554,ENSG00000163600,ENSG00000172005,ENSG00000105717,ENSG00000089012,ENSG00000172673,ENSG00000215788,ENSG00000163519	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
CD8 T cells	MCPcounter_CD8_T_cells	1	1	0		ENSG00000172116	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
Cytotoxic lymphocytes	MCPcounter_Cytotoxic_lymphocytes	7	7	0		ENSG00000153563,ENSG00000163508,ENSG00000137441,ENSG00000115523,ENSG00000205810,ENSG00000183542,ENSG00000134539	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
B lineage	MCPcounter_B_lineage	9	9	0		ENSG00000153064,ENSG00000177455,ENSG00000012124,ENSG00000105369,ENSG00000117322,ENSG00000132704,ENSG00000211592,ENSG00000156738,ENSG00000196092	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
NK cells	MCPcounter_NK_cells	9	8	1	ENSG00000275037	ENSG00000117281,ENSG00000125498,ENSG00000243772,ENSG00000189013,ENSG00000167633,ENSG00000189430,ENSG00000168229,ENSG00000198574	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
Monocytic lineage	MCPcounter_Monocytic_lineage	7	7	0		ENSG00000184060,ENSG00000182578,ENSG00000187474,ENSG00000115919,ENSG00000146070,ENSG00000107551,ENSG00000105967	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
Myeloid dendritic cells	MCPcounter_Myeloid_dendritic_cells	6	6	0		ENSG00000158477,ENSG00000158485,ENSG00000158488,ENSG00000132514,ENSG00000155962,ENSG00000261040	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
Neutrophils	MCPcounter_Neutrophils	15	15	0		ENSG00000167434,ENSG00000170956,ENSG00000163464,ENSG00000180871,ENSG00000186529,ENSG00000162747,ENSG00000084110,ENSG00000157551,ENSG00000106780,ENSG00000147454,ENSG00000127954,ENSG00000196663,ENSG00000140332,ENSG00000173535,ENSG00000093134	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
Endothelial cells	MCPcounter_Endothelial_cells	33	33	0		ENSG00000139567,ENSG00000171388,ENSG00000161940,ENSG00000153162,ENSG00000102010,ENSG00000179776,ENSG00000176435,ENSG00000147113,ENSG00000078401,ENSG00000162618,ENSG00000164035,ENSG00000149564,ENSG00000164283,ENSG00000124019,ENSG00000138411,ENSG00000164161,ENSG00000128052,ENSG00000138722,ENSG00000173269,ENSG00000120279,ENSG00000099260,ENSG00000187800,ENSG00000119630,ENSG00000076356,ENSG00000127329,ENSG00000154133,ENSG00000168497,ENSG00000251322,ENSG00000169291,ENSG00000120156,ENSG00000066056,ENSG00000197415,ENSG00000110799	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
Fibroblasts	MCPcounter_Fibroblasts	8	8	0		ENSG00000108821,ENSG00000168542,ENSG00000142156,ENSG00000142173,ENSG00000011465,ENSG00000166923,ENSG00000149090,ENSG00000149591	mean_of_log2_RSEM_UQ1500 (== log2 geometric mean of linear)
