protein	score	family	purity	n_marginal	marginal_rho	marginal_p	n_partial	partial_spearman_rho	partial_p	partial_ci_low	partial_ci_high	ols_residual_spearman_rho	ols_residual_spearman_p	n_ols_residual	partial_fdr_primary_wes	marginal_fdr_primary	partial_fdr_cldn4_wes
TACSTD2	WES_purity	purity_context	none	108	0.07415166222248326	0.44564793874218417											
TACSTD2	WGS_purity	purity_context	none	104	0.11725916965981481	0.23583747649507927											
TACSTD2	ESTIMATE_TumorPurity	purity_context	none	110	0.08398440141559407	0.3830359669646708											
CLDN4	WES_purity	purity_context	none	77	0.1463005178627093	0.20421726110307817											
CLDN4	WGS_purity	purity_context	none	75	0.19187787863737088	0.09911404899895655											
CLDN4	ESTIMATE_TumorPurity	purity_context	none	79	0.20185004868549175	0.07444039799476888											
ESTIMATE_ImmuneScore	WES_purity	purity_context	none	108	-0.523267807406391	6.239350943533365e-09											
ESTIMATE_ImmuneScore	WGS_purity	purity_context	none	104	-0.6842421195482001	1.1760821370992782e-15											
ESTIMATE_ImmuneScore	ESTIMATE_TumorPurity	purity_context	none	110	-0.7326691161553547	9.274036968073724e-20											
MCPcounter_T_cells	WES_purity	purity_context	none	108	-0.5003198494274478	3.516601677583936e-08											
MCPcounter_T_cells	WGS_purity	purity_context	none	104	-0.5532825291373773	1.1222118979244574e-09											
MCPcounter_T_cells	ESTIMATE_TumorPurity	purity_context	none	110	-0.5832923832923832	2.281309322758924e-11											
MCPcounter_Cytotoxic_lymphocytes	WES_purity	purity_context	none	108	-0.3441382983446562	0.0002655026950969475											
MCPcounter_Cytotoxic_lymphocytes	WGS_purity	purity_context	none	104	-0.392078513011031	3.852130474410776e-05											
MCPcounter_Cytotoxic_lymphocytes	ESTIMATE_TumorPurity	purity_context	none	110	-0.3827468836643148	3.680029254853075e-05											
CIBERSORT_T_cell_CD8+	WES_purity	purity_context	none	108	-0.23476829246579384	0.014458004330240746											
CIBERSORT_T_cell_CD8+	WGS_purity	purity_context	none	104	-0.3148055791490374	0.0011348514193077908											
CIBERSORT_T_cell_CD8+	ESTIMATE_TumorPurity	purity_context	none	110	-0.18625881928634222	0.05138291277203758											
xCell_immune_score	WES_purity	purity_context	none	108	-0.40191831889180435	1.6213917139420933e-05											
xCell_immune_score	WGS_purity	purity_context	none	104	-0.5621013747376172	5.337805422183527e-10											
xCell_immune_score	ESTIMATE_TumorPurity	purity_context	none	110	-0.656948357865789	6.512289599148233e-15											
xCell_T_cell_CD8+	WES_purity	purity_context	none	108	-0.2313367064743656	0.015999818638296744											
xCell_T_cell_CD8+	WGS_purity	purity_context	none	104	-0.23749599010134698	0.01520073493018372											
xCell_T_cell_CD8+	ESTIMATE_TumorPurity	purity_context	none	110	-0.2723303824067654	0.003999436311167356											
ESTIMATE_StromalScore	WES_purity	purity_context	none	108	-0.402662267654214	1.5585564721079463e-05											
ESTIMATE_StromalScore	WGS_purity	purity_context	none	104	-0.5792749161696633	1.177712445067457e-10											
ESTIMATE_StromalScore	ESTIMATE_TumorPurity	purity_context	none	110	-0.7069539931925253	6.102056908135271e-18											
MCPcounter_CD8_T_cells	WES_purity	purity_context	none	108	-0.37036726112191887	7.965213259434973e-05											
MCPcounter_CD8_T_cells	WGS_purity	purity_context	none	104	-0.4516924154533064	1.487861722023244e-06											
MCPcounter_CD8_T_cells	ESTIMATE_TumorPurity	purity_context	none	110	-0.3025268805085319	0.0013167464332190734											
MCPcounter_NK_cells	WES_purity	purity_context	none	108	-0.3383965399475973	0.00034086635944391414											
MCPcounter_NK_cells	WGS_purity	purity_context	none	104	-0.3326406673774719	0.0005604256873915726											
MCPcounter_NK_cells	ESTIMATE_TumorPurity	purity_context	none	110	-0.21898879697044835	0.02153274297017331											
MCPcounter_B_lineage	WES_purity	purity_context	none	108	-0.46709013803981747	3.469997700076465e-07											
MCPcounter_B_lineage	WGS_purity	purity_context	none	104	-0.4280207772631886	5.8342592087299235e-06											
MCPcounter_B_lineage	ESTIMATE_TumorPurity	purity_context	none	110	-0.37834682054865537	4.594113220146905e-05											
MCPcounter_Monocytic_lineage	WES_purity	purity_context	none	108	-0.36731516363511013	9.212715609789647e-05											
MCPcounter_Monocytic_lineage	WGS_purity	purity_context	none	104	-0.6148010461466735	3.847926370331564e-12											
MCPcounter_Monocytic_lineage	ESTIMATE_TumorPurity	purity_context	none	110	-0.7182787458016816	1.0223845919105035e-18											
MCPcounter_Neutrophils	WES_purity	purity_context	none	108	-0.16062616804795687	0.09678301470895426											
MCPcounter_Neutrophils	WGS_purity	purity_context	none	104	-0.09907730286875749	0.31699750972274315											
MCPcounter_Neutrophils	ESTIMATE_TumorPurity	purity_context	none	110	0.015134233482857336	0.8753040242577257											
MCPcounter_Fibroblasts	WES_purity	purity_context	none	108	-0.2723138604558646	0.004356442169054408											
MCPcounter_Fibroblasts	WGS_purity	purity_context	none	104	-0.4077422339319654	1.7378538191712603e-05											
MCPcounter_Fibroblasts	ESTIMATE_TumorPurity	purity_context	none	110	-0.3981290715235669	1.6520157437249064e-05											
CIBERSORT_leukocyte_sum	WES_purity	purity_context	none	108	-0.41755276968341776	6.924640886325036e-06											
CIBERSORT_leukocyte_sum	WGS_purity	purity_context	none	104	-0.5791366266131943	1.1925510298461073e-10											
CIBERSORT_leukocyte_sum	ESTIMATE_TumorPurity	purity_context	none	110	-0.4520814736717207	7.127900380585104e-07											
CIBERSORT_T_cell_regulatory_(Tregs)	WES_purity	purity_context	none	108	0.03736500857345555	0.7010345906067458											
CIBERSORT_T_cell_regulatory_(Tregs)	WGS_purity	purity_context	none	104	0.03523134984308902	0.7225457831186047											
CIBERSORT_T_cell_regulatory_(Tregs)	ESTIMATE_TumorPurity	purity_context	none	110	0.06863837670855406	0.47615355059841424											
CIBERSORT_Macrophage_M2	WES_purity	purity_context	none	108	-0.05686916020342869	0.5588180092324098											
CIBERSORT_Macrophage_M2	WGS_purity	purity_context	none	104	-0.28286994105887625	0.0036198053045044245											
CIBERSORT_Macrophage_M2	ESTIMATE_TumorPurity	purity_context	none	110	-0.24263011969433987	0.010651174122613048											
CIBERSORT_Neutrophil	WES_purity	purity_context	none	108	-0.22211743739594483	0.02086643670337501											
CIBERSORT_Neutrophil	WGS_purity	purity_context	none	104	-0.13738499030518875	0.16430789248529626											
CIBERSORT_Neutrophil	ESTIMATE_TumorPurity	purity_context	none	110	0.10810847376916735	0.2609294009572949											
TACSTD2	ESTIMATE_ImmuneScore	primary	none	110	-0.18544733223632306	0.052424789532063414										0.10524706174835115	
TACSTD2	ESTIMATE_ImmuneScore	primary	WES_purity	110	-0.18544733223632306	0.052424789532063414	108.0	-0.129346758913704	0.1842297706174355	-0.3115541562340538	0.06203508229374842	-0.13849114483599606	0.15289136640114812	108.0	0.36023173918507906		
TACSTD2	ESTIMATE_ImmuneScore	primary	WGS_purity	110	-0.18544733223632306	0.052424789532063414	104.0	-0.1100844374504323	0.26830762322229545	-0.29727592003155634	0.08525653720139421	-0.11172516803584766	0.2588361775738427	104.0			
TACSTD2	ESTIMATE_ImmuneScore	primary	ESTIMATE_TumorPurity	110	-0.18544733223632306	0.052424789532063414	110.0	-0.1827161714135403	0.0572153866603698	-0.3584966411008827	0.0055772358000773185	-0.2635664855848342	0.0054008098268702835	110.0			
TACSTD2	MCPcounter_T_cells	primary	none	110	-0.1852940513490972	0.052623530874175574										0.10524706174835115	
