dataset	unit_id	pr503_quartile	pr503_cldn4_pct	pr503_frac_tnk	n_cells_atlas	n_malignant	n_T	n_NK	n_other	atlas_cldn4_pct_pos	frac_T	frac_NK	frac_malignant	frac_other	frac_TNK	atlas_quartile	quartile_match
GSE123902	LX255B	Q2	35.08771929824561	0.4073597529593412	350	70	165	4	111	8.571428571428571	0.4714285714285714	0.011428571428571429	0.2	0.3171428571428571	0.4828571428571429	Q1	False
GSE123902	LX653	Q4	71.72413793103448	0.125	283	145	56	2	80	73.79310344827587	0.1978798586572438	0.007067137809187279	0.5123674911660777	0.2826855123674912	0.2049469964664311	Q2	False
GSE123902	LX661	Q3	58.97435897435898	0.8160315374507228	350	9	263	25	53	100.0	0.7514285714285714	0.07142857142857142	0.025714285714285714	0.15142857142857144	0.8228571428571428	Q4	False
GSE123902	LX666	Q3	67.17557251908397	0.1344984802431611	350	220	41	15	74	70.0	0.11714285714285715	0.04285714285714286	0.6285714285714286	0.21142857142857144	0.16	Q2	False
GSE123902	LX675	Q1	31.3915857605178	0.3889374090247453	350	24	124	17	185	75.0	0.35428571428571426	0.04857142857142857	0.06857142857142857	0.5285714285714286	0.40285714285714286	Q3	False
GSE123902	LX676	Q2	42.17687074829932	0.6492277030393623	350	8	225	9	108	100.0	0.6428571428571429	0.025714285714285714	0.022857142857142857	0.30857142857142855	0.6685714285714286	Q4	False
GSE123902	LX679	Q2	43.25955734406438	0.3098661378284581	350	88	125	18	119	55.68181818181818	0.35714285714285715	0.05142857142857143	0.25142857142857145	0.34	0.4085714285714286	Q1	False
GSE123902	LX680	Q4	73.25581395348837	0.3655685441020191	350	105	134	17	94	88.57142857142857	0.38285714285714284	0.04857142857142857	0.3	0.26857142857142857	0.43142857142857144	Q4	True
GSE123902	LX681	Q3	63.29743164871583	0.052760736196319	350	282	25	2	41	82.62411347517731	0.07142857142857142	0.005714285714285714	0.8057142857142857	0.11714285714285715	0.07714285714285714	Q3	True
GSE123902	LX682	Q1	18.76484560570071	0.6251221896383187	350	10	183	13	144	60.0	0.5228571428571429	0.037142857142857144	0.02857142857142857	0.4114285714285714	0.56	Q2	False
GSE123902	LX684	Q4	72.83236994219652	0.2433862433862433	320	190	45	6	79	78.42105263157895	0.140625	0.01875	0.59375	0.246875	0.159375	Q3	False
GSE123902	LX699	Q1	15.21739130434782	0.8472482216398353	350	5	282	22	41	20.0	0.8057142857142857	0.06285714285714286	0.014285714285714285	0.11714285714285715	0.8685714285714285	Q1	True
GSE123902	LX701	Q1	11.11111111111111	0.4086294416243655	350	29	81	6	234	20.689655172413794	0.23142857142857143	0.017142857142857144	0.08285714285714285	0.6685714285714286	0.24857142857142858	Q1	True
GSE131907	BRONCHO_11	Q2	80.78817733990148	0.2545626179987413	350	12	90	5	243	66.66666666666666	0.2571428571428571	0.014285714285714285	0.03428571428571429	0.6942857142857143	0.2714285714285714	Q2	True
GSE131907	BRONCHO_58	Q2	72.17391304347827	0.5495911837895485	350	62	162	34	92	70.96774193548387	0.46285714285714286	0.09714285714285714	0.17714285714285713	0.26285714285714284	0.56	Q2	True
GSE131907	EBUS_06	Q2	71.16357504215851	0.2653061224489796	350	175	63	32	80	69.14285714285714	0.18	0.09142857142857143	0.5	0.22857142857142856	0.2714285714285714	Q2	True
GSE131907	EBUS_10	Q3	84.46866485013625	0.2974339035769829	350	34	95	8	213	79.41176470588235	0.2714285714285714	0.022857142857142857	0.09714285714285714	0.6085714285714285	0.29428571428571426	Q3	True
GSE131907	EBUS_12	Q3	88.32684824902724	0.1052969502407704	350	29	23	9	289	79.3103448275862	0.06571428571428571	0.025714285714285714	0.08285714285714285	0.8257142857142857	0.09142857142857143	Q3	True
GSE131907	EBUS_13	Q1	0.2659574468085106	0.323943661971831	350	34	110	2	204	0.0	0.3142857142857143	0.005714285714285714	0.09714285714285714	0.5828571428571429	0.32	Q1	True
GSE131907	EBUS_15	Q1	47.265625	0.4334841628959276	350	76	80	79	115	44.73684210526316	0.22857142857142856	0.2257142857142857	0.21714285714285714	0.32857142857142857	0.4542857142857143	Q1	True
GSE131907	EBUS_19	Q4	94.00921658986177	0.6756628787878788	350	45	131	93	81	91.11111111111111	0.3742857142857143	0.26571428571428574	0.12857142857142856	0.23142857142857143	0.64	Q4	True
GSE131907	EBUS_28	Q4	96.33620689655172	0.0447703589347742	350	325	12	3	10	94.15384615384616	0.03428571428571429	0.008571428571428572	0.9285714285714286	0.02857142857142857	0.04285714285714286	Q4	True
GSE131907	EBUS_49	Q1	49.122807017543856	0.6343661971830986	350	33	86	137	94	27.27272727272727	0.24571428571428572	0.3914285714285714	0.09428571428571429	0.26857142857142857	0.6371428571428571	Q1	True
