accession	system	class	gene	log2fc	lfcse	pvalue	padj	baseMean	n_treat	n_ctrl	method	mean_treat	mean_ctrl	tpm_ctrl	tpm_treat
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	CLDN4	0.346009345046153	0.213404478388545	0.104936577248228	0.842531135823464	2389.77572103161	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	CLDN1	-0.218087170763261	0.227353132584099	0.33743574520452	0.995028311732621	6058.04804389405	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	CLDN3	0.0631080702935723	0.40640344296762	0.876597199761116	0.999301953756084	225.644721424374	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	CLDN7	-0.248030930210061	0.285888650233656	0.385624959930338	0.998693203778218	2440.22125638905	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	TACSTD2	0.372906035405474	0.235806525066766	0.113785060270157	0.850827184571313	2676.08581801752	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	TJP1	0.250472116986641	0.28407079001843	0.377925919702133	0.998693203778218	1004.27394463756	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	OCLN	0.0252909141876649	0.244026152446683	0.917454900886897	0.999301953756084	2095.30112650014	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	KRT8	0.0196220593554796	0.236145957509182	0.93377764799358	0.999301953756084	43059.7345518414	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	EPCAM	0.0592317424500486	0.240712992732917	0.805629665424465	0.999301953756084	7255.28574698764	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	CXCL10	3.71535235511346	0.396046508964356	6.5287287142941006e-21	4.35559472796478e-18	1192.76008727173	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	IFIT1	2.54421389196439	0.22704837010739	3.82738607193295e-29	5.95796431864229e-26	9640.00042954149	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	IFIT2	2.45042233190546	0.266355815264691	3.58590266889883e-20	2.18428245179446e-17	9783.57954599763	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	ISG15	2.73617226902428	0.369571027189006	1.32497468214396e-13	4.4197369754373596e-11	3002.67574654624	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	MX1	2.78751516251366	0.265968622123316	1.06050013849446e-25	1.06125763859339e-22	9293.06416558792	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	IFNB1						2	2	author DESeq2 supplementary table; gene absent				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	IFNL1	0.465429546477379	1.07074249276596	0.663795260053344	0.998693203778218	39.2301107757439	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	TMEM173	1.09808576545687	0.330406674501238	0.000889155057101	0.0546362383771307	689.811649192593	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 6 h	direct STING agonist	OAS1	2.50779154969492	0.363171770033082	5.0115398546780596e-12	1.3247485540384802e-09	6949.33221645516	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	CLDN4	-0.0567900563899074	0.155844149837619	0.715557188254837	0.956292162504829	2389.77572103161	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	CLDN1	0.0453649734289738	0.165262676723422	0.783698689506219	0.965559778799844	6058.04804389405	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	CLDN3	0.367955624175753	0.296354752367686	0.214382234112457	0.747126432153525	225.644721424374	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	CLDN7	0.179636025772575	0.207879754727716	0.3875141200801	0.863649807095688	2440.22125638905	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	TACSTD2	0.244930405789987	0.171887104673223	0.154171863438136	0.666792247362847	2676.08581801752	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	TJP1	0.220355556630073	0.20660462705334	0.286172045897682	0.805987550167148	1004.27394463756	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	OCLN	-0.127729157940622	0.177898672731783	0.472764527503472	0.896427422682067	2095.30112650014	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	KRT8	-0.0004775546588115	0.171798342242514	0.997782091529362	0.999653972635101	43059.7345518414	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	EPCAM	-0.176907460937613	0.175127981388274	0.312418149562581	0.825737189285988	7255.28574698764	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	CXCL10	5.71239628099063	0.290357883661682	3.62784037090391e-86	1.05838614980751e-82	1192.76008727173	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	IFIT1	3.27324203395853	0.165217072599347	2.35669852449021e-87	8.59429034418467e-84	9640.00042954149	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	IFIT2	3.20877932235066	0.193799521486433	1.4202964611605e-61	1.2948665299342601e-58	9783.57954599763	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	ISG15	2.60299222145447	0.269065011909707	3.8806602614222297e-22	6.738951337305491e-20	3002.67574654624	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	MX1	3.01001296891327	0.193633034043429	1.72196675403304e-54	1.04659704337833e-51	9293.06416558792	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	IFNB1						2	2	author DESeq2 supplementary table; gene absent				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	IFNL1	3.72787616699302	0.717084340608875	2.00732576027497e-07	1.27864021245113e-05	39.2301107757439	2	2	author DESeq2 supplementary contrast; not recomputed				
GSE166209	Calu-3 diABZI vs DMSO, 12 h	direct STING agonist	TMEM173	0.893869056469602	0.240483421215516	0.0002016283835448	0.0070027457875461	689.811649192593	2	2	author DESeq2 supplementary contrast; not recomputed				
