sample,platform,cldn4_class,dist_um,cd8,n
Lung12,cosmx,high,10.0,1814.1193435703005,9719
Lung12,cosmx,high,30.0,2389.657260094353,3408
Lung12,cosmx,high,50.0,2679.3398585959135,1075
Lung12,cosmx,high,70.0,3497.914403516048,171
Lung12,cosmx,high,90.0,3200.7671598728784,46
Lung12,cosmx,high,110.0,1314.6007978049322,7
Lung12,cosmx,high,130.0,,0
Lung12,cosmx,high,150.0,,0
Lung12,cosmx,high,170.0,,0
Lung12,cosmx,high,190.0,,0
Lung12,cosmx,low,10.0,1757.0807266343916,7065
Lung12,cosmx,low,30.0,2218.4190864687575,2717
Lung12,cosmx,low,50.0,2309.6205869450655,761
Lung12,cosmx,low,70.0,1920.460295923727,115
Lung12,cosmx,low,90.0,1957.9160818371333,47
Lung12,cosmx,low,110.0,3067.4018615448417,3
Lung12,cosmx,low,130.0,,0
Lung12,cosmx,low,150.0,,0
Lung12,cosmx,low,170.0,,0
Lung12,cosmx,low,190.0,,0
Lung13,cosmx,high,10.0,1340.8635833030846,8869
Lung13,cosmx,high,30.0,1567.1784887236897,5280
Lung13,cosmx,high,50.0,1588.4706285810682,3113
Lung13,cosmx,high,70.0,1694.7278910202958,829
Lung13,cosmx,high,90.0,1495.9878393510626,281
Lung13,cosmx,high,110.0,976.0973286168311,68
Lung13,cosmx,high,130.0,2212.4872781981503,5
Lung13,cosmx,high,150.0,,0
Lung13,cosmx,high,170.0,,0
Lung13,cosmx,high,190.0,,0
Lung13,cosmx,low,10.0,1248.590474862801,11766
Lung13,cosmx,low,30.0,1420.58167825871,6845
Lung13,cosmx,low,50.0,1550.1106704314557,3554
Lung13,cosmx,low,70.0,1480.5187889441584,934
Lung13,cosmx,low,90.0,1392.4745107540807,429
Lung13,cosmx,low,110.0,1595.5437102390504,208
Lung13,cosmx,low,130.0,1558.0896325339086,71
Lung13,cosmx,low,150.0,2212.4872781981503,15
Lung13,cosmx,low,170.0,,0
Lung13,cosmx,low,190.0,,0
Lung5_Rep1,cosmx,high,10.0,1179.543965860198,6932
Lung5_Rep1,cosmx,high,30.0,1349.0149798646078,3644
Lung5_Rep1,cosmx,high,50.0,1199.100275240157,1791
Lung5_Rep1,cosmx,high,70.0,1186.3959870325225,465
Lung5_Rep1,cosmx,high,90.0,1060.9117960963904,130
Lung5_Rep1,cosmx,high,110.0,1970.2647641790106,10
Lung5_Rep1,cosmx,high,130.0,,0
Lung5_Rep1,cosmx,high,150.0,,0
Lung5_Rep1,cosmx,high,170.0,,0
Lung5_Rep1,cosmx,high,190.0,,0
Lung5_Rep1,cosmx,low,10.0,1154.6126110508808,8626
Lung5_Rep1,cosmx,low,30.0,1252.1809607338953,5515
Lung5_Rep1,cosmx,low,50.0,1191.5676000768442,3183
Lung5_Rep1,cosmx,low,70.0,1070.7960674885926,874
Lung5_Rep1,cosmx,low,90.0,1146.4902722593379,232
Lung5_Rep1,cosmx,low,110.0,1886.423710384159,47
Lung5_Rep1,cosmx,low,130.0,,1
Lung5_Rep1,cosmx,low,150.0,,0
Lung5_Rep1,cosmx,low,170.0,,0
Lung5_Rep1,cosmx,low,190.0,,0
Lung5_Rep2,cosmx,high,10.0,1698.166827674495,11826
Lung5_Rep2,cosmx,high,30.0,1718.4945342501132,5967
Lung5_Rep2,cosmx,high,50.0,1658.1969005540834,3407
Lung5_Rep2,cosmx,high,70.0,1714.8461044823946,970
Lung5_Rep2,cosmx,high,90.0,1708.527544100025,374
Lung5_Rep2,cosmx,high,110.0,1283.8844715559762,79
Lung5_Rep2,cosmx,high,130.0,1644.7601068041424,37
Lung5_Rep2,cosmx,high,150.0,,0
Lung5_Rep2,cosmx,high,170.0,,0
Lung5_Rep2,cosmx,high,190.0,,0
Lung5_Rep2,cosmx,low,10.0,1534.1578065532321,5646
Lung5_Rep2,cosmx,low,30.0,1632.44925709724,3585
Lung5_Rep2,cosmx,low,50.0,1437.9506081426932,1975
Lung5_Rep2,cosmx,low,70.0,1428.87742919821,433
Lung5_Rep2,cosmx,low,90.0,1102.4660136187185,92
Lung5_Rep2,cosmx,low,110.0,,0
Lung5_Rep2,cosmx,low,130.0,,0
Lung5_Rep2,cosmx,low,150.0,,0
Lung5_Rep2,cosmx,low,170.0,,0
Lung5_Rep2,cosmx,low,190.0,,0
Lung5_Rep3,cosmx,high,10.0,1065.3171254014244,10614
Lung5_Rep3,cosmx,high,30.0,1215.5964919830196,4263
Lung5_Rep3,cosmx,high,50.0,1197.5521246649703,1774
Lung5_Rep3,cosmx,high,70.0,1086.7240828230842,338
Lung5_Rep3,cosmx,high,90.0,601.6588697693734,33
Lung5_Rep3,cosmx,high,110.0,,0
Lung5_Rep3,cosmx,high,130.0,,0
Lung5_Rep3,cosmx,high,150.0,,0
Lung5_Rep3,cosmx,high,170.0,,0
Lung5_Rep3,cosmx,high,190.0,,0
Lung5_Rep3,cosmx,low,10.0,942.0724158479198,6133
Lung5_Rep3,cosmx,low,30.0,1041.856367675854,4507
Lung5_Rep3,cosmx,low,50.0,1098.2979250930762,2558
Lung5_Rep3,cosmx,low,70.0,1049.833333985335,539
Lung5_Rep3,cosmx,low,90.0,744.5528513395994,80
Lung5_Rep3,cosmx,low,110.0,,1
Lung5_Rep3,cosmx,low,130.0,,0
Lung5_Rep3,cosmx,low,150.0,,0
Lung5_Rep3,cosmx,low,170.0,,0
Lung5_Rep3,cosmx,low,190.0,,0
Lung6,cosmx,high,10.0,515.7267423311449,11006
Lung6,cosmx,high,30.0,729.2667922041369,9747
Lung6,cosmx,high,50.0,859.9627779024008,12186
Lung6,cosmx,high,70.0,882.617055958968,8569
Lung6,cosmx,high,90.0,862.9675916405838,7338
Lung6,cosmx,high,110.0,890.2531401933255,5228
Lung6,cosmx,high,130.0,950.2482554033217,4113
Lung6,cosmx,high,150.0,945.1022250919726,2557
Lung6,cosmx,high,170.0,862.5984275460546,2032
Lung6,cosmx,high,190.0,920.3421031072335,1321
Lung6,cosmx,low,10.0,486.35490371541624,3880
Lung6,cosmx,low,30.0,701.4217763946262,1829
Lung6,cosmx,low,50.0,796.0958382956284,1396
Lung6,cosmx,low,70.0,821.4453110758192,681
Lung6,cosmx,low,90.0,785.1287815335198,399
Lung6,cosmx,low,110.0,991.6221893934917,173
Lung6,cosmx,low,130.0,791.0767268481677,66
Lung6,cosmx,low,150.0,0.0,3
Lung6,cosmx,low,170.0,,0
Lung6,cosmx,low,190.0,,0
Lung9_Rep1,cosmx,high,10.0,1140.0035327203814,10011
Lung9_Rep1,cosmx,high,30.0,1617.158884390247,6905
Lung9_Rep1,cosmx,high,50.0,1766.3606182484239,6612
Lung9_Rep1,cosmx,high,70.0,1878.697570062272,3182
Lung9_Rep1,cosmx,high,90.0,1560.76852242044,1695
Lung9_Rep1,cosmx,high,110.0,1803.7959526037905,739
Lung9_Rep1,cosmx,high,130.0,2021.3754202807022,279
Lung9_Rep1,cosmx,high,150.0,2019.704862082123,66
Lung9_Rep1,cosmx,high,170.0,379.7735638103137,27
Lung9_Rep1,cosmx,high,190.0,1708.9810371464118,6
Lung9_Rep1,cosmx,low,10.0,1093.9553643728036,11201
Lung9_Rep1,cosmx,low,30.0,1531.5267401946362,5865
Lung9_Rep1,cosmx,low,50.0,1780.2235031382927,4078
Lung9_Rep1,cosmx,low,70.0,1930.387487303032,1482
Lung9_Rep1,cosmx,low,90.0,1908.644168218963,505
Lung9_Rep1,cosmx,low,110.0,1904.2931556774304,70
Lung9_Rep1,cosmx,low,130.0,,0
Lung9_Rep1,cosmx,low,150.0,,0
Lung9_Rep1,cosmx,low,170.0,,0
Lung9_Rep1,cosmx,low,190.0,,0
Lung9_Rep2,cosmx,high,10.0,1173.5178917383355,14383
Lung9_Rep2,cosmx,high,30.0,1386.7467943042589,12317
Lung9_Rep2,cosmx,high,50.0,1411.1923314356814,11477
Lung9_Rep2,cosmx,high,70.0,1474.1932939416279,5490
Lung9_Rep2,cosmx,high,90.0,1447.9087003340537,3306
Lung9_Rep2,cosmx,high,110.0,1476.9831722283118,1653
Lung9_Rep2,cosmx,high,130.0,1374.8994709106944,783
Lung9_Rep2,cosmx,high,150.0,1519.6870210658863,253
Lung9_Rep2,cosmx,high,170.0,1580.0581493000104,73
Lung9_Rep2,cosmx,high,190.0,,0
Lung9_Rep2,cosmx,low,10.0,1162.2085957349952,19386
Lung9_Rep2,cosmx,low,30.0,1363.8254898165392,10755
Lung9_Rep2,cosmx,low,50.0,1394.9166555880788,7821
Lung9_Rep2,cosmx,low,70.0,1456.2529942982394,2561
Lung9_Rep2,cosmx,low,90.0,1450.4366125011472,835
Lung9_Rep2,cosmx,low,110.0,1685.5201663741423,211
Lung9_Rep2,cosmx,low,130.0,2957.544740997456,13
Lung9_Rep2,cosmx,low,150.0,,0
Lung9_Rep2,cosmx,low,170.0,,0
Lung9_Rep2,cosmx,low,190.0,,0
GSM9226169_P1_LUAD,visium,high,25.0,0.14885428031031483,1162
GSM9226169_P1_LUAD,visium,high,75.0,0.1308795183456864,117
GSM9226169_P1_LUAD,visium,high,125.0,0.1637477646852278,23
GSM9226169_P1_LUAD,visium,high,175.0,,1
GSM9226169_P1_LUAD,visium,low,25.0,0.15269720145437704,574
GSM9226169_P1_LUAD,visium,low,75.0,0.2921093151712357,13
GSM9226169_P1_LUAD,visium,low,125.0,,2
GSM9226169_P1_LUAD,visium,low,175.0,,0
GSM9226171_P2_LUAD,visium,high,25.0,0.04976410794943764,1748
GSM9226171_P2_LUAD,visium,high,75.0,0.03070995670133286,203
GSM9226171_P2_LUAD,visium,high,125.0,0.020397476429840446,90
GSM9226171_P2_LUAD,visium,high,175.0,0.03843408199730126,27
GSM9226171_P2_LUAD,visium,low,25.0,0.02868170006620374,501
GSM9226171_P2_LUAD,visium,low,75.0,,0
GSM9226171_P2_LUAD,visium,low,125.0,,0
GSM9226171_P2_LUAD,visium,low,175.0,,0
GSM9226173_P3_LUAD,visium,high,25.0,0.09570725691625606,2318
GSM9226173_P3_LUAD,visium,high,75.0,0.08546483471953563,741
GSM9226173_P3_LUAD,visium,high,125.0,0.07800089939373991,398
GSM9226173_P3_LUAD,visium,high,175.0,0.07780348430517849,361
GSM9226173_P3_LUAD,visium,low,25.0,0.08165253370825513,539
GSM9226173_P3_LUAD,visium,low,75.0,,0
GSM9226173_P3_LUAD,visium,low,125.0,,0
GSM9226173_P3_LUAD,visium,low,175.0,,0
GSM9226177_P4_LUAD,visium,high,25.0,0.04439173591456293,3290
GSM9226177_P4_LUAD,visium,high,75.0,0.03001936815726083,1056
GSM9226177_P4_LUAD,visium,high,125.0,0.03803866632841423,570
GSM9226177_P4_LUAD,visium,high,175.0,0.02144995157420316,516
GSM9226177_P4_LUAD,visium,low,25.0,0.0563146466939032,447
GSM9226177_P4_LUAD,visium,low,75.0,0.05031158289542817,158
GSM9226177_P4_LUAD,visium,low,125.0,0.02748464517646319,83
GSM9226177_P4_LUAD,visium,low,175.0,0.008142189790505214,60
GSM9226179_P5_LUAD,visium,high,25.0,0.10726634157367425,2332
GSM9226179_P5_LUAD,visium,high,75.0,0.04537998176405024,611
GSM9226179_P5_LUAD,visium,high,125.0,0.05195836662991368,356
GSM9226179_P5_LUAD,visium,high,175.0,0.0197234722619113,122
GSM9226179_P5_LUAD,visium,low,25.0,0.06720251691728131,2045
GSM9226179_P5_LUAD,visium,low,75.0,0.037051555696892974,398
GSM9226179_P5_LUAD,visium,low,125.0,0.028922927101797242,166
GSM9226179_P5_LUAD,visium,low,175.0,0.01146695463561818,34
GSM9226181_P6_LUAD,visium,high,25.0,0.11130368026503254,407
GSM9226181_P6_LUAD,visium,high,75.0,0.08583680450010651,100
GSM9226181_P6_LUAD,visium,high,125.0,0.06962277744124439,71
GSM9226181_P6_LUAD,visium,high,175.0,0.12696254525653844,43
GSM9226181_P6_LUAD,visium,low,25.0,0.1421146639493828,1789
GSM9226181_P6_LUAD,visium,low,75.0,0.11627725259774123,397
GSM9226181_P6_LUAD,visium,low,125.0,0.10294794484082251,207
GSM9226181_P6_LUAD,visium,low,175.0,0.12241659983756202,69
GSM9226182_P7_LUAD,visium,high,25.0,0.0027286589966696835,623
GSM9226182_P7_LUAD,visium,high,75.0,0.003063985800973092,12
GSM9226182_P7_LUAD,visium,high,125.0,0.0,3
GSM9226182_P7_LUAD,visium,high,175.0,,0
GSM9226182_P7_LUAD,visium,low,25.0,0.0025078060906925984,1362
GSM9226182_P7_LUAD,visium,low,75.0,0.0029984263348556825,39
GSM9226182_P7_LUAD,visium,low,125.0,0.0027496251764265213,4
GSM9226182_P7_LUAD,visium,low,175.0,,0
GSM9226183_P7_LUAD-1,visium,high,25.0,0.003226969478017727,690
GSM9226183_P7_LUAD-1,visium,high,75.0,0.003930150740243651,87
GSM9226183_P7_LUAD-1,visium,high,125.0,0.0048252326631961755,30
GSM9226183_P7_LUAD-1,visium,high,175.0,0.0020365688819642905,8
GSM9226183_P7_LUAD-1,visium,low,25.0,0.0017732482902482135,1074
GSM9226183_P7_LUAD-1,visium,low,75.0,0.0007280248119992653,49
GSM9226183_P7_LUAD-1,visium,low,125.0,0.0012220033899921962,21
GSM9226183_P7_LUAD-1,visium,low,175.0,,2
GSM9226185_P8_LUAD,visium,high,25.0,0.0006877379094571062,1190
GSM9226185_P8_LUAD,visium,high,75.0,0.0008235675461841208,412
GSM9226185_P8_LUAD,visium,high,125.0,0.000991891889772378,269
GSM9226185_P8_LUAD,visium,high,175.0,0.0007859657821046097,182
GSM9226188_P9_LUAD,visium,high,25.0,0.0010360962382510593,859
GSM9226188_P9_LUAD,visium,high,75.0,0.0006181226208047092,66
GSM9226188_P9_LUAD,visium,high,125.0,0.0,9
GSM9226188_P9_LUAD,visium,high,175.0,,0
GSM9226188_P9_LUAD,visium,low,25.0,0.0014469557531498834,702
GSM9226188_P9_LUAD,visium,low,75.0,0.00035092127031133627,124
GSM9226188_P9_LUAD,visium,low,125.0,0.0001912730349514801,46
GSM9226188_P9_LUAD,visium,low,175.0,0.0,13
GSM9226190_P10_LUAD,visium,high,25.0,0.0059181222758937545,576
GSM9226190_P10_LUAD,visium,high,75.0,0.003470143118676797,27
GSM9226190_P10_LUAD,visium,high,125.0,0.009600738197860807,6
GSM9226190_P10_LUAD,visium,high,175.0,,0
GSM9226190_P10_LUAD,visium,low,25.0,0.006686279632013875,982
GSM9226190_P10_LUAD,visium,low,75.0,0.005384570288483274,27
GSM9226190_P10_LUAD,visium,low,125.0,0.008019166551142206,8
GSM9226190_P10_LUAD,visium,low,175.0,,0
GSM9226192_P11_LUAD,visium,high,25.0,0.012094559608019936,715
GSM9226192_P11_LUAD,visium,high,75.0,0.01046373681709223,226
GSM9226192_P11_LUAD,visium,high,125.0,0.010931541960502379,110
GSM9226192_P11_LUAD,visium,high,175.0,0.012898709322791052,75
GSM9226192_P11_LUAD,visium,low,25.0,0.0073382294559723475,548
GSM9226192_P11_LUAD,visium,low,75.0,0.00309798913775789,62
GSM9226192_P11_LUAD,visium,low,125.0,0.0041093331502809315,32
GSM9226192_P11_LUAD,visium,low,175.0,,1
GSM9226194_P12_LUAD,visium,high,25.0,0.0036195685116384305,960
GSM9226194_P12_LUAD,visium,high,75.0,0.0028310002166116507,104
GSM9226194_P12_LUAD,visium,high,125.0,0.0020264475005128176,21
GSM9226194_P12_LUAD,visium,high,175.0,,1
GSM9226194_P12_LUAD,visium,low,25.0,0.001080298989660314,802
GSM9226194_P12_LUAD,visium,low,75.0,0.001773611160313566,53
GSM9226194_P12_LUAD,visium,low,125.0,0.0017122563237178482,7
GSM9226194_P12_LUAD,visium,low,175.0,,0
GSM9226196_P13_LUAD,visium,high,25.0,0.003356391972367026,266
GSM9226196_P13_LUAD,visium,high,75.0,0.004044810236646817,38
GSM9226196_P13_LUAD,visium,high,125.0,0.007485928233992375,19
GSM9226196_P13_LUAD,visium,high,175.0,0.009244936709997948,3
GSM9226196_P13_LUAD,visium,low,25.0,0.003516617846986305,362
GSM9226196_P13_LUAD,visium,low,75.0,0.005803117722574134,40
GSM9226196_P13_LUAD,visium,low,125.0,0.01122164066133629,4
GSM9226196_P13_LUAD,visium,low,175.0,,0
GSM9226198_P14_LUAD,visium,high,25.0,0.0022835386932487343,762
GSM9226198_P14_LUAD,visium,high,75.0,0.0027359749451445125,116
GSM9226198_P14_LUAD,visium,high,125.0,0.003335182346619528,46
GSM9226198_P14_LUAD,visium,high,175.0,0.0,12
GSM9226198_P14_LUAD,visium,low,25.0,0.002576176865033503,397
GSM9226198_P14_LUAD,visium,low,75.0,0.0032096984053179823,60
GSM9226198_P14_LUAD,visium,low,125.0,0.002365204615414692,17
GSM9226198_P14_LUAD,visium,low,175.0,0.0,4
GSM9226200_P15_LUAD,visium,high,25.0,0.0016125503467045274,1292
GSM9226200_P15_LUAD,visium,high,75.0,0.0015672504332565756,403
GSM9226200_P15_LUAD,visium,high,125.0,0.0016768904898853397,221
GSM9226200_P15_LUAD,visium,high,175.0,0.0017568903423418206,77
GSM9226200_P15_LUAD,visium,low,25.0,0.0022353129750093043,212
GSM9226200_P15_LUAD,visium,low,75.0,0.0015698951203629876,8
GSM9226200_P15_LUAD,visium,low,125.0,,1
GSM9226200_P15_LUAD,visium,low,175.0,,0
GSM9226202_P16_LUAD,visium,high,25.0,0.0022450571349504522,416
GSM9226202_P16_LUAD,visium,high,75.0,0.0,13
GSM9226202_P16_LUAD,visium,high,125.0,,2
GSM9226202_P16_LUAD,visium,high,175.0,,0
GSM9226202_P16_LUAD,visium,low,25.0,0.0022387331207024837,509
GSM9226202_P16_LUAD,visium,low,75.0,0.0007934858097775673,82
GSM9226202_P16_LUAD,visium,low,125.0,0.0015625861732891265,32
GSM9226202_P16_LUAD,visium,low,175.0,,1
GSM9226204_P17_LUAD,visium,high,25.0,0.00508225690566291,456
GSM9226204_P17_LUAD,visium,high,75.0,0.0027631622943355212,38
GSM9226204_P17_LUAD,visium,high,125.0,0.002803490539750118,6
GSM9226204_P17_LUAD,visium,high,175.0,,0
GSM9226204_P17_LUAD,visium,low,25.0,0.003050516640569364,1485
GSM9226204_P17_LUAD,visium,low,75.0,0.0042365511387311115,36
GSM9226204_P17_LUAD,visium,low,125.0,0.0,5
GSM9226204_P17_LUAD,visium,low,175.0,,2
GSM9226206_P18_LUAD,visium,high,25.0,0.0038822650764327206,608
GSM9226206_P18_LUAD,visium,high,75.0,0.005638195195104103,64
GSM9226206_P18_LUAD,visium,high,125.0,0.008783863260242915,15
GSM9226206_P18_LUAD,visium,high,175.0,0.0,4
GSM9226206_P18_LUAD,visium,low,25.0,0.0034414315847795165,997
GSM9226206_P18_LUAD,visium,low,75.0,0.002707760311800193,81
GSM9226206_P18_LUAD,visium,low,125.0,0.006242517697079854,20
GSM9226206_P18_LUAD,visium,low,175.0,0.006146469887452357,7
GSM9226208_P19_LUAD,visium,high,25.0,0.0032999086303360263,1040
GSM9226208_P19_LUAD,visium,high,75.0,0.0028089029109702687,160
GSM9226208_P19_LUAD,visium,high,125.0,0.0025721932808343076,64
GSM9226208_P19_LUAD,visium,high,175.0,0.007696257289860633,16
GSM9226208_P19_LUAD,visium,low,25.0,0.004172530414382429,498
GSM9226208_P19_LUAD,visium,low,75.0,0.005028171267736055,78
GSM9226208_P19_LUAD,visium,low,125.0,0.0048808348808214875,21
GSM9226208_P19_LUAD,visium,low,175.0,0.005046807635106875,9
GSM9226210_P20_LUAD,visium,high,25.0,0.010252857262565838,956
GSM9226210_P20_LUAD,visium,high,75.0,0.010130135305564858,162
GSM9226210_P20_LUAD,visium,high,125.0,0.005931130381291088,64
GSM9226210_P20_LUAD,visium,high,175.0,0.005092508074355633,14
GSM9226210_P20_LUAD,visium,low,25.0,0.01048566562125049,754
GSM9226210_P20_LUAD,visium,low,75.0,0.009007105193102851,71
GSM9226210_P20_LUAD,visium,low,125.0,0.010432239422001192,19
GSM9226210_P20_LUAD,visium,low,175.0,,1
GSM9226213_P21_LUAD,visium,high,25.0,0.0025986396059989227,1206
GSM9226213_P21_LUAD,visium,high,75.0,0.0018327998625647709,201
GSM9226213_P21_LUAD,visium,high,125.0,0.0012474150318137714,75
GSM9226213_P21_LUAD,visium,high,175.0,0.0012159729078240185,29
GSM9226213_P21_LUAD,visium,low,25.0,0.002487510104188613,1437
GSM9226213_P21_LUAD,visium,low,75.0,0.0023393155933801642,96
GSM9226213_P21_LUAD,visium,low,125.0,0.003125932394102999,20
GSM9226213_P21_LUAD,visium,low,175.0,,2
GSM9226216_P22_LUAD,visium,high,25.0,0.008374114657428574,840
GSM9226216_P22_LUAD,visium,high,75.0,0.008893764106649896,38
GSM9226216_P22_LUAD,visium,high,125.0,0.09492280031189924,14
GSM9226216_P22_LUAD,visium,high,175.0,,0
GSM9226216_P22_LUAD,visium,low,25.0,0.010003554299861937,851
GSM9226216_P22_LUAD,visium,low,75.0,0.015306416770142977,69
GSM9226216_P22_LUAD,visium,low,125.0,0.008785470424029428,22
GSM9226216_P22_LUAD,visium,low,175.0,,1
GSM9226219_P23_LUAD,visium,high,25.0,0.0004382485705512953,730
GSM9226219_P23_LUAD,visium,high,75.0,0.000544553826735515,90
GSM9226219_P23_LUAD,visium,high,125.0,0.0,19
GSM9226219_P23_LUAD,visium,high,175.0,,2
GSM9226219_P23_LUAD,visium,low,25.0,0.0005226687938753932,750
GSM9226219_P23_LUAD,visium,low,75.0,0.0,37
GSM9226219_P23_LUAD,visium,low,125.0,0.0,6
GSM9226219_P23_LUAD,visium,low,175.0,,0
GSM9226221_P24_LUAD,visium,high,25.0,0.007066934269935401,312
GSM9226221_P24_LUAD,visium,high,75.0,0.00566346629493901,47
GSM9226221_P24_LUAD,visium,high,125.0,0.0008207355927788209,14
GSM9226221_P24_LUAD,visium,high,175.0,0.0,6
GSM9226221_P24_LUAD,visium,low,25.0,0.005431754076552586,507
GSM9226221_P24_LUAD,visium,low,75.0,0.001986451252836002,27
GSM9226221_P24_LUAD,visium,low,125.0,,2
GSM9226221_P24_LUAD,visium,low,175.0,,0
GSM9226223_P25_LUAD,visium,high,25.0,0.008220745982796332,410
