modality,min_feature_significance,n_features,n_tied_at_floor,tied_DNA,tied_RNA,tied_Mito,tied_ER,tied_AGP,tied_other,nuclei_dna_intensity_at_floor
crispr,0.008442945778369904,3651,288,23,93,90,52,24,6,0
orf,0.04569016024470329,3636,106,74,1,5,0,25,1,0
