sample,platform,n_units,n_tumor,n_domains,n_cldn4_high_domains,n_cldn4_low_domains,n_cd8,tumor_definition,auc_high,auc_low,auc_delta,barrier_high,barrier_low,barrier_drop_high,cd8_stroma_high,cd8_rim_high,n_perm,barrier_perm_mean,barrier_perm_p,auc_delta_perm_p,notes
Lung12,cosmx,73997,13490,26,15,11,12467,EPCAM/KRT RNA+PanCK protein,266640.7750553362,216373.14690528598,-50267.62815005021,-0.2355916184960242,-0.17932158199379877,-0.10018926383543342,0.16253869969040247,0.2627279635258359,199,-0.2273896535737724,0.71,0.765,
Lung13,cosmx,82843,24643,49,18,31,8952,EPCAM/KRT RNA+PanCK protein,181982.75214087128,214557.15735383678,32574.405212965503,-0.14647235043281207,-0.1558365878277975,-0.03431870255621433,0.09999143175391997,0.1343101343101343,199,-0.1526866412618101,0.14,0.005,
Lung5_Rep1,cosmx,100292,20185,28,14,14,11071,EPCAM/KRT RNA+PanCK protein,127406.54806506567,123631.0612255238,-3775.4868395418744,-0.19854501575154954,-0.11889821697514902,-0.04342949859314399,0.08765464595946301,0.131084144552607,199,-0.17457791301514627,0.955,0.2,
Lung5_Rep2,cosmx,106660,21453,26,14,12,15276,EPCAM/KRT RNA+PanCK protein,195108.2604436382,116351.78409048237,-78756.47635315583,-0.08524942425941567,-0.07595156950002023,-0.025844515461793977,0.13865949683118878,0.16450401229298275,199,-0.07355821765353092,0.835,0.855,
Lung5_Rep3,cosmx,100264,19011,27,19,8,9599,EPCAM/KRT RNA+PanCK protein,86667.21394112946,80666.0052069605,-6001.208734168962,-0.086855883250759,-0.09177763433536928,-0.018976779543016326,0.09975451908056238,0.1187312986235787,199,-0.09261218242244883,0.38,0.96,
Lung6,cosmx,93795,56592,19,9,10,9053,EPCAM/KRT RNA+PanCK protein,154021.01377319908,102599.36150797922,-51421.65226521986,-0.21694654990478573,-0.15994941822447878,-0.03282898115088408,0.0592469545957918,0.09207593574667589,199,-0.22549210358987185,0.08,0.055,
Lung9_Rep1,cosmx,91972,28084,23,6,17,10484,EPCAM/KRT RNA+PanCK protein,289442.5535766342,172998.12317760085,-116444.43039903336,-0.3386477966680781,-0.25990411312753164,-0.0744638185133895,0.07271095152603231,0.1471747700394218,199,-0.32770349967900153,0.905,0.365,
Lung9_Rep2,cosmx,150504,50007,44,15,29,16823,EPCAM/KRT RNA+PanCK protein,229367.97609479376,188216.57173888746,-41151.4043559063,-0.2581114895990951,-0.26315619888292824,-0.05686781028567614,0.08172742047829115,0.1385952307639673,199,-0.2743763053643519,0.04,0.005,
GSM9226169_P1_LUAD,visium,6603,1892,14,4,10,6603,EPCAM/KRT RNA,14.359027042172887,11.120162915640318,-3.238864126532569,0.003332744333285469,0.0796506945318973,0.0009314346976617149,0.14020560903983997,0.13927417434217826,99,0.046436753505205625,0.93,0.7701149425287356,
GSM9226171_P2_LUAD,visium,10995,2569,8,2,6,10995,EPCAM/KRT RNA,4.760326405227138,,,-0.31640543849038355,0.2325765272331508,-0.023717704043116968,0.02562106771721591,0.04933877176033288,99,-0.17482912971278305,1.0,,
