modality,jcp,corrected_p,phenotypic_activity,feature_rows_in_browser_table
crispr,JCP2022_801379,0.00018139739348945158,0.8854761904761904,49
orf,JCP2022_905637,0.2996222396208161,0.3784848484848485,38
