gene	ensembl	WT1	WT2	WT3	WT4	KO1	KO2	KO3	KO4
CLDN4	ENSG00000189143	86.79670622112239	84.83952034305796	116.43812575203964	67.81538280343152	145.07672946694646	167.38045978414587	141.40462871667762	141.15744674277116
CLDN1	ENSG00000163347	11336.985166420447	10499.407956601855	8584.077381830923	8864.583919290348	7457.297740282674	6495.914854200176	6595.30692421304	6862.654591643236
CLDN3	ENSG00000165215	72.330588517602	106.56671457725572	17.250092704005873	8.097359140708242	90.23064881480816	150.98752815580167	17.553678047587567	11.01228307922328
CLDN7	ENSG00000181885	126.85672447702503	109.6705994678554	109.96934098803743	115.38736775509244	245.92274873055555	250.2079038010428	590.9738276021147	581.6487699117024
TACSTD2	ENSG00000184292	2582.7583992208342	2627.9558740410635	1605.3367522665465	1582.0215421158728	7712.951245257964	7909.15811773848	6294.943988732097	5904.58596375081
TJP1	ENSG00000104067	2378.007194801776	2200.654387435174	2724.4365164389274	2780.4306949406923	2529.1120094268285	2112.9626083060475	3030.9350762167865	3271.6491911728804
OCLN	ENSG00000197822	46.736687965219744	66.21621099945986	56.06280128801908	75.91274194413977	65.46145110093926	63.84615476302471	119.9501333251817	123.1373471585876
KRT8	ENSG00000170421	22592.737518044203	24958.338405312035	15346.113721801223	13063.064633747572	23658.12227356107	27339.95881257739	15657.88081844811	14723.422476921527
EPCAM	ENSG00000119888	58.977249098967775	56.90455632766082	34.500185408011745	53.6450043071921	74.30759314160672	69.88565588925678	72.16512086230443	64.07146518820818
STING1	ENSG00000184584	2558.277276953338	2715.8992792747213	1649.5401148205615	1434.2447377979474	793.4989410478718	914.5530276865702	858.1798156598365	735.8207330208284
CGAS	ENSG00000164430	598.6747172687673	564.907050089142	784.8792180322672	810.7480839634127	469.7301423594425	405.5093613327245	459.321242245208	501.55943842644217
CXCL10	ENSG00000169245	32.27057026169935	42.41976017152898	39.89083937801358	43.5233053813068	0.0	0.0	0.0	0.0
IFNB1	ENSG00000171855	12.24056113374803	6.207769781199363	6.468784764002201	12.146038711062364	0.0	0.0	0.0	0.0
IFNL1	ENSG00000182393	2.225556569772369	2.0692565937331207	1.078130794000367	1.0121698925885303	0.0	0.0	0.0	0.0
IFIT1	ENSG00000185745	4121.730767218427	3363.5765931131878	3369.158731251147	3949.486920880445	896.1141887196143	839.4906565462574	998.6092400405371	886.989346199257
IFIT2	ENSG00000119922	3115.7791976813164	2892.820718038903	2992.891084145019	3415.061217593701	490.9608832570444	442.60915396529293	444.69317720555165	417.46564036691893
ISG15	ENSG00000187608	4066.091852974118	3829.15932670314	908.8642593423093	673.0929785713726	415.7686759113709	377.9002133270922	138.47901570874635	123.1373471585876
MX1	ENSG00000157601	8972.331311037306	7307.579660768516	6360.971684602165	6694.491669580539	598.8838161531875	438.2952245894129	495.4038026763602	403.4500073569984
STAT1	ENSG00000115415	17515.130204108544	15232.83241476637	15851.757064187395	17220.046382608663	8251.681295534612	7193.908627217568	7599.767390269439	7993.916398872537
CCL5	ENSG00000161570	807.8770348273699	838.0489204619139	500.25268841617026	482.8050387647289	2.65384261220024	5.1767152510560575	4.876021679885435	3.0033499306972584
OAS1	ENSG00000089127	1790.4602603818707	1622.2971694867667	1364.9135852044647	1605.3014496454089	574.1146184393185	494.3763064758535	666.0645614723504	601.6711027830174
