fov,n,rho,p
1,1555,-0.06356566607116555,0.012171388942251704
2,3177,-0.003991252992641675,0.8220735056279131
3,2634,0.011762718306203488,0.5462249672309122
4,3242,-0.025869838825590755,0.14084007371301369
5,3387,0.0036703541861692023,0.8309144357945761
7,3484,0.016570513996052885,0.3281744033084546
8,3068,0.05116857582344582,0.004583924814387962
9,2477,-0.006397542913870824,0.7502992139662304
10,2479,-0.0011707594918203923,0.9535397627850511
11,3513,-0.004167394001583035,0.8049724827754132
12,3331,0.02410186203754456,0.1643120346660969
13,2594,-0.02072999682553512,0.291237508138384
14,2218,-0.03150440827681525,0.13800739928938638
15,2534,-0.024333108946732587,0.22077207909881286
16,4055,-0.010233063961773167,0.5147584790857858
17,2985,0.01163687431374225,0.5250778261044481
18,2654,0.014364950907023307,0.45946472922060655
19,2208,0.019043068907236647,0.3711100434082561
20,3198,-0.04124370487349608,0.019677152934283924
21,2340,-0.057709433660408906,0.005231124959878016
22,1977,-0.07246108571687958,0.001263815083195846
23,2405,-0.026856976886586087,0.1879591987390114
24,1738,-0.03717799111847313,0.12129857884197
25,2632,-0.03772472441941453,0.05297044452389212
26,2688,-0.0137297204396885,0.4767543148735551
27,3226,0.013654298799938083,0.438179596731165
28,3471,0.027992870676756335,0.0991610597146156
29,2994,0.011686045701811434,0.5227022627299358
30,3220,-0.02481085903361772,0.1592604197884714
