accession	platform	n_samples_or_sections	n_patients	disease	CLDN4	CD8_T_NK	coords	download_url	license	ran_this_slice	notes
NanoString-CosMx-NSCLC-He2022	CosMx SMI 960-plex RNA + PanCK/CD45/CD3 protein	8 sections	5	NSCLC	yes (RNA)	CD8A, CD3E, CD3D, NKG7	yes	https://nanostring-public-share.s3.us-west-2.amazonaws.com/SMI-Compressed/ ; https://brukerspatialbiology.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/nsclc-ffpe-dataset/	NanoString/Bruker showcase open data (research use; Data License Agreement)	yes (Lung5_Rep2, 81484 cells)	Largest easy cell-level public NSCLC set; CLDN4-only metrics computed
10x-CytAssist-FFPE-Human-Lung-SCC	Visium CytAssist FFPE WTA v2	1 section	1	LUSC (NSCLC)	yes	CD8A, CD3D, CD3E, NKG7	yes	https://www.10xgenomics.com/datasets/human-lung-cancer-ffpe-2-standard	CC BY 4.0	yes (3826 spots)	Vendor demo; CLDN4-only metrics computed
10x-Visium-HD-LUAD-FFPE-post-Xenium	Visium HD WTA	4 capture areas (serial)	1	LUAD	yes (WTA)	CD8A/CD3/NKG7 (WTA)	yes	https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt	CC BY 4.0	no	Post-Xenium technical note; large bin files
10x-Visium-HD-LUAD-fixed-frozen	Visium HD WTA	1	1	LUAD	yes (WTA)	CD8A/CD3/NKG7 (WTA)	yes	https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-fixed-frozen	CC BY 4.0	no	Vendor demo
10x-Xenium-v1-LUAD-post-Xenium	Xenium v1 Human Lung panel	1	1	LUAD	panel-dependent (lung v1 ~289 genes; not re-verified here)	CD8A typically yes on lung/IO panels	yes	https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote	CC BY 4.0	no	Confirm CLDN4 in that run's gene_panel.json before use
10x-Xenium-Prime5K-LUAD	Xenium Prime 5K	1	1	LUAD	yes on Prime 5K human pan-tissue in other 10x releases; GSE311609 5K deposit lacked CLDN4 — verify JSON	CD8A/CD3E/NKG7 yes on 5K	yes	https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote	CC BY 4.0	no	Do not assume every 5K deposit includes CLDN4
10x-Xenium-IO-lung-cancer-custom	Xenium Human Immuno-Oncology + custom add-on	1	1	lung cancer	custom-dependent	CD8A/CD3/NKG7 yes (IO panel)	yes	https://www.10xgenomics.com/datasets/ffpe-human-lung-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard	CC BY 4.0	no	IO base panel is T/NK-rich; CLDN4 only if in custom add-on
10x-Xenium-Human-Lung-preview	Xenium lung preview panel + 100 add-on	2 sections	donor lung (not tumor-first)	healthy/preview lung	panel-dependent	T/NK likely	yes	https://www.10xgenomics.com/datasets/xenium-human-lung-preview-data-1-standard	CC BY 4.0	no	Preview / non-tumor primary use
E-MTAB-13530	Visium FF WTA	40 sections (20 tumor / 16 non-involved / 4 donor)	8 NSCLC + 2 donors	NSCLC (LUAD+LUSC)	yes	CD8A, CD3E, NKG7	yes	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13530	ArrayExpress/BioStudies public (cite De Zuani 2024)	no	De Zuani et al. Nat Commun 2024; filtered H5 + spatial.tar
GSE189487	Visium WTA	6 sections	6	LUAD AIS/MIA/IAC	yes	CD8A, CD3E, NKG7	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189487	GEO public + paper citation	no	PMID 36434043; RAW ~220 MB
GSE200916	Visium WTA	12 sections	3 (2 LUAD + 1 LUSC MPLC)	MPLC NSCLC	yes	CD8A, CD3E, NKG7	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200916	GEO public	no	PMID 37488117
GSE268049	Visium	15	lung tumor cohort	lung tumors	yes (WTA if Visium GEX)	CD8A/CD3/NKG7 if WTA	yes if positions deposited	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268049	GEO public	no	Neighborhood-violence / GR signaling paper
GSE246011	Visium	7 (LUAD-14C among them)	method paper	LUAD + others	yes	CD8A yes	count matrix yes; tissue_positions not deposited for LUAD-14C	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246011	GEO public	no	Coords missing on the LUAD member
GSE273378	Visium	16 sections	stage I LUAD biopsies	LUAD	yes	CD8A, CD3E, NKG7	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273378	GEO public	no	Vascular-invasion companion
GSE277206	Visium CytAssist FFPE	2	never-smoker precancer/early LUAD	LUAD	yes (WTA)	CD8A yes	H5 only; no spatial folder	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277206	GEO public	no	Coords not in GEO supplement
GSE288758	Visium	2	EGFR NSCLC	NSCLC	yes (WTA)	CD8A yes	yes (slide tarballs)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288758	GEO public	no	RAW ~2.5 GB
GSE301973	Visium	2	EGFR NSCLC pre-osi	NSCLC	yes (WTA)	CD8A yes	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301973	GEO public	no	RAW ~3.4 GB
GSE292299	Visium	18 (16 NSCLC used in leftover work)	IO spatial-biology paper	NSCLC	yes	CD8A, CD3E, NKG7	yes (H5 + tissue_positions)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299	GEO public	no	Immunotherapy spatial biology
