gene	readout	on_741_up	on_nominal_up	logFC	de_p	rho	p	I2	ci_lo	ci_hi	n_neg	n_cohorts	n	member_rhos	predicts_low_tnk
CLDN19	pseudobulk	False	False	-0.017822793254557035	0.7028589042322944	-0.3279829847501139	0.014054811876012185	0.0	-0.5457929171701627	-0.06865515673414223	4	4	64	GSE123902:-0.154,GSE131907:-0.251,GSE205335:-0.456,GSE189357:-0.420	True
CLDN5	pseudobulk	False	False	0.3566220439524635	0.5920871776797668	-0.2877822855281654	0.032716635994168755	0.0	-0.5138519402562911	-0.02433870426980901	3	4	64	GSE123902:0.096,GSE131907:-0.405,GSE205335:-0.427,GSE189357:-0.067	True
CLDN3	pseudobulk	False	False	0.651971810460172	0.3359986839013877	-0.2834216962080219	0.1218887027129896	42.06592615375362	-0.5787738032296971	0.07766271751235235	2	4	64	GSE123902:-0.374,GSE131907:-0.596,GSE205335:0.004,GSE189357:0.050	False
CLDN15	pseudobulk	False	False	-0.09044897687539626	0.7869988871744659	-0.22715515877897538	0.09549076867761627	0.0	-0.4644660812789456	0.040592985376147146	3	4	64	GSE123902:-0.231,GSE131907:-0.261,GSE205335:-0.274,GSE189357:0.033	False
CLDN7	pseudobulk	False	False	0.7132242287751267	0.08904861155633528	-0.21851346971896216	0.38651557974433826	68.36649079640272	-0.6198634752278502	0.27345505703468354	2	4	64	GSE123902:-0.214,GSE131907:-0.664,GSE205335:0.199,GSE189357:0.000	False
CLDN4	pseudobulk	False	True	1.6323196517230523	0.012564175272030452	-0.20663228840727274	0.130581229736375	0.0	-0.4474072771870105	0.06207233306590895	4	4	64	GSE123902:-0.126,GSE131907:-0.435,GSE205335:-0.030,GSE189357:-0.117	False
CLDN22	pseudobulk	False	False	0.10205175812905652	0.5321884598315963	-0.1891246370860432	0.30278842087707025	40.51475260760874	-0.504657281907069	0.1709808885361101	3	4	64	GSE123902:0.297,GSE131907:-0.516,GSE205335:-0.164,GSE189357:-0.191	False
CLDN11	pseudobulk	False	False	-0.5128698063598052	0.26734135371744877	-0.18667045515951872	0.17317567207867368	0.0	-0.43064500775766457	0.0827284085012301	4	4	64	GSE123902:-0.173,GSE131907:-0.220,GSE205335:-0.216,GSE189357:-0.017	False
CLDN14	pseudobulk	False	False	-0.1519462648591862	0.6264138515895223	-0.16585383084507	0.22737829870812842	0.0	-0.41298381735469397	0.10402523829267292	3	4	64	GSE123902:0.221,GSE131907:-0.316,GSE205335:-0.158,GSE189357:-0.350	False
CLDN12	pseudobulk	False	False	0.16581394190197368	0.572717189869544	-0.13895021155104442	0.40844956829527634	29.21113474269399	-0.43938081231649534	0.18943714677720738	3	4	64	GSE123902:-0.544,GSE131907:-0.157,GSE205335:-0.058,GSE189357:0.400	False
CLDN6	pseudobulk	False	False	1.0552203737167292	0.1510622188878957	-0.12894045453686187	0.4783070743116272	38.725760775166286	-0.45270215759119115	0.22486017360550803	2	4	64	GSE123902:-0.528,GSE131907:0.066,GSE205335:0.160,GSE189357:-0.433	False
CLDN9	pseudobulk	False	False	0.8304972752122127	0.18902617697522772	-0.03024978651422714	0.8272725964832539	0.0	-0.29319859395550624	0.2369536642754287	3	4	64	GSE123902:-0.079,GSE131907:0.105,GSE205335:-0.104,GSE189357:-0.133	False
CLDN2	pseudobulk	False	False	-0.30781166649801117	0.3915360645114912	-0.008520283112925181	0.9510071071069514	0.0	-0.27320453982481296	0.25736329386808715	2	4	64	GSE123902:-0.284,GSE131907:0.163,GSE205335:-0.026,GSE189357:0.000	False
CLDN23	pseudobulk	True	True	1.0383296563159474	0.0030847175766654865	0.038745703771151455	0.8816493274793475	69.30999008443561	-0.4394755030432097	0.4998534718391663	2	4	64	GSE123902:-0.456,GSE131907:0.103,GSE205335:0.570,GSE189357:-0.283	False
CLDN18	pseudobulk	False	False	-0.3632039895726357	0.38182497807038523	0.06395169350707187	0.644230160299555	0.0	-0.20482529602199012	0.32376043287410866	2	4	64	GSE123902:-0.197,GSE131907:0.225,GSE205335:-0.024,GSE189357:0.267	False
CLDN10	pseudobulk	False	False	0.04281024998789363	0.9639715398373244	0.11146189050185153	0.41959922721469545	0.0	-0.1585277616712745	0.3659424128432321	2	4	64	GSE123902:0.122,GSE131907:-0.003,GSE205335:0.357,GSE189357:-0.333	False
CLDN8	pseudobulk	False	False	0.4809666385534623	0.3374173669963045	0.11895167366690522	0.549813670099792	48.26607551419947	-0.2656580765408202	0.47089631302182666	2	4	64	GSE123902:0.158,GSE131907:-0.116,GSE205335:0.514,GSE189357:-0.317	False
CLDN1	pseudobulk	False	True	1.6026729302334564	0.03879952217676634	0.2432394050028489	0.07347011264895215	0.0	-0.023584358437173703	0.4777134874926837	0	4	64	GSE123902:0.148,GSE131907:0.104,GSE205335:0.358,GSE189357:0.433	False
CLDN16	pseudobulk	False	True	0.8630394186338388	0.04655948911179082	0.30779475141878926	0.02890199432946481	7.77285467364172	0.0327219682473805	0.5395222446178887	1	4	64	GSE123902:-0.042,GSE131907:0.190,GSE205335:0.549,GSE189357:0.400	False
CLDN4	pct_pos	False	False			-0.5228600495638758	2.859572051598e-05	0.0	-0.6921498091641723	-0.2990397427789692	4	4	64	GSE123902:-0.659,GSE131907:-0.519,GSE205335:-0.405,GSE189357:-0.600	True
