gene	tj_source	classical_tj	logFC	de_p	de_fdr	rho	p	I2	ci_lo	ci_hi	k	n	n_neg	n_cohorts	member_rhos	predicts_low_tnk	mwu_p	r_rb	delta_median	n_q1	n_q4	fdr_screen	predicts_low_tnk_fdr
CCND1	KEGG_TJ	True	1.5582754460217718	0.02390625989617015	0.720374530222565	-0.31330212129492513	0.30013684611198566	78.8010657586617	-0.7340606716296358	0.2812794955501746	4	64	3	4	GSE123902:-0.670,GSE131907:-0.134,GSE205335:0.392,GSE189357:-0.750	False	0.31448890285666153	-0.2070175438596491	-0.12496125422673521	19	15	0.8631325446305294	False
OCLN	KEGG_TJ|GOBP_TJ_ORG|CUSTOM_ADHESION	True	0.9887514069680727	0.012597887019181476	0.6711980170910572	-0.23993759734760214	0.1879779495542827	40.57362510746639	-0.5434260846761113	0.11902202358326201	4	64	3	4	GSE123902:-0.385,GSE131907:-0.457,GSE205335:0.196,GSE189357:-0.383	False	0.14518685241513135	-0.29824561403508776	-0.1678325398049768	19	15	0.8631325446305294	False
JUN	KEGG_TJ	True	0.742092620906186	0.018582597012015346	0.7167317150760242	-0.20885156300223343	0.3692506854275883	62.68228119030981	-0.5880534536371426	0.24561874476474055	4	64	3	4	GSE123902:0.181,GSE131907:-0.091,GSE205335:-0.029,GSE189357:-0.833	False	0.34902673977098286	-0.19298245614035092	-0.008936291645858685	19	15	0.8980482515541524	False
CLDN4	KEGG_TJ|GOBP_TJ_ORG|CUSTOM_ADHESION	True	1.6323196517230523	0.012564175272030452	0.6711980170910572	-0.20663228840727274	0.130581229736375	0.0	-0.4474072771870105	0.06207233306590895	4	64	4	4	GSE123902:-0.126,GSE131907:-0.435,GSE205335:-0.030,GSE189357:-0.117	False	0.1875012531866731	-0.2701754385964912	-0.1751408472136083	19	15	0.8631325446305294	False
CDH1	CUSTOM_ADHESION	False	1.0320721566926732	0.025459163386915017	0.7284247192609095	-0.17759140670687168	0.29489749538532295	30.850762443748525	-0.4741190646636359	0.15511897305166972	4	64	3	4	GSE123902:-0.593,GSE131907:-0.145,GSE205335:0.136,GSE189357:-0.200	False	0.2822778715158214	-0.2210526315789474	-0.05570240627356099	19	15	0.8631325446305294	False
SCRIB	KEGG_TJ	True	0.4673986096972432	0.042279955212435376	0.7535851149758797	-0.16833840586684884	0.4426790186925379	57.62749070380284	-0.5398052322563599	0.2580036162754747	4	64	2	4	GSE123902:-0.665,GSE131907:0.005,GSE205335:0.212,GSE189357:-0.267	False	0.135848860294012	-0.3052631578947368	-0.04546438771815303	19	15	0.8980482515541524	False
PRKCZ	KEGG_TJ	True	0.730509339989552	0.01012350483607698	0.6486037326707906	-0.08930109229300286	0.5908136986272234	27.144897050644268	-0.39351421534914355	0.2325391912535548	4	64	3	4	GSE123902:-0.434,GSE131907:-0.048,GSE205335:0.248,GSE189357:-0.383	False	0.5789286004329155	-0.11578947368421055	-0.015394993422657322	19	15	0.9383511684079432	False
PRKCE	KEGG_TJ	True	0.7443305290722018	0.015456195932293427	0.7016669108745383	-0.07613997530191376	0.7353121721746938	59.192625263345256	-0.4766009748289894	0.35048952850389	4	64	3	4	GSE123902:-0.313,GSE131907:-0.190,GSE205335:0.451,GSE189357:-0.450	False	0.5789286004329155	-0.11578947368421055	-0.0693810439730897	19	15	0.9901875875266275	False
GRHL2	GOBP_TJ_ORG	True	1.084433336391141	0.004200667401021024	0.6021706727308888	-0.05097678253900589	0.7129345854019006	0.0	-0.3120582549083659	0.21726335879082923	4	64	2	4	GSE123902:-0.352,GSE131907:0.013,GSE205335:0.183,GSE189357:-0.400	False	0.8081674695160228	-0.052631578947368474	0.05298710811373408	19	15	0.9901875875266275	False
TJP1	KEGG_TJ|GOBP_TJ_ORG|CUSTOM_ADHESION	True	0.5934675800137615	0.03733489816853466	0.7498709732140636	-0.017675723801411407	0.9220069468504095	37.241234915692345	-0.3553627803205998	0.3240925438475016	4	64	2	4	GSE123902:-0.280,GSE131907:-0.303,GSE205335:0.274,GSE189357:0.350	False	0.9723314014118226	-0.010526315789473717	0.024936702620709517	19	15	0.9901875875266275	False
