gene	present	collapse_probe	n_probes_mapped
CLDN4	1	ILMN_2132458	1
CD8A	1	ILMN_2353732	3
CD274	1	ILMN_1701914	1
EPCAM	1	ILMN_2160210	2
KRT8	1	ILMN_1753584	1
KRT18	1	ILMN_1694778	3
KRT19	1	ILMN_1730777	1
CDH1	1	ILMN_1770940	1
KRT7	1	ILMN_2163723	1
