	value
n_matrix	116
n_tumor	58
n_normal	58
n_patients	58
n_pairs	57
unpaired_tumor_ids	3023
unpaired_normal_ids	3035
n_named_complete	58
n_probes	48803
n_genes_collapsed	19425
n_missing_tumor_values	0
estimate_immune_present	141
estimate_stromal_present	137
epithelial_genes	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7
probe_CLDN4	ILMN_2132458
probe_CD8A	ILMN_2353732
probe_CD274	ILMN_1701914
processing	log2 + lumi Robust Spline Normalization (deposited)
