dataset	unit_id	unit_type	tissue	n_cells	n_malignant	n_malignant_scored	n_tnk	frac_tnk	malig_def	mal_KRT_mean	mal_CLDN4_pct	mal_CLDN4_mean	mal_CLDN3_pct	mal_CLDN3_mean	mal_CLDN7_pct	mal_CLDN7_mean	mal_OCLN_pct	mal_OCLN_mean	mal_F11R_pct	mal_F11R_mean	mal_CDH1_pct	mal_CDH1_mean
GSE123902	LX255B	donor	METASTASIS	3886	228	228	1583	0.40735975295934124	marker_malig	0.7070079578372636	35.08771929824561	0.4488016514639581	27.631578947368425	0.323957410945215	31.57894736842105	0.3977556430523953	10.964912280701753	0.10107405486251486	19.736842105263158	0.18488609423360228	14.035087719298245	0.1248784163047218
GSE123902	LX653	donor	PRIMARY	392	145	145	49	0.125	marker_malig	1.2223970028090192	71.72413793103448	1.2524068271342224	60.0	0.84318752248676	57.931034482758626	0.73128044239534	55.172413793103445	0.6854241473676564	40.0	0.4215042790694549	57.931034482758626	0.7258797144967722
GSE123902	LX661	donor	PRIMARY	4566	117	117	3726	0.8160315374507228	marker_malig	1.035573990847777	58.97435897435898	0.8576085684228482	52.13675213675214	0.6966831293258	35.04273504273504	0.37737764229773896	33.33333333333333	0.3669129970501006	52.13675213675214	0.5808600452087261	34.18803418803419	0.3454998521384723
GSE123902	LX666	donor	METASTASIS	1316	786	786	177	0.1344984802431611	marker_malig	2.559076444066381	67.17557251908397	0.9923952117887153	27.099236641221374	0.23857653046444266	44.274809160305345	0.5203556883367487	5.089058524173027	0.03695628888343528	44.274809160305345	0.4092597579569876	48.854961832061065	0.5063817223486269
GSE123902	LX675	donor	PRIMARY	3435	618	618	1336	0.3889374090247453	marker_malig	1.104315529323316	31.3915857605178	0.582960587751478	23.300970873786408	0.3350815744866561	30.582524271844658	0.4472961640549566	20.87378640776699	0.21700397288434609	22.491909385113267	0.21668127543338025	31.55339805825243	0.5109549585278129
GSE123902	LX676	donor	PRIMARY	4014	147	147	2606	0.6492277030393623	marker_malig	1.2235136545989482	42.17687074829932	0.831390019521496	27.2108843537415	0.41086231195395206	35.374149659863946	0.4984749627640607	16.3265306122449	0.16975800689481518	32.6530612244898	0.31861333817949344	19.727891156462583	0.19022164494619304
GSE123902	LX679	donor	PRIMARY	2017	497	497	625	0.3098661378284581	marker_malig	1.3036436658122905	43.25955734406438	0.5643712240448416	34.00402414486921	0.46308473776868325	61.16700201207244	0.9849635211600285	18.712273641851105	0.14970511650826301	44.26559356136821	0.4946046449806832	37.62575452716298	0.3938363971788094
GSE123902	LX680	donor	PRIMARY	941	258	258	344	0.3655685441020191	marker_malig	2.1414937330630597	73.25581395348837	1.8590778846234401	67.82945736434108	1.6645950448169273	64.34108527131784	1.2585396731517275	36.434108527131784	0.348396427217843	44.57364341085272	0.5292277109824044	46.12403100775194	0.5531398495620655
GSE123902	LX681	donor	METASTASIS	1630	1207	1207	86	0.05276073619631902	marker_malig	1.8698462284585977	63.29743164871583	1.1775350457817828	65.36868268434134	1.2133838290585754	62.386081193040596	1.1210757788029502	44.90472245236123	0.5269596228803589	46.64457332228666	0.5353035391780611	44.987572493786246	0.543874106305166
GSE123902	LX682	donor	PRIMARY	4092	421	421	2558	0.6251221896383187	marker_malig	0.9550074495489673	18.76484560570071	0.46131823402558575	10.926365795724466	0.19136487281067774	18.28978622327791	0.3670429284505622	7.600950118764846	0.0839438021741526	14.014251781472684	0.1710311105018273	10.688836104513063	0.1522432757242059
GSE123902	LX684	donor	PRIMARY	378	173	173	92	0.24338624338624337	marker_malig	1.2502869060639978	72.83236994219652	0.9118972941270771	58.38150289017341	0.7013519145530799	62.42774566473989	0.7152121117853358	48.554913294797686	0.4626617892169686	45.664739884393065	0.43779624149114094	49.13294797687861	0.48491849581372476
GSE123902	LX699	donor	METASTASIS	2671	46	46	2263	0.8472482216398353	marker_malig	0.7591804466230261	15.217391304347828	0.31411776431478144	10.869565217391305	0.1687613328047504	13.043478260869565	0.2261321443181256	6.521739130434782	0.045205250906083384	23.91304347826087	0.18963546249625018	8.695652173913043	0.06908812674669447
GSE123902	LX701	donor	METASTASIS	788	90	90	322	0.4086294416243655	marker_malig	0.6783473835424029	11.11111111111111	0.1116109679423314	15.555555555555555	0.15856677223341253	30.0	0.3304946615335548	5.555555555555555	0.047518512433511725	13.333333333333334	0.10710580007446292	18.88888888888889	0.2005528155677011
GSE131907	BRONCHO_11	sample	mLN	3178	203	203	809	0.25456261799874136	author_malig	2.350182976970834	80.78817733990148	1.8059599708830327	69.45812807881774	1.1317333262564049	80.78817733990148	1.411451039302807	54.679802955665025	0.6656231234973162	70.44334975369459	1.0885642626869585	67.98029556650246	1.061227698088938
GSE131907	BRONCHO_58	sample	tL/B	2813	460	460	1546	0.5495911837895485	author_malig	2.829452205708152	72.17391304347827	1.4263533362235619	36.73913043478261	0.3546447989806154	59.56521739130435	0.7572251952247875	45.0	0.5005408835798631	55.434782608695656	0.6132040165211994	63.26086956521739	0.9355369411759332
GSE131907	EBUS_06	sample	tL/B	2303	1186	1186	611	0.2653061224489796	author_malig	2.013654905651617	71.16357504215851	1.3552293035869711	75.12647554806071	1.56755483937273	70.48903878583474	1.1478278611839898	38.11129848229342	0.40277279817887246	48.06070826306914	0.5838615605227274	59.696458684654296	0.9507458551857509
GSE131907	EBUS_10	sample	mLN	5144	367	367	1530	0.2974339035769829	author_malig	2.889457730188068	84.46866485013625	1.9049734855942484	62.125340599455036	0.9004372908044717	70.57220708446866	1.089503844310995	47.68392370572207	0.5138513110405706	54.76839237057221	0.5833303802385801	56.675749318801095	0.7205957905774003
GSE131907	EBUS_12	sample	mLN	3115	257	257	328	0.10529695024077046	author_malig	3.620051938640743	88.32684824902724	2.3549040610356684	87.54863813229572	2.2343763197818376	91.82879377431907	2.5502077776597347	81.71206225680933	1.288985044381731	80.93385214007782	1.227623701438894	84.04669260700389	1.7341511475325946
GSE131907	EBUS_13	sample	mLN	3550	376	376	1150	0.323943661971831	author_malig	0.023804562941864994	0.26595744680851063	0.0018434765440424076	12.5	0.1093946229726844	19.680851063829788	0.21658327472347114	40.691489361702125	0.43182086633174915	29.521276595744684	0.24730322845872477	2.127659574468085	0.017184755788174782
GSE131907	EBUS_15	sample	mLN	1105	256	256	479	0.4334841628959276	author_malig	2.124329899418952	47.265625	1.1294928392821784	41.796875	0.7583821241948742	41.015625	0.6695677072540991	23.4375	0.2739735569513845	35.546875	0.5351717062611057	44.140625	0.8554569207745979
GSE131907	EBUS_19	sample	mLN	2112	217	217	1427	0.6756628787878788	author_malig	2.3942036759421943	94.00921658986175	2.4779035334230066	86.63594470046083	1.501466724369021	76.036866359447	1.0352861864043854	59.44700460829493	0.5773408326795166	82.94930875576037	1.2248550519883608	88.94009216589862	1.5878553915200535
GSE131907	EBUS_28	sample	tL/B	5182	4640	4640	232	0.04477035893477422	author_malig	2.236310084598058	96.33620689655173	2.197978326433922	80.3448275862069	1.1616684010318723	68.92241379310344	0.84055080727602	53.42672413793104	0.5301312001666525	48.57758620689655	0.4529529906564817	70.88362068965517	0.8726458734835891
GSE131907	EBUS_49	sample	tL/B	1775	114	114	1126	0.6343661971830986	author_malig	2.0342145710111232	49.122807017543856	0.9512107328950752	36.84210526315789	0.5567450015113752	34.21052631578947	0.3954041260223404	22.807017543859647	0.21729917067319188	28.947368421052634	0.34880356074032987	30.701754385964914	0.4441470468444745
GSE131907	EBUS_51	sample	mLN	3275	1285	1285	1143	0.34900763358778625	author_malig	2.5750432539562698	85.36964980544747	1.581328884787959	42.023346303501945	0.3827138518933464	64.04669260700389	0.6532549257278205	51.284046692607	0.4805225362758709	54.474708171206224	0.505451302486828	76.03112840466926	0.9890117227873009
GSE131907	NS_02	sample	mBrain	2313	181	181	977	0.4223951578037181	author_malig	1.0009002665261166	58.5635359116022	1.126727726322637	24.861878453038674	0.23643679925238814	45.85635359116022	0.521521619740982	21.54696132596685	0.16944477068957342	30.939226519337016	0.29986260941868176	41.988950276243095	0.41078704650191994
GSE131907	NS_03	sample	mBrain	2990	2713	2713	145	0.048494983277591976	author_malig	3.173404924035049	93.14412089937338	2.264933208146411	88.020641356432	1.6070569488861783	88.31551787688905	1.6619687878084057	14.375230372281608	0.11296747492896708	65.68374493180981	0.7503231888490328	80.31699225949134	1.2230478064344132
