"cohort	in_keratin_funnel	gene	y	n	rho_marginal	p_marginal	rho_partial_krt	p_partial_krt	q_partial_cd8_family	q_partial_tnk_family"
"LUAD	True	CLDN4	CD8_score	516	-0.09906327777227023	0.024425750981059775	-0.08477570060084809	0.054997098832158246	0.09428074085512841	"
"LUAD	True	CLDN4	TNK_score	516	-0.13376492984300326	0.0023277270530750863	-0.138557739561681	0.0016563612307893575		0.0036138790489949617"
"LUAD	True	CLDN3	CD8_score	516	-0.1698170096598251	0.00010604150154913573	-0.1525875134132466	0.0005244861625126628	0.0017982382714719868	"
"LUAD	True	CLDN3	TNK_score	516	-0.23497835830575076	6.644265988480256e-08	-0.2216462467462638	3.954380347278987e-07		3.163504277823189e-06"
"LUAD	True	CLDN7	CD8_score	516	-0.28719146228501874	2.9613664538233794e-11	-0.26675923839198534	8.314126545787839e-10	1.9953903709890812e-08	"
"LUAD	True	CLDN7	TNK_score	516	-0.3268056108128551	2.6227916597054338e-14	-0.3073577758627452	1.0988234461775355e-12		5.274352541652171e-11"
"LUAD	True	OCLN	CD8_score	516	-0.1582722106321401	0.00030701393480536373	-0.1682149557545872	0.00012918764369367384	0.0005637278997542131	"
"LUAD	True	OCLN	TNK_score	516	-0.1797655071877676	4.006774924058395e-05	-0.18999809337847734	1.4749923071983457e-05		5.446125441963123e-05"
"LUAD	True	F11R	CD8_score	516	-0.21180325033747588	1.2053098014398632e-06	-0.19151761940360046	1.2556652692847101e-05	6.69688143618512e-05	"
"LUAD	True	F11R	TNK_score	516	-0.2192074130718366	4.939521263600258e-07	-0.20095416232550178	4.490455198001109e-06		2.3949094389339248e-05"
"LUAD	True	CDH1	CD8_score	516	-0.146196883299058	0.000865924951798321	-0.14291466055357246	0.001171516883618819	0.0033078123772766655	"
"LUAD	True	CDH1	TNK_score	516	-0.1477292488884366	0.0007623579149408966	-0.15527150535592593	0.0004160734459164843		0.0011095291891106249"
"LUSC	False	CLDN4	CD8_score	501	-0.07677018870625284	0.08605389341672988	-0.017997326782675915	0.6886778460037122	0.7519634003534119	"
"LUSC	False	CLDN4	TNK_score	501	-0.10719879762387577	0.01637892214161578	-0.03171759367581926	0.480059981012755		0.535880909037494"
"LUSC	False	CLDN3	CD8_score	501	0.19046191737151802	1.7721881496897352e-05	0.19561199730033385	1.0983956446844183e-05	6.59037386810651e-05	"
"LUSC	False	CLDN3	TNK_score	501	0.11960560439930353	0.007360556770197581	0.13654273613942622	0.0022601332894380253		0.0043394559157210084"
"LUSC	False	CLDN7	CD8_score	501	-0.0991380108309278	0.026491152199850203	-0.04558806459990497	0.309957733236437	0.381486440906384	"
"LUSC	False	CLDN7	TNK_score	501	-0.11497215926712315	0.010008287305660248	-0.047980639781600325	0.2852243940679897		0.34791908785198594"
"LUSC	False	OCLN	CD8_score	501	0.00023584704229057658	0.9957985307897005	0.007523130142420193	0.8670033936113564	0.9046991933335893	"
"LUSC	False	OCLN	TNK_score	501	-0.06715795821065247	0.13331965019119782	-0.044037892686332285	0.326715017358929		0.3733885912673474"
"LUSC	False	F11R	CD8_score	501	-0.308478373929432	1.6609432222765022e-12	-0.21200717520522097	1.8094862983948241e-06	1.2407906046135936e-05	"
"LUSC	False	F11R	TNK_score	501	-0.29754190423933013	1.0621801618622801e-11	-0.19725045590870932	9.232776824676463e-06		3.693110729870585e-05"
"LUSC	False	CDH1	CD8_score	501	-0.3081445714149391	1.759756831861978e-12	-0.22548610262083696	3.6779215889441055e-07	3.5308047253863413e-06	"
"LUSC	False	CDH1	TNK_score	501	-0.30788281604122436	1.8412434049859324e-12	-0.2002186158564417	6.7157565226783885e-06		3.2235631308856265e-05"
"BRCA	True	CLDN4	CD8_score	1095	0.009788874860228785	0.7462716830123769	0.03424927951656113	0.2581319241191097	0.3260613778346649	"
"BRCA	True	CLDN4	TNK_score	1095	-0.00717300299220535	0.8125852303836117	0.018250013887064487	0.5468820207942753		0.5833408221805603"
"BRCA	True	CLDN3	CD8_score	1095	-0.03751309512558799	0.2148435559838296	0.04200255446138605	0.16543729730254994	0.23355853736830579	"
"BRCA	True	CLDN3	TNK_score	1095	-0.05125307396134244	0.09004099283538196	0.031575719440001586	0.29718088754023797		0.34791908785198594"
"BRCA	True	CLDN7	CD8_score	1095	-0.19217907276913992	1.436690953297557e-10	-0.1202178131607435	6.817972109083392e-05	0.0003272626612360028	"
"BRCA	True	CLDN7	TNK_score	1095	-0.208101173429275	3.5346337245603793e-12	-0.13428787993184269	8.479727602645012e-06		3.693110729870585e-05"
"BRCA	True	OCLN	CD8_score	1095	-0.18536066453994607	6.395669749933643e-10	-0.14660876296297096	1.14160422541727e-06	9.13283380333816e-06	"
"BRCA	True	OCLN	TNK_score	1095	-0.2291145525052489	1.651082136534368e-14	-0.19297296806355768	1.2751998213735424e-10		1.5302397856482507e-09"
"BRCA	True	F11R	CD8_score	1095	-0.026666985952227447	0.37800376889181425	-0.06012512057459197	0.04699094972929502	0.08353946618541336	"
"BRCA	True	F11R	TNK_score	1095	-0.01812667910539842	0.5490460821890021	-0.05283719935790646	0.08094187014589405		0.1177336293031186"
"BRCA	True	CDH1	CD8_score	1095	-0.2144562966006873	7.389621633378303e-13	-0.1694324004251682	1.7676342327587778e-08	2.8282147724140444e-07	"
"BRCA	True	CDH1	TNK_score	1095	-0.22464757180589073	5.410391157531839e-14	-0.18006326496313152	2.0664375388077763e-09		1.983780037255465e-08"
"CESC	True	CLDN4	CD8_score	304	-0.062127645033700954	0.28022527728689006	-0.08180526224425373	0.15685256452236349	0.23089066176284423	"
"CESC	True	CLDN4	TNK_score	304	-0.21086546100684267	0.00021294594594994774	-0.20763051428257584	0.0002868778796383645		0.0008606336389150934"
"CESC	True	CLDN3	CD8_score	304	0.055086751125500814	0.3384458437992351	0.023137590571966092	0.6892997836572943	0.7519634003534119	"
"CESC	True	CLDN3	TNK_score	304	-0.18553122784237008	0.0011549399976679311	-0.1612108664360476	0.005053122215510636		0.009328841013250405"
"CESC	True	CLDN7	CD8_score	304	0.014188144439983258	0.805394247031462	0.0004931816861257071	0.9932014820878231	0.9932014820878231	"
"CESC	True	CLDN7	TNK_score	304	-0.053872833357537654	0.3492138143544996	-0.015488400231953615	0.7889982270312786		0.7889982270312786"
"CESC	True	OCLN	CD8_score	304	-0.12778043550688115	0.025887843139961925	-0.15289552628384837	0.007878277494766881	0.018907865987440514	"
"CESC	True	OCLN	TNK_score	304	-0.2781883494647998	8.306968906989088e-07	-0.2727566858352489	1.5563976670575275e-06		1.0672441145537332e-05"
"CESC	True	F11R	CD8_score	304	-0.030396637593008657	0.597553368699819	-0.01949265970036223	0.7362602112978464	0.7853442253843694	"
"CESC	True	F11R	TNK_score	304	0.006839286171930394	0.9054677476624653	-0.0371714403880607	0.5205880771232373		0.5679142659526225"
