cohort,gene,signature,stratum,n1,n2,U,p,rbc,hl_shift,median1,median2,z
TCGA-LUAD,TACSTD2,TLS_Cabrita,all,132.0,132.0,9432.0,0.24608516760896104,0.0826446280991735,0.10333317443649909,-0.07340719765733994,-0.15082055232244165,
TCGA-LUAD,TACSTD2,TLS_Cabrita,purity_P1,43.0,43.0,881.0,0.7103465689955667,-0.047052460789616,-0.05355364119229988,0.23106363635573893,0.2884716653001428,
TCGA-LUAD,TACSTD2,TLS_Cabrita,purity_P2,43.0,43.0,1098.0,0.1351234315605287,0.18766901027582472,0.1928412480108857,0.04922133787671393,-0.09593034126399619,
TCGA-LUAD,TACSTD2,TLS_Cabrita,purity_P3,43.0,43.0,1228.0,0.008870407536208413,0.32828555976203355,0.3719975924975354,-0.3173655181437183,-0.8117639117812625,
TCGA-LUAD,TACSTD2,TLS_Cabrita,purity_stratified_stouffer,,,,0.030835834405299772,,,,,2.159184779464024
TCGA-LUAD,TACSTD2,B_cell,all,132.0,132.0,7347.0,0.02782680597138191,-0.1566804407713499,-0.20778371008463722,-0.32049755439475913,0.0681014488780335,
TCGA-LUAD,TACSTD2,B_cell,purity_P1,43.0,43.0,615.0,0.007611581210367215,-0.33477555435370465,-0.4458712146078956,-0.18604338695729283,0.4071783391893134,
TCGA-LUAD,TACSTD2,B_cell,purity_P2,43.0,43.0,786.0,0.23329851260569823,-0.14981070849107625,-0.1825480366745939,-0.03278404257983904,0.10087734754124464,
TCGA-LUAD,TACSTD2,B_cell,purity_P3,43.0,43.0,925.0,1.0,0.0005408328826392861,0.000325832078006405,-0.6863712361319083,-0.61132858559659,
TCGA-LUAD,TACSTD2,B_cell,purity_stratified_stouffer,,,,0.025814120463720547,,,,,-2.228996758476718
TCGA-LUAD,TACSTD2,Plasma_cell,all,132.0,132.0,5846.0,3.846817304077554e-06,-0.32897153351698805,-0.4566887856625329,-0.19340976690301506,0.22568787454634015,
TCGA-LUAD,TACSTD2,Plasma_cell,purity_P1,43.0,43.0,592.0,0.0041375299182321,-0.3596538669551109,-0.4769297508552271,0.08355177556372924,0.568661151499395,
TCGA-LUAD,TACSTD2,Plasma_cell,purity_P2,43.0,43.0,603.0,0.005563186356937692,-0.3477555435370471,-0.5059063917534123,-0.18443045532488128,0.34318484904260627,
