cohort,gene,n,rho_gene_vs_epithelial,rho_gene_vs_purity,rho_epithelial_vs_purity,rho_TLS_Cabrita_vs_purity,rho_B_cell_vs_purity,rho_Plasma_cell_vs_purity,rho_TLS_Cabrita_vs_epithelial,rho_B_cell_vs_epithelial,rho_Plasma_cell_vs_epithelial
TCGA-LUAD,TACSTD2,528,0.47750800312918534,0.04193647362180809,0.10663755768808601,-0.5318554131912918,-0.5165185553145794,-0.3645801073505515,-0.13362633302604537,-0.3001606332458645,-0.27648589828582876
TCGA-LUAD,CLDN4,528,0.5122164094393392,0.08258279360677173,0.10663755768808601,-0.5318554131912918,-0.5165185553145794,-0.3645801073505515,-0.13362633302604537,-0.3001606332458645,-0.27648589828582876
TCGA-LUSC,TACSTD2,501,0.18504444497459266,0.005533614511546653,0.25404455475136206,-0.49075628014363587,-0.4987985587163664,-0.5184392267975556,-0.14060452799580123,-0.1459472767612186,-0.2393032898346733
TCGA-LUSC,CLDN4,501,0.46587045828661405,0.0928122567959029,0.25404455475136206,-0.49075628014363587,-0.4987985587163664,-0.5184392267975556,-0.14060452799580123,-0.1459472767612186,-0.2393032898346733
GSE135222,TACSTD2,27,0.07631257631257632,,,,,,0.06593406593406594,-0.14285714285714285,-0.004884004884004884
GSE135222,CLDN4,27,0.7075702075702076,,,,,,0.06593406593406594,-0.14285714285714285,-0.004884004884004884
GSE126044,TACSTD2,16,0.45,,,,,,-0.411764705882353,-0.5352941176470588,-0.21470588235294116
GSE126044,CLDN4,16,0.7352941176470589,,,,,,-0.411764705882353,-0.5352941176470588,-0.21470588235294116
GSE207422,TACSTD2,24,0.7652173913043477,,,,,,-0.2817391304347826,-0.42260869565217385,0.08869565217391304
GSE207422,CLDN4,24,0.8486956521739129,,,,,,-0.2817391304347826,-0.42260869565217385,0.08869565217391304
GSE81089,TACSTD2,197,0.22781267560092797,,,,,,0.034988337743957765,-0.12592254252877896,-0.11153229173533744
GSE81089,CLDN4,197,0.6308888114544389,,,,,,0.034988337743957765,-0.12592254252877896,-0.11153229173533744
GSE72094,TACSTD2,442,0.45630903559958813,,,,,,-0.27543860051400315,-0.32384386294889544,-0.22581097033361006
GSE72094,CLDN4,442,0.45166759185007566,,,,,,-0.27543860051400315,-0.32384386294889544,-0.22581097033361006
GSE190265,TACSTD2,26,0.22666666666666666,,,,,,0.14735042735042733,0.004444444444444444,0.37435897435897436
GSE190265,CLDN4,26,0.6505982905982907,,,,,,0.14735042735042733,0.004444444444444444,0.37435897435897436
